file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.CollisionChecker;CollisionChecker;class;2;11;1;0;6;9;1;59
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.SimpleGFX.SimpleGfxStage;SimpleGfxStage;class;5;46;1;0;95;18;6;144
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.SimpleGFX.SimpleGfxPlayer;SimpleGfxPlayer;class;11;80;2;0;220;29;16;264
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.TesterClass;TesterClass;class;0;0;1;0;0;0;0;6
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.SimpleGFX.SimpleGfxObstacle4;SimpleGfxObstacle4;class;5;18;2;0;41;14;5;81
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.GameObjects.Pickup;Pickup;class;2;2;2;0;1;2;0;12
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Game;Game;class;27;98;1;0;100;20;27;427
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.GameObjects.GameObjectsType;GameObjectsType;enum;0;0;1;0;0;0;0;8
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.MovableRepresentable;MovableRepresentable;interface;1;5;1;0;10;5;0;12
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.NewAudio;NewAudio;class;1;14;1;0;0;5;2;53
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.SimpleGFX.SimpleGfxGameObjects;SimpleGfxGameObjects;class;1;0;1;6;0;0;0;7
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.Stage;Stage;class;1;4;1;0;0;4;1;19
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.GameObjects.Obstacle4;Obstacle4;class;2;2;2;0;0;2;1;15
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.Representable;Representable;interface;0;8;1;0;28;8;0;14
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Main;Main;class;1;2;1;0;0;1;0;14
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.SimpleGFX.SimpleGfxObstacle3;SimpleGfxObstacle3;class;5;18;2;0;41;14;5;81
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.GameObjects.Obstacle1;Obstacle1;class;2;3;2;0;0;3;1;19
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.GameObjects.GameObjects;GameObjects;class;1;12;1;6;0;12;7;49
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.Player;Player;class;2;11;1;0;0;11;9;51
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.GameObjects.Obstacle3;Obstacle3;class;2;2;2;0;0;2;1;15
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.SimpleGFX.SimpleGfxKeyboard;SimpleGfxKeyboard;class;3;3;1;0;3;3;1;18
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.GameObjects.Obstacle5;Obstacle5;class;2;2;2;0;0;2;1;15
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.GameObjects.Obstacle2;Obstacle2;class;2;2;2;0;0;2;1;15
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.SimpleGFX.SimpleGfxObstacle2;SimpleGfxObstacle2;class;5;18;2;0;41;14;5;81
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.SimpleGFX.SimpleGfxObstacle5;SimpleGfxObstacle5;class;5;18;2;0;41;14;5;81
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.GameObjects.GameObjectsFactory;GameObjectsFactory;interface;2;1;1;0;0;1;0;8
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.SimpleGFX.SimpleGfxObstacle1;SimpleGfxObstacle1;class;5;18;2;0;41;14;5;80
SpaceRunner80517083;org.academiadecodigo.bootcamp.fila1game.Representables.GameObjects.GameObjectsFactoryClass;GameObjectsFactoryClass;class;6;4;1;0;0;2;1;22
