file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Spielzyklus73584746;model.character;character;class;2;1;1;0;0;1;5;52
Spielzyklus73584746;model.entity;entity;class;3;1;1;0;0;1;5;52
Spielzyklus73584746;entity;entity;class;3;72;1;0;91;22;6;325
Spielzyklus73584746;model.character_action_object;character_action_object;class;0;1;1;0;0;1;1;24
Spielzyklus73584746;model.object;object;class;2;1;1;0;0;1;5;52
Spielzyklus73584746;character_action;character_action;class;5;69;1;0;318;28;7;396
Spielzyklus73584746;model.activity;activity;class;3;1;1;0;0;1;5;52
Spielzyklus73584746;model.game;game;class;2;1;1;0;0;1;3;40
Spielzyklus73584746;platform;platform;class;1;25;1;0;19;10;3;142
Spielzyklus73584746;character_action_objectId;character_action_objectId;class;1;4;1;0;0;2;2;14
Spielzyklus73584746;action;action;class;2;24;2;0;67;14;4;180
Spielzyklus73584746;agent;agent;class;3;58;1;0;69;18;5;267
Spielzyklus73584746;model.agent;agent;class;3;1;1;0;0;1;4;45
Spielzyklus73584746;activity;activity;class;3;72;1;0;91;22;6;325
Spielzyklus73584746;gameSession;gameSession;class;2;42;1;0;98;17;5;238
Spielzyklus73584746;object;object;class;2;28;1;0;123;18;6;233
Spielzyklus73584746;character_actionId;character_actionId;class;1;4;1;0;0;2;1;14
Spielzyklus73584746;model.action;action;class;2;1;2;0;0;1;4;45
Spielzyklus73584746;character;character;class;2;28;1;0;123;18;6;233
Spielzyklus73584746;model.gameSession;gameSession;class;2;1;1;0;0;1;4;48
Spielzyklus73584746;model.platform;platform;class;1;1;1;0;0;1;2;33
Spielzyklus73584746;character_action_object;character_action_object;class;3;38;1;0;100;17;4;242
Spielzyklus73584746;game;game;class;2;39;1;0;53;14;4;201
Spielzyklus73584746;model.character_action;character_action;class;2;1;1;0;0;1;4;46
