file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
StaticVoidGames22527447;com.StaticVoidGames.spring.controller.ApiController;ApiController;class;19;69;1;0;24;9;2;248
StaticVoidGames22527447;com.StaticVoidGames.spring.util.OpenSourceLink;OpenSourceLink;class;0;3;1;0;0;3;2;15
StaticVoidGames22527447;com.StaticVoidGames.spring.controller.interfaces.BlogControllerInterface;BlogControllerInterface;interface;9;7;1;0;21;7;0;36
StaticVoidGames22527447;com.StaticVoidGames.spring.controller.interfaces.TestingControllerInterface;TestingControllerInterface;interface;4;2;1;0;1;2;0;14
StaticVoidGames22527447;com.StaticVoidGames.spring.config.WebAppInitializer;WebAppInitializer;class;6;1;1;0;0;1;0;23
StaticVoidGames22527447;com.StaticVoidGames.spring.controller.interfaces.EditGameControllerInterface;EditGameControllerInterface;interface;9;3;1;0;3;3;0;24
StaticVoidGames22527447;com.StaticVoidGames.spring.util.ActivationEmailSender;ActivationEmailSender;class;6;8;1;0;0;5;1;96
StaticVoidGames22527447;com.StaticVoidGames.spring.controller.interfaces.StaticVoidGamesControllerInterface;StaticVoidGamesControllerInterface;interface;6;12;1;0;66;12;0;36
StaticVoidGames22527447;com.StaticVoidGames.spring.util.HtmlEscaper;HtmlEscaper;class;0;14;1;0;10;5;0;60
StaticVoidGames22527447;com.StaticVoidGames.spring.controller.interfaces.ApiControllerInterface;ApiControllerInterface;interface;9;5;1;0;10;5;0;40
StaticVoidGames22527447;com.StaticVoidGames.spring.dao.jpa.MemberJpaDao;MemberJpaDao;class;8;12;1;0;0;12;1;101
StaticVoidGames22527447;com.StaticVoidGames.spring.dao.NotificationsDao;NotificationsDao;interface;3;10;1;0;45;10;0;18
StaticVoidGames22527447;com.StaticVoidGames.spring.controller.interfaces.MemberControllerInterface;MemberControllerInterface;interface;10;11;1;0;55;11;0;51
StaticVoidGames22527447;com.StaticVoidGames.comments.Comment;Comment;class;5;23;1;0;70;17;6;125
StaticVoidGames22527447;com.StaticVoidGames.spring.config.PersistConfig;PersistConfig;class;20;21;1;0;9;6;2;147
StaticVoidGames22527447;com.StaticVoidGames.spring.dao.CommentDao;CommentDao;interface;1;6;1;0;15;6;0;11
StaticVoidGames22527447;com.StaticVoidGames.spring.config.SecurityInitializer;SecurityInitializer;class;1;0;2;0;0;0;0;5
StaticVoidGames22527447;com.StaticVoidGames.spring.controller.BlogController;BlogController;class;21;25;1;0;0;8;5;182
StaticVoidGames22527447;com.StaticVoidGames.spring.dao.jpa.GameJpaDao;GameJpaDao;class;11;13;1;0;0;9;2;99
StaticVoidGames22527447;com.StaticVoidGames.games.GameExecutable;GameExecutable;class;3;9;1;0;16;9;5;50
StaticVoidGames22527447;com.StaticVoidGames.spring.config.PropertiesConfig;PropertiesConfig;class;6;1;1;0;0;1;10;37
StaticVoidGames22527447;com.StaticVoidGames.games.Game;Game;class;6;97;1;0;4179;95;41;511
StaticVoidGames22527447;com.StaticVoidGames.spring.config.ErrorConfig;ErrorConfig;class;5;2;1;0;1;2;0;43
StaticVoidGames22527447;com.StaticVoidGames.spring.config.SecurityConfig;SecurityConfig;class;9;3;2;0;3;3;2;63
StaticVoidGames22527447;com.StaticVoidGames.spring.controller.JarMateyController;JarMateyController;class;7;3;1;0;1;2;1;45
StaticVoidGames22527447;com.StaticVoidGames.spring.controller.Interceptor;Interceptor;class;9;33;2;0;1;3;4;127
StaticVoidGames22527447;com.StaticVoidGames.spring.controller.interfaces.JarMateyControllerInterface;JarMateyControllerInterface;interface;4;2;1;0;1;2;0;14
