file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
bestinwholeworld52592135;ua.lorien.bestinwholeworld.model.Game;Game;class;13;50;1;0;91;19;7;134
bestinwholeworld52592135;ua.lorien.bestinwholeworld.service.impl.HiScoreServiceImpl;HiScoreServiceImpl;class;4;5;1;0;0;5;1;30
bestinwholeworld52592135;ua.lorien.bestinwholeworld.repository.GameCrudRepository;GameCrudRepository;interface;5;7;1;0;21;7;0;15
bestinwholeworld52592135;ua.lorien.bestinwholeworld.repository.HiScoreCrudRepository;HiScoreCrudRepository;interface;2;0;1;0;0;0;0;5
bestinwholeworld52592135;ua.lorien.bestinwholeworld.fortestrepository.GameForTestRepository;GameForTestRepository;class;1;10;1;0;45;10;0;103
bestinwholeworld52592135;ua.lorien.bestinwholeworld.game.exception.GameWithSameNameAlreadyExistsException;GameWithSameNameAlreadyExistsException;class;0;0;4;0;0;0;1;4
bestinwholeworld52592135;ua.lorien.bestinwholeworld.fortestrepository.CommentForTestRepository;CommentForTestRepository;class;1;5;1;0;10;5;0;20
bestinwholeworld52592135;ua.lorien.bestinwholeworld.service.impl.CommentServiceImpl;CommentServiceImpl;class;4;5;1;0;0;5;1;30
bestinwholeworld52592135;ua.lorien.bestinwholeworld.config.AppConfig;AppConfig;class;17;6;1;0;15;6;1;50
bestinwholeworld52592135;ua.lorien.bestinwholeworld.fortestrepository.HiScoresForTestRepository;HiScoresForTestRepository;class;1;17;1;0;136;17;0;55
bestinwholeworld52592135;ua.lorien.bestinwholeworld.service.GameService;GameService;interface;3;13;1;0;78;13;0;22
bestinwholeworld52592135;ua.lorien.bestinwholeworld.webapi.controller.GameController;GameController;class;17;11;1;0;0;5;3;65
bestinwholeworld52592135;ua.lorien.bestinwholeworld.config.persistence.PersistenceProdPostgres;PersistenceProdPostgres;class;14;3;1;0;3;3;7;60
bestinwholeworld52592135;ua.lorien.bestinwholeworld.service.UserService;UserService;interface;1;7;1;0;21;7;0;12
bestinwholeworld52592135;ua.lorien.bestinwholeworld.webapi.controller.MainController;MainController;class;2;1;1;0;0;1;0;11
bestinwholeworld52592135;ua.lorien.bestinwholeworld.service.CommentService;CommentService;interface;1;5;1;0;10;5;0;10
bestinwholeworld52592135;ua.lorien.bestinwholeworld.model.HiScore;HiScore;class;7;48;1;0;9;14;6;105
bestinwholeworld52592135;ua.lorien.bestinwholeworld.service.HiScoreService;HiScoreService;interface;1;5;1;0;10;5;0;10
bestinwholeworld52592135;ua.lorien.bestinwholeworld.game.exception.GameNotFoundException;GameNotFoundException;class;0;0;4;0;0;0;1;4
bestinwholeworld52592135;ua.lorien.bestinwholeworld.repository.CommentCrudRepository;CommentCrudRepository;interface;2;0;1;0;0;0;0;5
bestinwholeworld52592135;ua.lorien.bestinwholeworld.model.Comment;Comment;class;5;30;1;0;0;10;4;72
bestinwholeworld52592135;ua.lorien.bestinwholeworld.repository.UserRepositoryUTest;UserRepositoryUTest;class;13;1;1;0;0;1;3;37
bestinwholeworld52592135;ua.lorien.bestinholeworld.webapi.commonutils.json.JsonConverter;JsonConverter;class;5;2;1;0;1;2;0;20
bestinwholeworld52592135;ua.lorien.bestinwholeworld.Application;Application;class;15;4;2;0;6;4;1;62
bestinwholeworld52592135;ua.lorien.bestinwholeworld.fortestrepository.UserForTestRepository;UserForTestRepository;class;1;4;1;0;6;4;0;33
bestinwholeworld52592135;ua.lorien.bestinholeworld.webapi.controller.GameControllerUTest;GameControllerUTest;class;20;16;1;0;0;10;3;194
bestinwholeworld52592135;ua.lorien.bestinwholeworld.model.User;User;class;12;48;1;0;31;14;7;116
bestinwholeworld52592135;ua.lorien.bestinwholeworld.service.impl.GameServiceImpl;GameServiceImpl;class;8;21;1;0;0;13;1;87
bestinwholeworld52592135;ua.lorien.bestinwholeworld.service.impl.UserServiceImpl;UserServiceImpl;class;4;7;1;0;0;7;1;38
bestinwholeworld52592135;ua.lorien.bestinwholeworld.services.GameServicesUTest;GameServicesUTest;class;15;4;1;0;0;4;3;91
bestinwholeworld52592135;ua.lorien.bestinwholeworld.services.UserServicesUTest;UserServicesUTest;class;11;10;1;0;0;10;1;106
bestinwholeworld52592135;ua.lorien.bestinholeworld.webapi.commonutils.json.typeadapter.date.JsonDateDeserializer;JsonDateDeserializer;class;6;4;1;0;0;1;0;25
bestinwholeworld52592135;ua.lorien.bestinholeworld.webapi.commonutils.json.typeadapter.date.JsonDateSerializer;JsonDateSerializer;class;5;2;1;0;0;1;0;14
bestinwholeworld52592135;ua.lorien.bestinwholeworld.config.persistence.PersistenceForTestHSQL;PersistenceForTestHSQL;class;12;3;1;0;3;3;3;46
bestinwholeworld52592135;ua.lorien.bestinwholeworld.repository.UserCrudRepository;UserCrudRepository;interface;3;2;1;0;1;2;0;7
