file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
games27147429;Pair;Pair;class;0;12;1;0;22;12;5;93
games27147429;Paddle;Paddle;class;0;14;1;0;45;14;4;56
games27147429;Music;Music;class;1;15;1;0;27;10;3;64
games27147429;Player;Player;class;0;18;1;0;90;16;7;78
games27147429;Misceallanous;Misceallanous;class;2;60;1;0;70;16;10;197
games27147429;Sprites;Sprites;class;0;74;1;0;1561;58;46;324
games27147429;Bomberman;Bomberman;class;11;492;3;0;3673;110;36;1226
games27147429;SpriteSheet;SpriteSheet;class;0;3;1;0;0;2;1;24
games27147429;Tiles;Tiles;class;0;25;1;0;202;25;11;113
games27147429;Tile;Tile;class;1;17;1;0;74;17;8;126
games27147429;Highscores;Highscores;class;1;14;1;0;0;5;3;55
games27147429;LevelLoader;LevelLoader;class;1;16;1;0;0;4;3;42
games27147429;Unit;Unit;class;1;74;1;1;489;34;13;271
games27147429;Sprite;Sprite;class;1;21;1;0;86;17;20;108
games27147429;Navigation;Navigation;class;1;67;1;0;139;27;13;158
games27147429;ComparisonPair;ComparisonPair;class;1;7;1;0;3;7;3;58
games27147429;Arqanoid;Arqanoid;class;10;143;5;0;557;42;27;405
games27147429;Brick;Brick;class;0;18;1;0;14;16;5;69
games27147429;Ball;Ball;class;0;22;1;0;93;18;4;71
games27147429;ArtificialIntelligence;ArtificialIntelligence;class;5;75;1;0;0;6;2;222
games27147429;Knight;Knight;class;1;2;2;0;1;2;0;52
games27147429;Artificial;Artificial;class;1;22;2;0;156;20;11;87
games27147429;SwordMaster;SwordMaster;class;1;2;2;0;1;2;0;52
games27147429;FireEmblem;FireEmblem;class;13;410;3;0;1309;74;52;1183
games27147429;Mouse;Mouse;class;0;10;1;0;31;10;2;38
games27147429;Sorcerer;Sorcerer;class;1;2;2;0;1;2;0;52
games27147429;Warrior;Warrior;class;1;2;2;0;1;2;0;52
