file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
gwap14489579;gwap.model.resource.Resource;Resource;class;11;16;1;2;104;16;9;110
gwap14489579;gwap.widget.FeedbackForm;FeedbackForm;class;9;15;1;0;11;10;10;100
gwap14489579;gwap.widget.LanguageBean;LanguageBean;class;10;7;1;0;0;4;7;62
gwap14489579;gwap.wrapper.TagWithCount;TagWithCount;class;1;5;1;0;0;5;2;48
gwap14489579;gwap.wrapper.LocationPercentage;LocationPercentage;class;2;4;2;0;0;4;1;40
gwap14489579;gwap.model.SearchQuery;SearchQuery;class;5;12;1;0;54;12;7;81
gwap14489579;gwap.mit.BetOffersList;BetOffersList;class;16;21;2;0;0;5;8;123
gwap14489579;gwap.mit.Coins;Coins;class;8;4;1;0;1;2;5;54
gwap14489579;gwap.action.TerminaTaggingBean;TerminaTaggingBean;class;7;7;3;0;0;1;1;66
gwap14489579;gwap.game.test.Player;Player;class;6;7;2;0;4;5;3;55
gwap14489579;gwap.rest.UserPicture;UserPicture;class;25;11;2;0;3;6;2;165
gwap14489579;gwap.admin.TermList;TermList;class;7;6;2;0;4;4;2;56
gwap14489579;gwap.game.quiz.QuizSessionBean;QuizSessionBean;class;17;22;1;0;9;7;6;145
gwap14489579;gwap.admin.GameConfigurationList;GameConfigurationList;class;3;1;2;0;0;1;0;34
gwap14489579;gwap.admin.RoleHome;RoleHome;class;4;10;2;0;21;7;0;53
gwap14489579;gwap.model.StatementsTeaser;StatementsTeaser;class;9;8;1;0;20;8;5;81
gwap14489579;gwap.ResourceBean;ResourceBean;class;17;43;1;0;0;14;9;183
gwap14489579;gwap.tools.EntityHelper;EntityHelper;class;15;10;1;0;3;6;4;95
gwap14489579;gwap.mit.admin.StatementAnnotationList;StatementAnnotationList;class;3;1;2;0;0;1;0;34
gwap14489579;gwap.game.test.SharedGame;SharedGame;class;6;5;2;0;4;5;1;48
gwap14489579;gwap.game.SharedGame;SharedGame;class;8;62;1;1;453;35;15;244
gwap14489579;gwap.mit.PokerBetList;PokerBetList;class;15;19;2;0;0;5;7;104
gwap14489579;gwap.model.action.DistanceCovering;DistanceCovering;class;2;2;2;0;0;2;2;39
gwap14489579;gwap.game.test.Ai;Ai;class;3;3;3;0;3;3;1;44
gwap14489579;gwap.model.action.Selection;Selection;class;6;8;2;0;0;5;3;77
gwap14489579;gwap.mit.ChangeBet;ChangeBet;class;8;9;1;0;0;3;6;89
gwap14489579;gwap.model.action.TaggingCorrection;TaggingCorrection;class;5;6;2;0;9;6;4;59
gwap14489579;gwap.tools.HashBean;HashBean;class;0;5;1;0;0;5;3;48
gwap14489579;gwap.elearn.GameConfigurationBean;GameConfigurationBean;class;10;22;1;0;0;8;5;105
gwap14489579;gwap.elearn.FreeTaggingGame;FreeTaggingGame;class;11;17;2;0;5;7;5;102
gwap14489579;gwap.authentication.RolePermissionResolver;RolePermissionResolver;class;7;2;1;0;1;2;0;54
gwap14489579;gwap.widget.BadgeBean;BadgeBean;class;9;21;1;0;0;6;8;113
gwap14489579;gwap.rest.LocationService;LocationService;class;24;13;2;0;0;4;3;229
gwap14489579;gwap.game.MetaTaggingSuggestionBean;MetaTaggingSuggestionBean;class;14;11;1;0;1;3;7;92
gwap14489579;gwap.tools.MessagesHelper;MessagesHelper;class;2;3;1;0;1;2;1;45
gwap14489579;gwap.mit.BetList;BetList;class;16;20;2;0;0;6;7;111
gwap14489579;gwap.search.SolrServerBean;SolrServerBean;class;16;9;1;0;0;7;7;100
gwap14489579;gwap.wrapper.TagFrequency;TagFrequency;class;3;19;1;0;15;15;5;88
gwap14489579;gwap.test.RegisterTest;RegisterTest;class;3;2;3;0;1;1;0;35
gwap14489579;gwap.elearn.Results;Results;class;10;13;1;0;0;5;1;88
gwap14489579;gwap.mit.StatementBean;StatementBean;class;18;60;1;0;0;12;8;232
gwap14489579;gwap.game.quiz.UserPerceptionRating;UserPerceptionRating;class;6;10;1;0;33;10;7;72
gwap14489579;gwap.elearn.BackstageIntegration;BackstageIntegration;class;17;11;1;0;0;7;3;181
gwap14489579;gwap.mit.TradeBet;TradeBet;class;11;15;1;0;18;9;10;152
gwap14489579;gwap.wrapper.BackstageAnswer;BackstageAnswer;class;0;6;1;0;0;6;2;49
gwap14489579;gwap.model.action.Sale;Sale;class;9;5;2;0;6;5;3;66
gwap14489579;gwap.admin.NewsItemHome;NewsItemHome;class;7;6;2;0;1;2;4;62
gwap14489579;gwap.game.quiz.PlayNHighscoreCommunicationResource;PlayNHighscoreCommunicationResource;class;15;43;2;0;7;6;4;217
gwap14489579;gwap.mit.admin.StatementHome;StatementHome;class;18;32;2;0;23;11;8;158
gwap14489579;gwap.search.MitAlphabeticSearchBean;MitAlphabeticSearchBean;class;5;7;3;0;3;3;2;62
gwap14489579;gwap.model.resource.LocationHierarchy;LocationHierarchy;class;9;14;1;0;49;14;8;115
gwap14489579;gwap.tools.ImageAccessBean;ImageAccessBean;class;10;32;3;0;28;7;5;192
gwap14489579;gwap.game.quiz.tools.QuizQuestionBean;QuizQuestionBean;class;10;60;1;0;30;16;10;242
gwap14489579;gwap.admin.TagList;TagList;class;4;2;2;0;1;2;3;42
gwap14489579;gwap.model.action.Tagging;Tagging;class;9;7;2;0;0;5;3;196
gwap14489579;gwap.elearn.TerminaBackstage;TerminaBackstage;class;5;15;3;0;12;9;4;86
gwap14489579;gwap.model.action.ResourceRating;ResourceRating;class;5;4;2;0;2;4;3;51
gwap14489579;gwap.model.action.PerceptionPair;PerceptionPair;class;6;7;2;0;7;7;4;63
gwap14489579;gwap.tools.AbstractPaginatedList;AbstractPaginatedList;class;3;7;1;0;6;5;2;49
gwap14489579;gwap.mit.admin.StatementsTeaserList;StatementsTeaserList;class;7;3;2;0;1;2;1;57
gwap14489579;gwap.admin.TopicList;TopicList;class;7;4;2;0;1;2;1;49
gwap14489579;gwap.action.AbstractTaggingBean;AbstractTaggingBean;class;21;44;1;4;23;14;13;183
gwap14489579;gwap.model.resource.Location;Location;class;20;24;1;0;161;22;11;169
gwap14489579;gwap.wrapper.ImportedArtResource;ImportedArtResource;class;1;22;1;0;183;22;10;111
gwap14489579;gwap.model.TagRating;TagRating;class;8;10;1;0;16;9;5;84
gwap14489579;gwap.action.ActionBean;ActionBean;class;12;12;1;0;0;3;3;135
gwap14489579;gwap.model.GameSessionRating;GameSessionRating;class;6;2;2;0;0;2;2;41
gwap14489579;gwap.wrapper.HighscoreSet;HighscoreSet;class;4;10;1;0;35;10;5;65
gwap14489579;gwap.game.CombinedTagBean;CombinedTagBean;class;24;46;1;0;22;17;22;236
gwap14489579;gwap.admin.ArtResourceImporter;ArtResourceImporter;class;18;43;1;0;78;17;12;220
gwap14489579;gwap.authentication.Register;Register;class;15;13;1;0;0;5;11;112
gwap14489579;gwap.mit.Recognize;Recognize;class;21;101;2;0;260;28;15;342
gwap14489579;gwap.model.QuizHighscore;QuizHighscore;class;6;12;1;0;54;12;7;96
gwap14489579;gwap.test.CustomSeamTest;CustomSeamTest;class;2;1;3;2;0;1;0;38
gwap14489579;gwap.ResourceAcquisitionType;ResourceAcquisitionType;enum;0;0;1;0;0;0;0;33
gwap14489579;gwap.rest.ArtigoData;ArtigoData;class;13;13;1;0;0;1;3;90
gwap14489579;gwap.mit.AudioResourceBean;AudioResourceBean;class;15;6;1;0;0;1;7;89
gwap14489579;gwap.model.Badge;Badge;class;10;18;1;0;102;16;8;116
gwap14489579;com.maxmind.geoip.Location;Location;class;1;1;1;0;0;1;13;52
gwap14489579;gwap.model.action.VirtualTagging;VirtualTagging;class;11;6;2;0;9;6;4;78
gwap14489579;gwap.model.action.Action;Action;class;7;11;1;17;41;11;6;81
gwap14489579;gwap.model.action.Bet;Bet;class;7;7;3;1;15;7;4;82
