file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
jdialogue15460470;pl.kotcrab.jdialogue.editor.ArgsParserException;ArgsParserException;class;0;1;4;0;0;1;1;24
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.types.CallbackComponent;CallbackComponent;class;4;3;2;0;3;3;0;44
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.DComponentType;DComponentType;enum;0;0;1;0;0;0;0;21
jdialogue15460470;pl.kotcrab.jdialogue.editor.project.ProjectCallback;ProjectCallback;interface;1;1;1;0;0;1;0;21
jdialogue15460470;pl.kotcrab.jdialogue.parser.DialogueParser;DialogueParser;class;4;12;1;1;66;12;2;39
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.AddComponentMenuItem;AddComponentMenuItem;class;1;3;3;0;0;3;2;37
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.dialog.CharacterDeleteDialog;CharacterDeleteDialog;class;2;3;6;0;3;1;2;70
jdialogue15460470;pl.kotcrab.jdialogue.parser.impl.JDOMDialogueParser;JDOMDialogueParser;class;12;63;2;0;82;16;12;237
jdialogue15460470;pl.kotcrab.libgdx.DesktopLauncher;DesktopLauncher;class;3;1;1;0;0;1;0;14
jdialogue15460470;pl.kotcrab.jdialogue.renderer.ConsoleRenderer;ConsoleRenderer;class;4;21;1;0;20;7;2;106
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.dialog.CallbacksConfigDialog;CallbacksConfigDialog;class;6;20;6;0;0;4;5;133
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.StatusBar;StatusBar;class;0;3;5;0;0;2;2;41
jdialogue15460470;pl.kotcrab.jdialogue.editor.Assets;Assets;class;6;4;1;0;0;2;2;43
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.types.EndComponent;EndComponent;class;3;2;2;0;1;2;0;32
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.dialog.SequenceCreationDialog;SequenceCreationDialog;class;4;22;6;0;9;5;4;129
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.types.RelayComponent;RelayComponent;class;3;3;2;0;3;3;0;43
jdialogue15460470;pl.kotcrab.jdialogue.renderer.DialogueRenderer;DialogueRenderer;interface;0;1;1;0;0;1;0;19
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.ConnectionRenderer;ConnectionRenderer;class;6;43;1;0;2;5;3;124
jdialogue15460470;pl.kotcrab.jdialogue.tests.GzipSimplestLibgdxRendererTest;GzipSimplestLibgdxRendererTest;class;8;7;1;0;9;7;3;69
jdialogue15460470;pl.kotcrab.libgdx.Assets;Assets;class;6;4;1;0;0;2;2;26
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.LeftNumberEditor;LeftNumberEditor;class;0;14;3;0;9;4;4;96
jdialogue15460470;pl.kotcrab.jdialogue.editor.App;App;class;2;20;1;0;8;8;6;85
jdialogue15460470;pl.kotcrab.jdialogue.editor.Touch;Touch;class;3;6;1;0;0;6;2;66
jdialogue15460470;pl.kotcrab.jdialogue.parser.DialogueParserException;DialogueParserException;class;0;1;4;0;0;1;1;22
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.ChoiceComponentChoicesEditor;ChoiceComponentChoicesEditor;class;2;3;3;0;3;3;3;43
jdialogue15460470;pl.kotcrab.jdialogue.editor.IOUtils;IOUtils;class;1;8;1;0;6;4;0;74
jdialogue15460470;pl.kotcrab.jdialogue.editor.PropertyTable;PropertyTable;class;9;29;5;0;20;5;6;133
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.types.ChoiceComponent;ChoiceComponent;class;4;9;2;0;9;6;1;70
jdialogue15460470;pl.kotcrab.jdialogue.editor.EditorListener;EditorListener;interface;1;4;1;0;6;4;0;25
jdialogue15460470;pl.kotcrab.jdialogue.parser.PCharacter;PCharacter;class;0;7;1;0;0;7;3;45
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.CallbackJComboBoxModel;CallbackJComboBoxModel;class;1;5;2;0;2;5;3;42
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.dialog.CharactersConfigDialog;CharactersConfigDialog;class;6;20;6;0;0;4;5;133
jdialogue15460470;pl.kotcrab.jdialogue.editor.Editor;Editor;class;8;19;6;0;0;9;7;259
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.dialog.CallbackDeleteDialog;CallbackDeleteDialog;class;2;3;6;0;3;1;2;71
jdialogue15460470;pl.kotcrab.jdialogue.editor.Renderer;Renderer;class;35;154;1;0;492;39;27;595
jdialogue15460470;pl.kotcrab.jdialogue.editor.KotcrabText;KotcrabText;class;11;31;1;0;106;25;10;159
jdialogue15460470;pl.kotcrab.jdialogue.tests.ConsoleRendererTest;ConsoleRendererTest;class;3;1;1;0;0;1;0;29
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.types.TextComponent;TextComponent;class;13;21;2;0;69;15;4;149
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.dialog.ChoicesEditDialog;ChoicesEditDialog;class;2;5;6;0;1;1;4;105
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.types.StartComponent;StartComponent;class;3;2;2;0;1;2;0;32
jdialogue15460470;pl.kotcrab.jdialogue.editor.Main;Main;class;1;9;1;0;1;1;0;56
jdialogue15460470;pl.kotcrab.jdialogue.editor.project.PCallback;PCallback;class;0;5;1;0;0;5;2;39
jdialogue15460470;pl.kotcrab.jdialogue.parser.ComponentType;ComponentType;enum;0;0;1;0;0;0;0;19
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.DComponentConverter;DComponentConverter;class;19;63;1;0;3;3;1;188
jdialogue15460470;pl.kotcrab.jdialogue.editor.project.ProjectExport;ProjectExport;class;2;1;1;0;0;1;6;43
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.CharactersJComboBoxModel;CharactersJComboBoxModel;class;1;5;2;0;2;5;3;42
jdialogue15460470;pl.kotcrab.jdialogue.editor.ColumnsAutoSizer;ColumnsAutoSizer;class;1;24;1;0;15;6;0;104
jdialogue15460470;pl.kotcrab.jdialogue.editor.project.Project;Project;class;9;65;1;0;79;23;13;190
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.ChoiceComponentChoices;ChoiceComponentChoices;class;0;20;1;0;0;6;2;63
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.IDManager;IDManager;class;0;9;1;0;0;4;2;46
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.Connector;Connector;class;4;38;1;0;24;16;5;141
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.types.CallbackCheckComponent;CallbackCheckComponent;class;4;3;2;0;3;3;0;45
jdialogue15460470;pl.kotcrab.jdialogue.loader.GdxLoader;GdxLoader;class;2;2;1;0;0;2;1;28
jdialogue15460470;pl.kotcrab.jdialogue.parser.CallbackListener;CallbackListener;interface;0;2;1;0;1;2;0;20
jdialogue15460470;pl.kotcrab.jdialogue.editor.project.PCharacter;PCharacter;class;0;7;1;0;0;7;3;47
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.dialog.SequenceConfigDialog;SequenceConfigDialog;class;6;14;6;0;0;2;5;132
jdialogue15460470;pl.kotcrab.jdialogue.parser.Project;Project;class;2;7;1;0;9;7;6;52
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.DComponent;DComponent;class;9;83;1;8;203;35;12;274
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.dialog.CharacterCreationDialog;CharacterCreationDialog;class;3;19;6;0;9;5;5;133
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.dialog.NewProjectDialog;NewProjectDialog;class;4;31;6;0;15;6;9;206
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.ComponentTableModel;ComponentTableModel;class;0;15;2;0;14;9;3;70
jdialogue15460470;pl.kotcrab.jdialogue.editor.EditorLogic;EditorLogic;class;32;54;1;0;170;8;24;313
jdialogue15460470;pl.kotcrab.jdialogue.renderer.SimplestLibgdxRenderer;SimplestLibgdxRenderer;class;7;55;1;0;115;16;12;192
jdialogue15460470;pl.kotcrab.jdialogue.parser.PCallback;PCallback;class;0;5;1;0;0;5;2;37
jdialogue15460470;pl.kotcrab.jdialogue.tests.SimplestLibgdxRendererTest;SimplestLibgdxRendererTest;class;8;7;1;0;9;7;3;69
jdialogue15460470;pl.kotcrab.jdialogue.editor.gui.dialog.CallbackCreationDialog;CallbackCreationDialog;class;3;17;6;0;9;5;4;117
jdialogue15460470;pl.kotcrab.jdialogue.editor.EditorException;EditorException;class;0;1;4;0;0;1;1;24
jdialogue15460470;pl.kotcrab.jdialogue.editor.components.types.RandomComponent;RandomComponent;class;3;5;2;0;10;4;0;55
jdialogue15460470;pl.kotcrab.jdialogue.loader.JavaLoader;JavaLoader;class;1;2;1;0;0;2;1;27
jdialogue15460470;pl.kotcrab.jdialogue.editor.project.Sequence;Sequence;class;5;38;1;0;3;15;5;128
jdialogue15460470;pl.kotcrab.jdialogue.editor.RectangularSelectionListener;RectangularSelectionListener;interface;6;26;2;0;8;9;6;124
jdialogue15460470;pl.kotcrab.jdialogue.editor.CameraUtils;CameraUtils;class;3;1;1;0;0;1;0;29
jdialogue15460470;pl.kotcrab.jdialogue.loader.DialogueLoader;DialogueLoader;interface;0;1;1;0;0;1;0;20
