file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
jdominion1918822;org.jdominion.effects.hinterlands.CacheOnGainEffect;CacheOnGainEffect;class;6;2;3;0;1;2;0;17
jdominion1918822;org.jdominion.remote.RemoteStrategy;RemoteStrategy;class;14;27;1;0;55;15;7;170
jdominion1918822;org.jdominion.cards.base.Workshop;Workshop;class;2;1;2;0;0;1;0;8
jdominion1918822;org.jdominion.gui.GameConfigurationWindow;GameConfigurationWindow;class;2;27;6;0;70;15;8;125
jdominion1918822;org.jdominion.cards.base.Cellar;Cellar;class;3;1;2;0;0;1;0;11
jdominion1918822;org.jdominion.gui.TurnController;TurnController;class;2;5;1;0;0;3;2;29
jdominion1918822;org.jdominion.gui.GameConfigurationController;GameConfigurationController;class;5;15;1;0;0;6;6;81
jdominion1918822;org.jdominion.cards.cornucopia.TrustySteed;TrustySteed;class;2;1;3;0;0;1;0;8
jdominion1918822;org.jdominion.Game;Game;class;10;44;1;0;171;23;10;157
jdominion1918822;org.jdominion.cards.darkAges.Feodum;Feodum;class;3;1;2;0;0;1;0;11
jdominion1918822;org.jdominion.simulation.Simulator;Simulator;class;8;22;1;0;13;11;2;106
jdominion1918822;org.jdominion.gui.MultipleChoiceView;MultipleChoiceView;class;5;10;6;0;8;4;2;50
jdominion1918822;org.jdominion.event.CardPlayFinished;CardPlayFinished;class;5;1;3;0;0;1;0;10
jdominion1918822;org.jdominion.event.CardsRevealed;CardsRevealed;class;3;2;2;0;0;2;1;14
jdominion1918822;org.jdominion.cards.cornucopia.FarmingVillage;FarmingVillage;class;3;1;2;0;0;1;0;11
jdominion1918822;org.jdominion.cards.seaside.TreasureMap;TreasureMap;class;2;1;2;0;0;1;0;8
jdominion1918822;org.jdominion.cards.darkAges.ruins.Ruins;Ruins;class;2;1;2;0;0;1;0;9
jdominion1918822;org.jdominion.cards.base.Moat;Moat;class;3;1;2;0;0;1;0;11
jdominion1918822;org.jdominion.ICurrentTurn;ICurrentTurn;interface;1;1;1;0;0;1;0;4
jdominion1918822;org.jdominion.effects.darkAges.FeodumOnTrashEffect;FeodumOnTrashEffect;class;6;2;3;0;1;2;0;18
jdominion1918822;org.jdominion.decisions.ChooseTreasureCardToPlay;ChooseTreasureCardToPlay;class;4;9;3;0;3;3;0;28
jdominion1918822;org.jdominion.effects.intrigue.BaronEffect;BaronEffect;class;7;4;3;0;1;2;0;25
jdominion1918822;org.jdominion.gui.IGuiInformationSource;IGuiInformationSource;interface;7;7;1;0;21;7;0;19
jdominion1918822;org.jdominion.effects.cornucopia.HuntingPartyEffect;HuntingPartyEffect;class;3;2;4;0;1;2;0;12
jdominion1918822;org.jdominion.cards.intrigue.GreatHall;GreatHall;class;4;1;2;0;0;1;0;13
jdominion1918822;org.jdominion.cards.cornucopia.Followers;Followers;class;6;1;3;0;0;1;0;15
jdominion1918822;org.jdominion.gui.CardListView;CardListView;class;1;15;5;0;53;11;3;63
jdominion1918822;org.jdominion.cards.base.Witch;Witch;class;3;1;2;0;0;1;0;11
jdominion1918822;org.jdominion.cards.cornucopia.Jester;Jester;class;3;1;2;0;0;1;0;11
