file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
lwjglGames10559209;us.blackowen.chess.Tile;Tile;class;4;9;1;0;0;5;7;37
lwjglGames10559209;classes.Scrollbar;Scrollbar;class;2;17;1;0;0;5;3;50
lwjglGames10559209;slamakans.Main;Main;class;7;4;2;0;3;3;3;29
lwjglGames10559209;desu.Mapper;Mapper;class;3;37;1;0;68;13;6;164
lwjglGames10559209;desu.WorldEntity;WorldEntity;class;5;9;2;0;24;9;4;40
lwjglGames10559209;me.slamakans.Game;Game;class;9;13;2;0;30;9;4;74
lwjglGames10559209;classes.Option;Option;class;1;6;1;0;0;4;1;21
lwjglGames10559209;classes.scenes.Map2;Map2;class;9;10;3;0;15;6;0;52
lwjglGames10559209;classes.scenes.battle.Enemy;Enemy;class;6;97;2;0;117;18;12;246
lwjglGames10559209;pkm.move.Move;Move;class;1;2;1;1;1;2;5;17
lwjglGames10559209;classes.entities.monsters.ToughMonster;ToughMonster;class;1;1;2;0;0;1;0;7
lwjglGames10559209;classes.entities.items.weapons.TestSword;TestSword;class;1;1;5;0;0;1;0;6
lwjglGames10559209;classes.MessageBox;MessageBox;class;2;29;1;0;0;7;5;86
lwjglGames10559209;classes.entities.items.Item;Item;class;10;22;2;1;19;7;6;72
lwjglGames10559209;classes.entities.items.armor.ItemBoots;ItemBoots;class;1;1;5;1;0;1;0;6
lwjglGames10559209;slamakans.Ball;Ball;class;4;36;1;0;0;5;13;102
lwjglGames10559209;slamakans.FighterHealthbar;FighterHealthbar;class;3;3;1;0;0;3;7;29
lwjglGames10559209;classes.entities.items.consumables.HealthPotion;HealthPotion;class;1;7;4;0;0;2;1;26
lwjglGames10559209;classes.scenes.minigames.platformjump.PlatformGame;PlatformGame;class;7;24;3;0;36;9;1;79
lwjglGames10559209;us.blackowen.chess.pieces.Pawn;Pawn;class;2;2;2;0;0;1;0;10
lwjglGames10559209;classes.holders.AudioHolder;AudioHolder;class;2;24;1;0;0;9;6;79
lwjglGames10559209;us.blackowen.chess.Board;Board;class;5;14;1;0;0;4;1;42
lwjglGames10559209;classes.scenes.Map1;Map1;class;9;10;3;0;15;6;0;53
lwjglGames10559209;classes.Game;Game;class;22;30;2;0;27;10;24;150
lwjglGames10559209;classes.Mapper;Mapper;class;6;45;1;0;42;12;4;195
lwjglGames10559209;pkm.monster.Pokemon;Pokemon;class;2;8;1;1;0;6;4;29
lwjglGames10559209;classes.entities.items.weapons.RandomSword;RandomSword;class;1;1;5;0;0;1;1;8
lwjglGames10559209;desu.GameInitiator;GameInitiator;class;4;4;3;0;6;4;0;20
lwjglGames10559209;classes.holders.ImageHolder;ImageHolder;class;5;2;1;0;0;1;19;130
lwjglGames10559209;classes.scenes.Scene;Scene;class;16;127;2;1;139;19;11;270
lwjglGames10559209;classes.entities.worldentities.WorldEntity;WorldEntity;class;7;23;2;1;82;16;7;79
lwjglGames10559209;classes.scenes.minigames.platformjump.NormalPlatform;NormalPlatform;class;1;3;2;0;3;3;0;18
