file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.gui.dialog.JDialogDeletionDirect;JDialogDeletionDirect;class;1;24;6;0;26;6;7;203
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.Main;Main;class;1;6;1;0;1;2;3;49
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.conf.CustomFolders;CustomFolders;class;2;15;1;0;0;4;5;104
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.Translation;Translation;class;3;13;1;0;2;4;10;89
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.conf.DangerousItems;DangerousItems;class;3;9;1;0;1;3;4;69
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.gui.dialog.JFrameMain;JFrameMain;class;13;118;6;0;960;31;41;897
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.gui.dialog.JDialogOptionsTabs;JDialogOptionsTabs;class;5;77;10;0;1636;39;25;632
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.CountryLanguage;CountryLanguage;class;2;0;1;0;0;0;2;14
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.Redist;Redist;class;2;7;1;0;0;3;3;50
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.conf.I18nEncoding;I18nEncoding;class;3;5;1;0;1;3;2;51
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.FileComparator;FileComparator;class;1;12;1;0;0;2;4;39
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.Log;Log;class;1;8;1;0;0;4;1;62
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.FileUtils;FileUtils;class;1;33;1;0;10;5;0;144
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.conf.Patterns;Patterns;class;4;25;1;0;14;9;13;150
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.gui.dialog.JDialogAbout;JDialogAbout;class;2;8;6;0;21;5;6;167
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.conf.RemotePatterns;RemotePatterns;class;2;12;1;0;0;2;1;62
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.UpdateManager;UpdateManager;class;0;16;1;0;21;7;0;109
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.conf.Config;Config;class;4;36;1;0;0;23;19;224
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.conf.UncheckedItems;UncheckedItems;class;2;15;1;0;0;4;5;104
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.RedistTableModel;RedistTableModel;class;2;3;3;0;3;3;2;33
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.Version;Version;class;0;1;1;0;0;1;4;9
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.gui.dialog.JDialogCheckForUpdates;JDialogCheckForUpdates;class;1;13;6;0;36;6;6;175
tikione-steam-cleaner9309157;fr.tikione.steam.cleaner.util.GraphicsUtils;GraphicsUtils;class;1;3;1;0;1;3;1;33
