file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Avalon5601604;components.HealthCheckThread;HealthCheckThread;class;4;30;1;0;0;3;3;118;
Avalon5601604;modules.Logging;Logging;class;0;3;1;0;1;2;9;30;
Avalon5601604;beans.ServerRequest;ServerRequest;class;1;7;1;0;3;7;3;31;
Avalon5601604;components.TransceiverThread;TransceiverThread;class;3;5;1;0;0;2;2;32;
Avalon5601604;modules.ConfigurationManager;ConfigurationManager;class;7;28;1;0;55;11;0;163;
Avalon5601604;beans.HostLocation;HostLocation;class;0;6;1;0;9;6;3;24;
Avalon5601604;components.ConfigurationManager;ConfigurationManager;class;1;7;1;0;0;1;0;37;
Avalon5601604;modules.Transceiver;Transceiver;class;2;4;1;0;0;1;0;30;
Avalon5601604;beans.Contact;Contact;class;0;6;1;0;9;6;3;24;
Avalon5601604;tester.Test;Test;class;1;1;1;0;0;1;0;7;
Avalon5601604;components.ConfigurationManagerThread;ConfigurationManagerThread;class;5;7;1;0;0;1;0;48;
Avalon5601604;modules.LoggingModule;LoggingModule;class;0;3;1;0;1;2;9;30;
Avalon5601604;beans.ActionStep;ActionStep;class;0;8;1;0;20;8;4;31;
Avalon5601604;beans.Contacts;Contacts;class;0;6;1;0;9;6;3;24;
Avalon5601604;beans.ServerResponse;ServerResponse;class;0;7;1;0;3;7;3;30;
Avalon5601604;modules.ConfigurationManagerModule;ConfigurationManagerModule;class;7;28;1;0;55;11;0;163;
Avalon5601604;components.ConfigurationModule;ConfigurationModule;class;7;28;1;0;55;11;0;162;
Avalon5601604;beans.ServiceGroup;ServiceGroup;class;3;34;1;0;527;34;17;124;
Avalon5601604;modules.ContactModule;ContactModule;class;3;2;1;0;0;1;0;37;
Avalon5601604;modules.TransceiverModule;TransceiverModule;class;2;4;1;0;0;1;0;30;
