file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
BioBalanceDetector50017534;autoroute.BatchAutorouter;BatchAutorouter;class;20;87;1;0;28;8;10;376;
BioBalanceDetector50017534;gui.PopupMenuMove;PopupMenuMove;class;4;15;6;0;78;2;0;161;
BioBalanceDetector50017534;geometry.planar.IntOctagon;IntOctagon;class;16;367;4;0;1699;59;10;1651;
BioBalanceDetector50017534;designformats.specctra.PartLibrary;PartLibrary;class;11;80;3;0;34;9;9;374;
BioBalanceDetector50017534;autoroute.LocateFoundConnectionAlgo;LocateFoundConnectionAlgo;class;22;107;1;4;78;13;22;537;
BioBalanceDetector50017534;interactive.TileConstructionState;TileConstructionState;class;12;49;3;0;28;8;0;234;
BioBalanceDetector50017534;designformats.specctra.ReadScopeParameter;ReadScopeParameter;class;17;2;1;0;1;2;27;93;
BioBalanceDetector50017534;autoroute.AutorouteEngine;AutorouteEngine;class;29;143;1;0;210;21;11;649;
BioBalanceDetector50017534;interactive.CopyItemState;CopyItemState;class;18;61;2;0;55;11;6;321;
BioBalanceDetector50017534;gui.WindowRouteParameter;WindowRouteParameter;class;29;94;10;0;141;30;28;652;
BioBalanceDetector50017534;interactive.SelectedItemState;SelectedItemState;class;27;232;2;0;406;29;2;900;
BioBalanceDetector50017534;board.ComponentObstacleArea;ComponentObstacleArea;class;11;13;3;0;36;9;0;90;
BioBalanceDetector50017534;geometry.planar.Polygon;Polygon;class;3;31;1;0;6;4;1;169;
BioBalanceDetector50017534;rules.NetClasses;NetClasses;class;5;30;1;0;28;8;1;153;
BioBalanceDetector50017534;gui.WindowDisplayMisc;WindowDisplayMisc;class;15;26;8;0;0;12;12;315;
BioBalanceDetector50017534;interactive.BoardHandling;BoardHandling;class;36;383;1;0;5995;110;16;1692;
BioBalanceDetector50017534;board.TestLevel;TestLevel;enum;0;0;1;0;0;0;0;31;
BioBalanceDetector50017534;designformats.specctra.ReadScopeParameter;ReadScopeParameter;class;17;2;1;0;1;2;27;93;
BioBalanceDetector50017534;datastructures.TimeLimit;TimeLimit;class;0;5;1;0;3;3;2;59;
BioBalanceDetector50017534;interactive.LogfileScope;LogfileScope;class;70;203;64;0;6439;114;55;1162;
BioBalanceDetector50017534;interactive.SnapShot;SnapShot;class;13;47;1;0;36;9;21;233;
BioBalanceDetector50017534;designformats.specctra.Keyword;Keyword;class;13;2;1;1;0;2;105;151;
BioBalanceDetector50017534;library.LogicalParts;LogicalParts;class;2;9;1;0;6;4;1;72;
BioBalanceDetector50017534;gui.WindowObjectListWithFilter;WindowObjectListWithFilter;class;4;19;9;13;21;7;3;131;
BioBalanceDetector50017534;gui.WindowAbout;WindowAbout;class;1;1;8;0;0;1;0;61;
BioBalanceDetector50017534;interactive.PinSwapState;PinSwapState;class;8;28;2;0;10;5;3;137;
BioBalanceDetector50017534;gui.BoardMenuDisplay;BoardMenuDisplay;class;2;6;7;0;15;2;2;86;
BioBalanceDetector50017534;geometry.planar.Ellipse;Ellipse;class;1;5;1;0;0;1;4;62;
BioBalanceDetector50017534;geometry.planar.Simplex;Simplex;class;17;341;3;0;861;43;6;1332;
BioBalanceDetector50017534;autoroute.SortedOrthogonalRoomNeighbours;SortedOrthogonalRoomNeighbours;class;18;199;1;0;53;11;10;690;
BioBalanceDetector50017534;gui.WindowVisibility;WindowVisibility;class;7;13;8;2;33;10;6;153;
BioBalanceDetector50017534;rules.ViaInfos;ViaInfos;class;3;20;1;0;21;7;1;122;
BioBalanceDetector50017534;geometry.planar.PolylineArea;PolylineArea;class;11;61;1;0;210;21;3;276;
BioBalanceDetector50017534;gui.WindowLayerVisibility;WindowLayerVisibility;class;6;11;9;0;10;5;0;82;
BioBalanceDetector50017534;board.Via;Via;class;22;57;3;0;136;17;4;255;
BioBalanceDetector50017534;board.Component;Component;class;9;44;1;0;120;16;9;264;
BioBalanceDetector50017534;designformats.specctra.Placement;Placement;class;2;5;3;0;1;2;0;48;
BioBalanceDetector50017534;interactive.MenuState;MenuState;class;9;56;2;5;28;8;0;211;
BioBalanceDetector50017534;geometry.planar.Ellipse;Ellipse;class;1;5;1;0;0;1;4;62;
BioBalanceDetector50017534;board.DrillItem;DrillItem;class;20;113;2;4;561;34;7;466;
BioBalanceDetector50017534;rules.Nets;Nets;class;2;24;1;0;45;10;4;144;
BioBalanceDetector50017534;board.MoveDrillItemAlgo;MoveDrillItemAlgo;class;19;79;1;0;6;4;0;327;
BioBalanceDetector50017534;board.Layer;Layer;class;0;2;1;0;1;2;2;45;
BioBalanceDetector50017534;library.Padstacks;Padstacks;class;3;15;1;0;21;7;2;122;
BioBalanceDetector50017534;board.CoordinateTransform;CoordinateTransform;class;10;16;1;0;36;9;5;121;
BioBalanceDetector50017534;board.PullTightAlgo45;PullTightAlgo45;class;18;188;2;0;45;10;0;806;
BioBalanceDetector50017534;autoroute.DrillPage;DrillPage;class;16;49;1;0;55;11;5;224;
BioBalanceDetector50017534;gui.WindowComponents;WindowComponents;class;6;15;10;0;3;3;0;90;
BioBalanceDetector50017534;board.ComponentObstacleArea;ComponentObstacleArea;class;11;13;3;0;36;9;0;90;
BioBalanceDetector50017534;gui.BoardSavableSubWindow;BoardSavableSubWindow;class;2;6;7;19;6;4;2;82;
BioBalanceDetector50017534;designformats.specctra.Library;Library;class;26;103;3;0;15;6;0;428;
BioBalanceDetector50017534;designformats.specctra.ScopeKeyword;ScopeKeyword;class;4;23;2;13;3;3;0;118;
BioBalanceDetector50017534;boardgraphics.GraphicsContext;GraphicsContext;class;15;150;1;0;2211;67;10;760;
BioBalanceDetector50017534;designformats.specctra.CoordinateTransform;CoordinateTransform;class;13;30;1;0;105;15;3;243;
BioBalanceDetector50017534;board.CalcFromSide;CalcFromSide;class;9;25;1;0;6;4;3;163;
BioBalanceDetector50017534;library.Packages;Packages;class;5;13;1;0;15;6;2;107;
BioBalanceDetector50017534;board.MoveComponent;MoveComponent;class;13;38;1;0;10;5;11;222;
BioBalanceDetector50017534;datastructures.IndentFileWriter;IndentFileWriter;class;0;8;3;0;6;4;4;87;
BioBalanceDetector50017534;interactive.DragState;DragState;class;10;33;2;1;15;6;3;144;
BioBalanceDetector50017534;interactive.CircleConstructionState;CircleConstructionState;class;10;29;2;0;36;9;3;157;
BioBalanceDetector50017534;interactive.CutoutRouteState;CutoutRouteState;class;10;23;3;0;15;6;1;132;
BioBalanceDetector50017534;geometry.planar.RegularTileShape;RegularTileShape;class;5;9;3;2;36;9;0;78;
BioBalanceDetector50017534;gui.WindowManualRules;WindowManualRules;class;13;38;9;0;23;10;8;263;
BioBalanceDetector50017534;autoroute.TargetItemExpansionDoor;TargetItemExpansionDoor;class;7;10;1;0;28;8;5;83;
BioBalanceDetector50017534;geometry.planar.PolylineShape;PolylineShape;class;10;70;1;1;325;26;0;355;
BioBalanceDetector50017534;board.BoardOutline;BoardOutline;class;17;69;2;0;406;29;5;322;
BioBalanceDetector50017534;interactive.TileConstructionState;TileConstructionState;class;12;49;3;0;28;8;0;234;
BioBalanceDetector50017534;rules.ViaInfos;ViaInfos;class;3;20;1;0;21;7;1;122;
BioBalanceDetector50017534;autoroute.IncompleteFreeSpaceExpansionRoom;IncompleteFreeSpaceExpansionRoom;class;3;4;2;0;6;4;1;53;
BioBalanceDetector50017534;gui.WebStart;WebStart;class;0;36;1;0;10;5;1;190;
BioBalanceDetector50017534;interactive.StitchRouteState;StitchRouteState;class;8;9;3;0;21;7;0;81;
BioBalanceDetector50017534;gui.WindowPackages;WindowPackages;class;7;15;10;0;3;3;0;91;
BioBalanceDetector50017534;board.CalcFromSide;CalcFromSide;class;9;25;1;0;6;4;3;163;
BioBalanceDetector50017534;interactive.NetIncompletes;NetIncompletes;class;13;55;1;0;76;13;11;313;
BioBalanceDetector50017534;board.ObjectInfoPanel;ObjectInfoPanel;interface;5;12;1;0;66;12;0;96;
BioBalanceDetector50017534;board.PullTightAlgo;PullTightAlgo;class;28;124;1;0;120;16;15;574;
BioBalanceDetector50017534;board.ForcedViaAlgo;ForcedViaAlgo;class;17;58;1;0;6;4;0;289;
BioBalanceDetector50017534;board.BasicBoard;BasicBoard;class;44;326;1;2;2278;68;12;1490;
BioBalanceDetector50017534;gui.WindowIncompletes;WindowIncompletes;class;5;7;10;0;3;3;0;69;
BioBalanceDetector50017534;designformats.specctra.Shape;Shape;class;18;191;1;4;136;17;4;793;
