file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
FinderHealth14757056;university.pds.business.Unity;Unity;class;11;20;1;0;170;20;10;106;
FinderHealth14757056;university.pds.presentation.SpringUtils;SpringUtils;class;3;1;1;0;0;1;0;11;
FinderHealth14757056;university.pds.util.StartDatabase;StartDatabase;class;1;1;1;0;0;1;0;12;
FinderHealth14757056;university.pds.business.UnityLocation;UnityLocation;class;2;7;1;0;3;7;3;28;
FinderHealth14757056;university.pds.business.SpecialityController;SpecialityController;class;4;1;1;0;0;1;1;12;
FinderHealth14757056;university.pds.business.User;User;class;7;8;1;0;10;8;4;50;
FinderHealth14757056;university.pds.business.LoginForm;LoginForm;class;0;4;1;0;2;4;2;17;
FinderHealth14757056;university.pds.business.UnitySearchOptions;UnitySearchOptions;class;1;14;1;0;77;14;7;52;
FinderHealth14757056;university.pds.persistence.CategoryDao;CategoryDao;class;7;1;1;0;0;1;2;19;
FinderHealth14757056;university.pds.presentation.UserSession;UserSession;class;7;14;1;0;0;10;4;73;
FinderHealth14757056;university.pds.persistence.CommentDao;CommentDao;class;7;2;1;0;0;2;2;23;
FinderHealth14757056;university.pds.business.CommentController;CommentController;class;5;2;1;0;0;2;1;17;
FinderHealth14757056;university.pds.business.Category;Category;class;6;6;1;0;9;6;3;38;
FinderHealth14757056;university.pds.business.Speciality;Speciality;class;4;4;1;0;2;4;2;26;
FinderHealth14757056;university.pds.business.UserController;UserController;class;6;3;1;0;0;3;1;19;
FinderHealth14757056;university.pds.business.Comment;Comment;class;10;14;1;0;77;14;7;77;
FinderHealth14757056;university.pds.business.CategoryController;CategoryController;class;4;1;1;0;0;1;1;12;
FinderHealth14757056;university.pds.persistence.UserDao;UserDao;class;8;5;1;0;0;3;2;42;
FinderHealth14757056;university.pds.persistence.UnityDao;UnityDao;class;9;12;1;0;0;7;2;77;
FinderHealth14757056;university.pds.business.UnityController;UnityController;class;6;7;1;0;0;7;1;30;
FinderHealth14757056;university.pds.presentation.ShowUnity;ShowUnity;class;13;25;1;0;171;23;11;125;
FinderHealth14757056;university.pds.persistence.SpecialityDao;SpecialityDao;class;7;1;1;0;0;1;2;19;
FinderHealth14757056;university.pds.presentation.EntitySearch;EntitySearch;class;10;43;1;0;303;30;15;186;
FinderHealth14757056;university.pds.util.QueryGenerator;QueryGenerator;class;1;15;1;0;1;2;0;62;
FinderHealth14757056;university.pds.presentation.NewUser;NewUser;class;6;11;1;0;0;6;3;57;
