file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Health-Management-System79679273;dbms_p1.AddSpecificRec;AddSpecificRec;class;2;19;6;0;28;5;11;215;
Health-Management-System79679273;dbms_p1.HealthIndicator;HealthIndicator;class;5;22;6;0;45;6;6;192;
Health-Management-System79679273;dbms_p1.HSPatientInfo;HSPatientInfo;class;9;37;6;0;136;9;7;293;
Health-Management-System79679273;dbms_p1.Patient;Patient;class;8;48;6;0;190;10;8;343;
Health-Management-System79679273;dbms_p1.HealthSupporter;HealthSupporter;class;5;23;6;0;66;7;6;209;
Health-Management-System79679273;dbms_p1.Profile;Profile;class;4;17;6;0;28;5;14;216;
Health-Management-System79679273;dbms_p1.AddObservation;AddObservation;class;3;27;6;0;36;6;10;210;
Health-Management-System79679273;dbms_p1.UpdateProfile;UpdateProfile;class;4;24;6;0;66;7;14;247;
Health-Management-System79679273;dbms_p1.PatientHealthSupporter;PatientHealthSupporter;class;2;27;6;0;45;6;7;237;
Health-Management-System79679273;dbms_p1.SignUp;SignUp;class;2;22;6;0;66;7;33;388;
Health-Management-System79679273;dbms_p1.HSListOfPatients;HSListOfPatients;class;3;21;6;0;28;5;7;179;
Health-Management-System79679273;dbms_p1.ViewObservation;ViewObservation;class;4;18;6;0;15;4;4;141;
Health-Management-System79679273;dbms_p1.AlertIDPage;AlertIDPage;class;4;31;6;0;28;5;5;213;
Health-Management-System79679273;dbms_p1.Login;Login;class;5;47;6;0;169;11;13;293;
Health-Management-System79679273;dbms_p1.ClearAlert;ClearAlert;class;3;24;6;0;28;5;4;172;
Health-Management-System79679273;dbms_p1.Diagnosis;Diagnosis;class;1;22;6;0;36;6;10;275;
Health-Management-System79679273;dbms_p1.PatientSpecRec;PatientSpecRec;class;3;15;6;0;28;5;5;150;
Health-Management-System79679273;dbms_p1.HSDiagnosis;HSDiagnosis;class;1;11;6;0;36;6;10;208;
Health-Management-System79679273;dbms_p1.Setup;Setup;class;1;15;1;0;1;3;11;76;
