file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
HealthCare-Project-Desktop35298204;UserInterface.NurseRole.NurseCreatePatientJPanel;NurseCreatePatientJPanel;class;12;55;5;0;229;12;32;436;
HealthCare-Project-Desktop35298204;UserInterface.PharmacistRole.ManageDrugCatalogJPanel;ManageDrugCatalogJPanel;class;3;6;5;0;6;4;9;116;
HealthCare-Project-Desktop35298204;Business.EcoSystem;EcoSystem;class;6;10;2;0;10;8;3;55;
HealthCare-Project-Desktop35298204;UserInterface.doctorrole.AddVitalSignsJPanel;AddVitalSignsJPanel;class;4;8;5;0;11;4;16;172;
HealthCare-Project-Desktop35298204;Business.WorkQueue.DoctorReferenceWorkRequest;DoctorReferenceWorkRequest;class;4;6;2;0;9;6;3;36;
HealthCare-Project-Desktop35298204;UserInterface.PatientRole.ViewEncounterHistoryJPanel;ViewEncounterHistoryJPanel;class;6;14;5;0;11;5;8;160;
HealthCare-Project-Desktop35298204;Business.Drug.MedicationGuide;MedicationGuide;class;0;10;1;0;35;10;5;47;
HealthCare-Project-Desktop35298204;UserInterface.clinicaladminrole.ClinicalAdminWorkAreaJPanel;ClinicalAdminWorkAreaJPanel;class;1;2;5;0;1;2;3;54;
HealthCare-Project-Desktop35298204;Business.Organization.HospitalAdminOrganization;HospitalAdminOrganization;class;3;2;2;0;1;2;0;25;
HealthCare-Project-Desktop35298204;Business.Roles.DrugDistributorRole;DrugDistributorRole;class;7;1;2;0;0;1;0;23;
HealthCare-Project-Desktop35298204;UserInterface.NurseRole.NurseWorkAreaJPanel;NurseWorkAreaJPanel;class;5;6;5;0;9;4;7;100;
HealthCare-Project-Desktop35298204;UserInterface.labrole.LabWorkAreaJPanel;LabWorkAreaJPanel;class;5;27;5;0;64;7;15;223;
HealthCare-Project-Desktop35298204;UserInterface.doctorrole.ManageReferedWorkRequestsJPanel;ManageReferedWorkRequestsJPanel;class;12;57;5;0;250;14;26;424;
HealthCare-Project-Desktop35298204;Business.Organization.LabOrganization;LabOrganization;class;3;2;2;0;1;2;0;24;
HealthCare-Project-Desktop35298204;Business.Drug.DrugList;DrugList;class;1;4;1;0;0;4;1;28;
HealthCare-Project-Desktop35298204;UserInterface.DrugManufacturerRole.CommunicationPlanJPanel;CommunicationPlanJPanel;class;2;8;5;0;11;4;8;116;
HealthCare-Project-Desktop35298204;UserInterface.hospitaladminrole.AddPatientJPanel;AddPatientJPanel;class;3;17;5;0;41;6;21;235;
HealthCare-Project-Desktop35298204;UserInterface.PatientRole.ViewMedicationGuideJPanel;ViewMedicationGuideJPanel;class;3;5;5;0;6;4;22;198;
HealthCare-Project-Desktop35298204;Business.Organization.PatientOrganization;PatientOrganization;class;3;2;2;0;1;2;0;24;
HealthCare-Project-Desktop35298204;Business.Roles.ReceptionistRole;ReceptionistRole;class;6;1;2;0;0;1;0;22;
HealthCare-Project-Desktop35298204;UserInterface.PharmacyAdminRole.ManageOrganizationJPanel;ManageOrganizationJPanel;class;3;17;5;0;33;6;10;162;
HealthCare-Project-Desktop35298204;UserInterface.hospitaladminrole.AddDoctorsJPanel;AddDoctorsJPanel;class;7;38;5;0;132;10;18;279;
HealthCare-Project-Desktop35298204;Business.WorkQueue.AdverseEventWorkRequest;AdverseEventWorkRequest;class;3;4;2;0;2;4;2;28;
HealthCare-Project-Desktop35298204;Business.Person.Receptionist;Receptionist;class;1;1;2;0;0;1;0;16;
HealthCare-Project-Desktop35298204;UserInterface.NurseRole.NursePatientFollowUpJPanel;NursePatientFollowUpJPanel;class;6;10;5;0;11;5;8;147;
HealthCare-Project-Desktop35298204;Business.Encounter.LabTest;LabTest;class;0;7;1;0;11;7;3;44;
HealthCare-Project-Desktop35298204;Business.Enterprise.PharmacyEnterprise;PharmacyEnterprise;class;3;4;3;0;0;4;1;36;
HealthCare-Project-Desktop35298204;Business.Organization.PharmacyAdminOrganization;PharmacyAdminOrganization;class;3;2;2;0;1;2;0;24;
HealthCare-Project-Desktop35298204;Business.WorkQueue.PatientAppointmentRequest;PatientAppointmentRequest;class;1;2;2;0;0;2;1;20;
HealthCare-Project-Desktop35298204;Business.Person.Patient;Patient;class;3;12;2;0;52;12;5;55;
HealthCare-Project-Desktop35298204;Business.WorkQueue.WorkQueue;WorkQueue;class;1;2;1;0;0;2;1;20;
HealthCare-Project-Desktop35298204;Business.Person.Doctor;Doctor;class;1;6;2;0;7;6;2;43;
