file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
HealthCareProject56397264;Business.Role.Role;Role;class;0;5;1;1;4;5;1;45;
HealthCareProject56397264;UserInterface.PatientRole.ManageLabWorkRequestJPanel;ManageLabWorkRequestJPanel;class;3;8;5;0;6;4;6;115;
HealthCareProject56397264;UserInterface.SystemAdminWorkAreaJPanel.ManageEnterpriseJPanel;ManageEnterpriseJPanel;class;7;49;5;0;266;15;20;368;
HealthCareProject56397264;UserInterface.PharmacyRole.AddDrugJPanel;AddDrugJPanel;class;6;30;5;0;31;7;14;252;
HealthCareProject56397264;Business.Organization.PharmacyStoresOrganization;PharmacyStoresOrganization;class;3;3;2;0;1;3;1;28;
HealthCareProject56397264;Business.Doctor.DoctorRatings;DoctorRatings;class;1;7;1;0;11;7;3;38;
HealthCareProject56397264;UserInterface.LabAssistantRole.ViewRequestJPanel;ViewRequestJPanel;class;1;5;5;0;6;4;17;177;
HealthCareProject56397264;Business.Organization.PatientOrganization;PatientOrganization;class;2;2;2;0;1;2;0;22;
HealthCareProject56397264;Business.UserAccount.UserAccountDirectory;UserAccountDirectory;class;1;7;1;0;0;4;1;38;
HealthCareProject56397264;UserInterface.AdministrativeRole.ManageOrganizationJPanel;ManageOrganizationJPanel;class;7;34;5;0;31;7;9;208;
HealthCareProject56397264;Business.Enterprise.ClinicEnterprise;ClinicEnterprise;class;3;3;3;0;1;3;1;27;
HealthCareProject56397264;UserInterface.LabAssistantRole.ManageWorkRequestJPanel;ManageWorkRequestJPanel;class;9;33;5;0;81;9;13;267;
HealthCareProject56397264;Business.Person.PersonDirectory;PersonDirectory;class;1;3;1;0;0;3;1;27;
HealthCareProject56397264;Business.WorkQueue.WorkRequest;WorkRequest;class;1;13;1;0;62;13;6;60;
HealthCareProject56397264;Business.Administrative;Administrative;class;2;2;2;0;1;2;0;23;
HealthCareProject56397264;Business.Patient.Patient;Patient;class;2;24;1;0;250;24;11;101;
HealthCareProject56397264;UserInterface.PatientRole.ManageDoctorWorkRequestJPanel;ManageDoctorWorkRequestJPanel;class;7;17;5;0;11;5;8;177;
HealthCareProject56397264;UserInterface.AdministrativeRole.RegisterDoctorJPanel;RegisterDoctorJPanel;class;4;16;5;0;20;5;10;175;
HealthCareProject56397264;Business.Doctor.Nurse;Nurse;class;0;5;1;0;6;5;2;31;
HealthCareProject56397264;Business.EcoSystem;EcoSystem;class;6;38;2;0;28;12;5;140;
HealthCareProject56397264;Business.Encounter.Encounter;Encounter;class;6;21;1;0;168;21;11;101;
HealthCareProject56397264;Business.Doctor.LabAssistant;LabAssistant;class;0;3;1;0;1;3;1;24;
HealthCareProject56397264;UserInterface.DoctorRole.ViewEncounterHistoryJPanel;ViewEncounterHistoryJPanel;class;2;10;5;0;13;5;7;139;
HealthCareProject56397264;Business.PharmaceuticalCompany.Drug;Drug;class;2;20;1;0;166;20;11;88;
HealthCareProject56397264;Business.Doctor.Doctor;Doctor;class;3;9;1;0;26;9;5;53;
HealthCareProject56397264;UserInterface.PatientRole.ViewDoctorRatingAndReviewsJPanel;ViewDoctorRatingAndReviewsJPanel;class;4;18;5;0;47;7;16;254;
HealthCareProject56397264;UserInterface.LabAssistantRole.LabAssistantWorkAreaJPanel;LabAssistantWorkAreaJPanel;class;3;4;5;0;4;3;5;80;
HealthCareProject56397264;UserInterface.PharmaceuticalCompanyRole.DrugAdminOrganizationWorkAreaJPanel;DrugAdminOrganizationWorkAreaJPanel;class;6;10;5;0;9;5;6;102;
HealthCareProject56397264;UserInterface.PharmaceuticalCompanyRole.ManageWorkRequestJPanel;ManageWorkRequestJPanel;class;3;6;5;0;6;4;6;119;
HealthCareProject56397264;Business.Organization.LabAssistantOrganization;LabAssistantOrganization;class;2;2;2;0;1;2;0;21;
HealthCareProject56397264;UserInterface.AdministrativeRole.ViewPatientDetailsJPanel;ViewPatientDetailsJPanel;class;3;9;5;0;28;6;38;263;
HealthCareProject56397264;Business.Organization.NurseOrganization;NurseOrganization;class;2;2;2;0;1;2;0;22;
HealthCareProject56397264;Business.PharmacyOrganization.PharmacyStore;PharmacyStore;class;1;6;1;0;9;6;4;38;
HealthCareProject56397264;Business.Network.NetworkCity;NetworkCity;class;2;6;1;0;3;6;2;36;
HealthCareProject56397264;UserInterface.MainAdministrator.AddDoctorJPanel;AddDoctorJPanel;class;8;34;5;0;20;6;40;446;
HealthCareProject56397264;Business.Enterprise.Enterprise;Enterprise;class;4;6;2;2;0;6;3;44;
HealthCareProject56397264;UserInterface.AdministrativeRole.AddEmployeeJPanel;AddEmployeeJPanel;class;17;42;5;0;31;8;41;527;
HealthCareProject56397264;UserInterface.SystemAdminWorkAreaJPanel.ManageStateJPanel;ManageStateJPanel;class;3;31;5;0;97;10;14;260;
HealthCareProject56397264;UserInterface.PharmaceuticalCompanyRole.ViewDrugGuidelinesJPanel;ViewDrugGuidelinesJPanel;class;1;5;5;0;6;4;22;214;
HealthCareProject56397264;UserInterface.SystemAdminWorkAreaJPanel.ManageCityJPanel;ManageCityJPanel;class;4;47;5;0;202;14;18;345;
HealthCareProject56397264;UserInterface.DoctorRole.ViewLabRequestJPanel;ViewLabRequestJPanel;class;8;26;5;0;35;7;13;229;
HealthCareProject56397264;Business.Role.SystemAdminRole;SystemAdminRole;class;2;1;2;0;0;1;0;22;
HealthCareProject56397264;Business.Encounter.VitalSign;VitalSign;class;0;12;1;0;54;12;6;54;
