file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
HealthChronicle18363070;fhws.healthchronicle.beans.StoryBean;StoryBean;class;8;21;1;0;0;10;3;118;
HealthChronicle18363070;fhws.healthchronicle.entities.PlatformUser;PlatformUser;class;6;16;1;0;104;16;9;91;
HealthChronicle18363070;fhws.healthchronicle.beans.EventBean;EventBean;class;14;45;1;0;89;23;6;261;
HealthChronicle18363070;fhws.healthchronicle.dao.EntityManagerFactoryBean;EntityManagerFactoryBean;class;4;2;1;0;0;2;3;23;
HealthChronicle18363070;fhws.healthchronicle.entities.SymptomCounter;SymptomCounter;class;3;6;1;0;9;6;4;39;
HealthChronicle18363070;fhws.healthchronicle.beans.StatisticBean;StatisticBean;class;10;9;1;0;0;5;2;60;
HealthChronicle18363070;fhws.healthchronicle.entities.Diagnosis;Diagnosis;class;2;6;2;0;9;6;4;34;
HealthChronicle18363070;fhws.healthchronicle.entities.Symptom;Symptom;class;4;7;2;0;15;7;4;45;
HealthChronicle18363070;fhws.healthchronicle.beans.SessionBean;SessionBean;class;9;18;1;0;89;15;7;101;
HealthChronicle18363070;fhws.healthchronicle.entities.Event;Event;class;9;11;1;2;37;11;6;76;
HealthChronicle18363070;fhws.healthchronicle.entities.Role;Role;class;3;4;1;0;2;4;3;30;
HealthChronicle18363070;fhws.healthchronicle.entities.Protection;Protection;class;6;21;2;0;130;21;10;117;
HealthChronicle18363070;fhws.healthchronicle.helper.SymptomDiagnosisStatistic;SymptomDiagnosisStatistic;class;0;6;1;0;9;6;3;31;
HealthChronicle18363070;fhws.healthchronicle.beans.LoginBean;LoginBean;class;13;23;1;0;24;13;4;133;
HealthChronicle18363070;fhws.healthchronicle.beans.OptionsBean;OptionsBean;class;3;6;1;0;0;2;2;38;
HealthChronicle18363070;fhws.healthchronicle.entities.DiagnosisCounter;DiagnosisCounter;class;5;8;1;0;20;8;5;50;
HealthChronicle18363070;fhws.healthchronicle.entities.Story;Story;class;8;12;1;0;48;12;6;75;
