file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
HealthOffice4733226;gov.sp.health.entity.Area;Area;class;7;34;1;7;362;29;14;139;
HealthOffice4733226;gov.sp.health.bean.SubjectController;SubjectController;class;16;67;1;0;474;36;9;267;
HealthOffice4733226;gov.sp.health.entity.InInventoryBill;InInventoryBill;class;3;1;3;0;0;1;0;18;
HealthOffice4733226;gov.sp.health.entity.MeasurementUnit;MeasurementUnit;class;7;28;1;2;215;23;11;116;
HealthOffice4733226;gov.sp.health.facade.ProvinceFacade;ProvinceFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.entity.EstimateBill;EstimateBill;class;4;10;2;0;35;10;5;55;
HealthOffice4733226;gov.sp.health.facade.AppCoordinateFacade;AppCoordinateFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.facade.HeadCountFacade;HeadCountFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.entity.PharmaceuticalItemCategory;PharmaceuticalItemCategory;class;3;1;3;0;0;1;0;18;
HealthOffice4733226;gov.sp.health.facade.PersonContactFacade;PersonContactFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.entity.OutInventoryBill;OutInventoryBill;class;3;1;3;0;0;1;0;18;
HealthOffice4733226;gov.sp.health.facade.CylinderFacade;CylinderFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.entity.Privilege;Privilege;class;13;116;1;0;5923;111;59;441;
HealthOffice4733226;gov.sp.health.facade.ModalFacade;ModalFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.facade.GnFacade;GnFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.bean.AreaController;AreaController;class;44;108;1;0;1979;66;29;409;
HealthOffice4733226;gov.sp.health.bean.MessageProvider;MessageProvider;class;5;25;1;0;3;7;3;101;
HealthOffice4733226;gov.sp.health.bean.MohController;MohController;class;21;73;1;0;703;42;12;290;
HealthOffice4733226;gov.sp.health.bean.SupplierController;SupplierController;class;18;67;1;0;484;32;7;279;
HealthOffice4733226;gov.sp.health.entity.Vmpp;Vmpp;class;5;4;3;0;2;4;2;32;
HealthOffice4733226;gov.sp.health.bean.QuestionerController;QuestionerController;class;33;11;1;0;32;9;25;178;
HealthOffice4733226;gov.sp.health.bean.ExpenseController;ExpenseController;class;43;216;1;0;5780;113;40;890;
HealthOffice4733226;gov.sp.health.entity.Designation;Designation;class;10;38;1;0;484;33;16;159;
HealthOffice4733226;gov.sp.health.entity.post.Letter;Letter;class;15;84;1;0;2987;79;39;343;
HealthOffice4733226;gov.sp.health.entity.ReceiveBill;ReceiveBill;class;5;1;2;0;0;1;1;22;
HealthOffice4733226;gov.sp.health.entity.ItemUnit;ItemUnit;class;19;98;1;0;3989;91;45;377;
HealthOffice4733226;gov.sp.health.facade.BillFacade;BillFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.bean.ItemCategoryController;ItemCategoryController;class;15;63;1;0;364;32;9;251;
HealthOffice4733226;gov.sp.health.facade.ContactTypeFacade;ContactTypeFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.entity.MohArea;MohArea;class;3;0;2;0;0;0;0;16;
HealthOffice4733226;gov.sp.health.bean.ItemUnitHistoryController;ItemUnitHistoryController;class;16;67;1;0;474;36;9;266;
HealthOffice4733226;gov.sp.health.facade.DesignationFacade;DesignationFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.facade.ManufacturerFacade;ManufacturerFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.facade.PersonFacade;PersonFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.entity.Vmp;Vmp;class;3;4;3;0;2;4;2;30;
HealthOffice4733226;gov.sp.health.facade.MedicineGroupFacade;MedicineGroupFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.entity.Article;Article;class;10;50;1;0;936;45;22;211;
HealthOffice4733226;gov.sp.health.entity.ItemBatch;ItemBatch;class;11;42;1;0;614;37;18;172;
HealthOffice4733226;gov.sp.health.entity.Subject;Subject;class;3;0;2;0;0;0;0;19;
HealthOffice4733226;gov.sp.health.entity.DesignationLevel;DesignationLevel;class;7;32;1;0;313;27;13;130;
HealthOffice4733226;gov.sp.health.data.TemFinding;TemFinding;class;0;7;1;0;0;7;2;35;
HealthOffice4733226;gov.sp.health.bean.PersonContactController;PersonContactController;class;32;131;1;0;2262;72;25;471;
HealthOffice4733226;gov.sp.health.facade.ExpenseFacade;ExpenseFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.entity.AppCoordinate;AppCoordinate;class;18;56;1;0;1209;51;25;227;
HealthOffice4733226;gov.sp.health.bean.PersonController;PersonController;class;17;74;1;0;410;32;10;299;
HealthOffice4733226;gov.sp.health.facade.CountryFacade;CountryFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.facade.FileFacade;FileFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.entity.UnitType;UnitType;class;7;26;1;0;174;21;10;113;
HealthOffice4733226;gov.sp.health.bean.VtmController;VtmController;class;18;48;1;0;228;24;6;226;
HealthOffice4733226;gov.sp.health.facade.LetterFacade;LetterFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.facade.FunctionCategoryFacade;FunctionCategoryFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.facade.InstitutionContactFacade;InstitutionContactFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.facade.QuestionerAnswerItemFacade;QuestionerAnswerItemFacade;class;5;2;2;0;1;2;1;25;
HealthOffice4733226;gov.sp.health.entity.Modal;Modal;class;5;3;3;0;1;3;1;27;
HealthOffice4733226;gov.sp.health.entity.Bill;Bill;class;13;76;1;5;2399;71;35;299;
HealthOffice4733226;gov.sp.health.entity.ItemCategory;ItemCategory;class;3;0;2;4;0;0;0;16;
HealthOffice4733226;gov.sp.health.entity.ItemSupplier;ItemSupplier;class;10;36;1;0;419;31;15;153;
HealthOffice4733226;gov.sp.health.bean.HeadCountController;HeadCountController;class;42;167;1;0;4690;101;37;659;
