file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
HealthPointInventory76223093;com.afritrend.common.AutoDrugSearchDataAccess;AutoDrugSearchDataAccess;class;3;48;1;0;0;16;3;445;
HealthPointInventory76223093;com.afritrend.WardController.WardDrugsLostReportController;WardDrugsLostReportController;class;1;1;1;0;0;1;0;23;
HealthPointInventory76223093;com.afritrend.common.Model.itemAmount;itemAmount;class;0;10;1;0;21;10;4;49;
HealthPointInventory76223093;com.afritrend.PharmacyController.HospitalSundriesEntryController;HospitalSundriesEntryController;class;1;1;1;0;0;1;0;23;
HealthPointInventory76223093;com.afritrend.common.DataAccess.ItemSummaryDataAccess;ItemSummaryDataAccess;class;2;3;1;0;0;1;3;50;
HealthPointInventory76223093;com.afritrend.WardController.FinalizeOrderController;FinalizeOrderController;class;15;10;1;0;8;5;2;144;
HealthPointInventory76223093;com.afritrend.WardController.WardDrugsExpiryReportController;WardDrugsExpiryReportController;class;1;1;1;0;0;1;0;23;
HealthPointInventory76223093;com.afritrend.Pharmacy.Reports.PharmacyDrugsLost;PharmacyDrugsLost;class;0;0;1;0;0;0;0;12;
HealthPointInventory76223093;com.afritrend.PharmacyController.HP_EDMSController;HP_EDMSController;class;3;4;1;0;1;2;1;44;
HealthPointInventory76223093;com.afritrend.PharmacyDataAccess.ItemDataAccess;ItemDataAccess;class;3;3;1;0;1;2;3;57;
HealthPointInventory76223093;com.afritrend.PharmacyModel.PharmacyStockCardModel;PharmacyStockCardModel;class;0;24;1;0;210;24;11;105;
HealthPointInventory76223093;com.afritrend.WardController.ItemEntryController;ItemEntryController;class;1;1;1;0;0;1;0;23;
HealthPointInventory76223093;com.afritrend.Pharmacy.Reports.PharmacyDrugsSummary;PharmacyDrugsSummary;class;0;0;1;0;0;0;0;12;
HealthPointInventory76223093;com.afritrend.common.Interfaces.Iusers;Iusers;interface;1;6;1;0;15;6;0;20;
HealthPointInventory76223093;com.afritrend.WardDataAccess.ItemDataAccess;ItemDataAccess;class;3;3;1;0;1;2;3;57;
HealthPointInventory76223093;healthpointinventory.HealthPointController;HealthPointController;class;13;15;1;0;6;4;6;113;
HealthPointInventory76223093;com.afritrend.common.config;config;class;0;2;1;0;0;1;5;45;
HealthPointInventory76223093;com.afritrend.WardController.WardFinalizeModalController;WardFinalizeModalController;class;1;2;1;0;1;2;0;27;
HealthPointInventory76223093;com.afritrend.PharmacyController.DrugsLostReportController;DrugsLostReportController;class;1;1;1;0;0;1;0;23;
HealthPointInventory76223093;com.afritrend.WardController.NewRequisitionController;NewRequisitionController;class;18;34;1;0;50;12;19;453;
HealthPointInventory76223093;com.afritrend.Pharmacy.Reports.PharmacySundryStockCard;PharmacySundryStockCard;class;0;0;1;0;0;0;0;12;
HealthPointInventory76223093;com.afritrend.PharmacyController.PharmacyReviewModalController;PharmacyReviewModalController;class;8;5;1;0;6;4;2;94;
HealthPointInventory76223093;com.afritrend.common.Model.DrugsModel;DrugsModel;class;0;16;1;0;78;16;7;73;
HealthPointInventory76223093;com.afritrend.common.Model.WardNormalRequisitionsApproved;WardNormalRequisitionsApproved;class;0;24;1;0;174;24;10;105;
HealthPointInventory76223093;com.afritrend.WardController.WardSundriesLostReportController;WardSundriesLostReportController;class;1;1;1;0;0;1;0;23;
HealthPointInventory76223093;com.afritrend.common.DataAccess.DrugsDataAccess;DrugsDataAccess;class;3;4;1;0;0;2;3;82;
HealthPointInventory76223093;com.afritrend.common.Model.requisitionModel;requisitionModel;class;0;14;1;0;39;14;5;65;
HealthPointInventory76223093;com.afritrend.common.Interfaces.IDrugs;IDrugs;interface;1;1;1;0;0;1;0;14;
HealthPointInventory76223093;com.afritrend.WardController.WardDrugsSundryReportController;WardDrugsSundryReportController;class;1;1;1;0;0;1;0;23;
HealthPointInventory76223093;com.afritrend.PharmacyInterfaces.Iitem;Iitem;interface;1;2;1;0;1;2;0;15;
HealthPointInventory76223093;com.afritrend.WardController.ApproveRequisitionController;ApproveRequisitionController;class;15;10;1;0;8;5;2;145;
HealthPointInventory76223093;com.afritrend.common.Model.WardNormalRequisitionFinalized;WardNormalRequisitionFinalized;class;0;12;1;0;24;12;4;57;
HealthPointInventory76223093;com.afritrend.Pharmacy.Reports.PharmacySundryExpiry;PharmacySundryExpiry;class;0;0;1;0;0;0;0;12;
HealthPointInventory76223093;com.afritrend.WardDataAccess.RequisitionDataAccess;RequisitionDataAccess;class;10;29;1;0;0;10;3;385;
HealthPointInventory76223093;com.afritrend.WardModel.ItemsModel;ItemsModel;class;1;9;1;0;18;9;3;53;
HealthPointInventory76223093;com.afritrend.common.DataAccess.GroupsDataAccess;GroupsDataAccess;class;3;7;1;0;10;5;4;80;
HealthPointInventory76223093;com.afritrend.PharmacyController.DrugSettingsController;DrugSettingsController;class;12;4;1;0;0;2;5;113;
HealthPointInventory76223093;com.afritrend.PharmacyController.ItemEntryController;ItemEntryController;class;20;57;1;0;16;8;26;469;
HealthPointInventory76223093;com.afritrend.PharmacyController.PharmacyApproveModalController;PharmacyApproveModalController;class;8;4;1;0;1;3;2;82;
HealthPointInventory76223093;com.afritrend.common.Model.UsersModel;UsersModel;class;0;42;1;0;669;42;19;177;
HealthPointInventory76223093;com.afritrend.WardController.ReviewRequisitionController;ReviewRequisitionController;class;15;10;1;0;8;5;2;145;
HealthPointInventory76223093;com.afritrend.common.Model.WardNormalRequisitionReceived;WardNormalRequisitionReceived;class;0;18;1;0;81;18;7;81;
HealthPointInventory76223093;com.afritrend.PharmacyController.SundryStockCardController;SundryStockCardController;class;1;1;1;0;0;1;0;23;
HealthPointInventory76223093;com.afritrend.Ward.Factory.WardFactory;WardFactory;class;1;1;1;0;0;1;0;28;
HealthPointInventory76223093;com.afritrend.common.Interfaces.ICheckConnection;ICheckConnection;interface;0;1;1;0;0;1;0;13;
HealthPointInventory76223093;healthpointinventory.HealthPointInventory;HealthPointInventory;class;4;2;2;0;1;2;0;40;
HealthPointInventory76223093;healthpointinventory.preloader.HealthPointInventory_Preloader;HealthPointInventory_Preloader;class;9;6;2;0;2;4;2;44;
HealthPointInventory76223093;com.afritrend.WardController.WardItemEntryController;WardItemEntryController;class;16;13;1;0;0;5;19;213;
HealthPointInventory76223093;com.afritrend.PharmacyController.DrugStockCardController;DrugStockCardController;class;12;5;1;0;3;3;1;173;
HealthPointInventory76223093;com.afritrend.common.Model.Items;Items;class;0;10;1;0;21;10;4;48;
HealthPointInventory76223093;com.afritrend.PharmacyController.DrugsExpiryReportController;DrugsExpiryReportController;class;1;1;1;0;0;1;0;23;
HealthPointInventory76223093;com.afritrend.WardController.WardDrugSettingsController;WardDrugSettingsController;class;1;1;1;0;0;1;0;23;
HealthPointInventory76223093;com.afritrend.Pharmacy.Reports.PharmacyDrugStockCard;PharmacyDrugStockCard;class;3;27;1;0;234;25;11;146;
HealthPointInventory76223093;com.afritrend.common.DataAccess.DrugSettingsDataAccess;DrugSettingsDataAccess;class;3;5;1;0;0;2;3;76;
