file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
HealthTranslatorServer52986779;ht.utils.InvalidLanguageException;InvalidLanguageException;class;0;2;3;0;1;2;0;18;
HealthTranslatorServer52986779;org.tartarus.snowball.ext.danishStemmer;danishStemmer;class;3;77;3;0;6;9;10;414;
HealthTranslatorServer52986779;org.tartarus.snowball.SnowballProgram;SnowballProgram;class;3;145;1;1;4;29;6;387;
HealthTranslatorServer52986779;ht.rating.Rating;Rating;class;9;8;1;0;1;3;2;80;
HealthTranslatorServer52986779;ht.details.ConceptDetailsResult;ConceptDetailsResult;class;3;2;1;0;1;2;5;32;
HealthTranslatorServer52986779;org.tartarus.snowball.Among;Among;class;2;4;1;0;0;1;6;28;
HealthTranslatorServer52986779;org.tartarus.snowball.ext.portugueseStemmer;portugueseStemmer;class;3;227;3;0;71;14;15;1097;
HealthTranslatorServer52986779;ht.utils.ServletContextClass;ServletContextClass;class;5;18;1;0;1;2;1;159;
HealthTranslatorServer52986779;org.tartarus.snowball.ext.romanianStemmer;romanianStemmer;class;3;197;3;0;69;15;13;1007;
HealthTranslatorServer52986779;ht.rating.RatingParams;RatingParams;class;0;1;1;0;0;1;7;20;
HealthTranslatorServer52986779;ht.details.ExternalReferencesExtractor;ExternalReferencesExtractor;class;13;76;1;0;38;13;3;370;
HealthTranslatorServer52986779;ht.process.Processor;Processor;class;18;43;1;0;8;5;4;448;
HealthTranslatorServer52986779;ht.suggest.SuggestParams;SuggestParams;class;0;1;1;0;0;1;3;16;
HealthTranslatorServer52986779;ht.utils.ReplacementRule;ReplacementRule;class;0;3;1;0;0;3;3;45;
HealthTranslatorServer52986779;ht.utils.Inflector;Inflector;class;3;33;1;0;15;7;16;400;
HealthTranslatorServer52986779;ht.utils.LoggerFactory;LoggerFactory;class;0;1;1;0;0;1;0;39;
HealthTranslatorServer52986779;ht.process.ProcessorResult;ProcessorResult;class;0;3;1;0;1;3;6;33;
HealthTranslatorServer52986779;org.tartarus.snowball.SnowballStemmer;SnowballStemmer;class;1;1;2;0;0;1;0;5;
HealthTranslatorServer52986779;ht.process.Change;Change;class;0;2;1;0;1;2;3;24;
