file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Health_database_system33047027;patientclass;patientclass;class;0;2;1;0;0;2;9;26;
Health_database_system33047027;initDB;initDB;class;3;31;1;0;0;2;51;270;
Health_database_system33047027;sqlQueries;sqlQueries;class;1;11;1;0;1;2;0;40;
Health_database_system33047027;doctorInterface;doctorInterface;class;2;72;1;0;0;12;27;345;
Health_database_system33047027;DBconnector;DBconnector;class;0;4;1;0;6;4;4;61;
Health_database_system33047027;Message;Message;class;0;90;1;0;3915;90;45;329;
Health_database_system33047027;healthSystem;healthSystem;class;6;4;1;0;1;3;4;42;
Health_database_system33047027;parseMessage;parseMessage;class;4;43;1;0;17;14;2;245;
Health_database_system33047027;patientInterface;patientInterface;class;2;43;1;0;0;8;26;221;
Health_database_system33047027;adminInterface;adminInterface;class;1;25;1;0;21;7;3;179;
Health_database_system33047027;mainInterface;mainInterface;class;9;77;1;0;6;4;0;328;
Health_database_system33047027;Tuple;Tuple;class;0;1;1;0;0;1;2;8;
