file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Healthmate149699817;healthmate.take;take;class;3;10;6;0;0;1;9;235;
Healthmate149699817;healthmate.Healthmate;Healthmate;class;2;8;6;0;8;4;3;76;
Healthmate149699817;healthmate.Patient;Patient;class;6;33;6;0;227;2;23;290;
Healthmate149699817;healthmate.Worker;Worker;class;2;16;2;0;0;5;5;140;
Healthmate149699817;healthmate.FrameDemo;FrameDemo;class;2;29;6;0;0;1;8;322;
Healthmate149699817;healthmate.Workere;Workere;class;2;4;2;0;0;3;5;56;
Healthmate149699817;healthmate.Project;Project;class;6;28;6;0;188;2;4;218;
Healthmate149699817;healthmate.report;report;class;2;30;6;0;0;6;40;363;
Healthmate149699817;healthmate.faq;faq;class;1;2;6;0;1;1;4;157;
Healthmate149699817;healthmate.run123;run123;class;0;0;5;0;0;0;2;14;
Healthmate149699817;healthmate.Editpro;Editpro;class;5;6;6;0;6;2;2;170;
Healthmate149699817;healthmate.database;database;class;1;7;2;0;0;3;2;35;
Healthmate149699817;healthmate.aboutus;aboutus;class;2;5;6;0;4;2;3;95;
Healthmate149699817;healthmate.Workerl;Workerl;class;2;7;2;0;2;4;5;66;
