file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
SSH--healthserver--50419918;com.health.entity.Supports;Supports;class;6;7;2;0;15;7;4;40;
SSH--healthserver--50419918;com.health.entity.User;User;class;6;7;2;0;15;7;4;41;
SSH--healthserver--50419918;com.health.action.UserAction;UserAction;class;22;275;2;0;10426;157;61;1579;
SSH--healthserver--50419918;com.health.common.Commonparam;Commonparam;class;4;54;1;0;91;15;7;277;
SSH--healthserver--50419918;com.health.entity.Bootpage;Bootpage;class;6;5;2;0;6;5;3;34;
SSH--healthserver--50419918;com.health.common.PushUtils;PushUtils;class;3;10;1;0;1;3;3;118;
SSH--healthserver--50419918;com.health.entity.Firstpage;Firstpage;class;6;23;2;0;231;23;12;96;
SSH--healthserver--50419918;com.health.entity.Message;Message;class;6;25;2;0;272;25;13;104;
SSH--healthserver--50419918;com.health.entity.Onlinefirst;Onlinefirst;class;6;9;2;0;28;9;5;47;
SSH--healthserver--50419918;com.health.common.PingYin;PingYin;class;3;12;1;0;6;4;0;87;
SSH--healthserver--50419918;com.health.common.Lunar;Lunar;class;1;42;1;0;21;10;7;164;
SSH--healthserver--50419918;com.health.entity.Onlinetest;Onlinetest;class;6;15;2;0;91;15;8;68;
SSH--healthserver--50419918;com.health.common.PicPath;PicPath;class;0;2;1;0;0;1;0;26;
SSH--healthserver--50419918;com.health.common.ProxoolServlet;ProxoolServlet;class;3;4;2;0;6;4;1;25;
SSH--healthserver--50419918;com.json.BaseBean;BaseBean;class;0;10;1;0;35;10;5;39;
SSH--healthserver--50419918;com.health.entity.Knowledge;Knowledge;class;6;21;2;0;190;21;11;89;
SSH--healthserver--50419918;com.health.entity.Aboutus;Aboutus;class;6;7;2;0;15;7;4;40;
SSH--healthserver--50419918;com.health.service.impl.UserManagerImpl;UserManagerImpl;class;16;45;1;0;0;44;1;268;
SSH--healthserver--50419918;com.health.common.PushThread;PushThread;class;0;2;2;0;0;2;3;19;
SSH--healthserver--50419918;com.health.dao.UserDao;UserDao;class;17;107;2;0;903;43;0;753;
SSH--healthserver--50419918;com.health.entity.Version;Version;class;6;11;2;0;45;11;6;54;
SSH--healthserver--50419918;com.json.JsonAuthority;JsonAuthority;class;0;8;1;0;20;8;4;31;
SSH--healthserver--50419918;com.health.common.HttpGetMsg;HttpGetMsg;class;1;11;1;0;3;3;0;104;
SSH--healthserver--50419918;com.health.common.MatrixToImageWriter;MatrixToImageWriter;class;1;11;1;0;6;4;2;42;
SSH--healthserver--50419918;com.health.service.UserManager;UserManager;interface;11;43;1;0;903;43;0;68;
SSH--healthserver--50419918;com.health.entity.Recommend;Recommend;class;6;13;2;0;66;13;7;61;
