file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Smart-Health75906455;com.smarthealth.controller.CommentonPost;CommentonPost;class;5;3;2;0;1;2;1;44;
Smart-Health75906455;com.smarthealth.controller.DeleteForum;DeleteForum;class;5;6;2;0;1;2;1;61;
Smart-Health75906455;com.smarthealth.controller.Registration;Registration;class;1;18;1;0;28;8;0;110;
Smart-Health75906455;com.smarthealth.connection.Query_without_return;Query_without_return;class;0;1;1;0;0;1;0;9;
Smart-Health75906455;com.smarthealth.view.For_login;For_login;interface;0;1;1;0;0;1;0;8;
Smart-Health75906455;com.smarthealth.connection.Query_with_bool_return;Query_with_bool_return;class;0;3;1;0;0;1;0;12;
Smart-Health75906455;com.smarthealth.controller.Health_data;Health_data;class;1;2;1;0;1;2;0;9;
Smart-Health75906455;com.smarthealth.controller.View_requests;View_requests;class;3;3;2;0;3;3;1;35;
Smart-Health75906455;com.smarthealth.controller.Logout;Logout;class;5;2;2;0;1;2;1;33;
Smart-Health75906455;com.smarthealth.controller.URL_for_image1;URL_for_image1;class;10;14;2;0;3;3;1;87;
Smart-Health75906455;com.smarthealth.controller.Create_forum;Create_forum;class;6;3;2;0;1;2;1;43;
Smart-Health75906455;com.smarthealth.connection.DBConnection;DBConnection;class;0;5;1;0;0;2;1;25;
Smart-Health75906455;com.smarthealth.connection.Query_with_return;Query_with_return;class;0;1;1;0;0;1;0;10;
Smart-Health75906455;com.smarthealth.controller.Forum;Forum;class;0;9;1;0;3;3;1;55;
Smart-Health75906455;com.smarthealth.controller.FriendRequest;FriendRequest;class;5;6;2;0;1;2;1;56;
Smart-Health75906455;com.smarthealth.controller.Login;Login;class;2;65;1;0;129;30;3;475;
Smart-Health75906455;com.smarthealth.controller.PostonForum;PostonForum;class;5;3;2;0;1;2;1;43;
Smart-Health75906455;com.smarthealth.controller.Login_servlet;Login_servlet;class;6;12;2;0;3;3;2;97;
Smart-Health75906455;com.smarthealth.view.View;View;class;0;0;1;0;0;0;0;3;
Smart-Health75906455;com.smarthealth.controller.URL_for_image2;URL_for_image2;class;10;14;2;0;3;3;1;85;
Smart-Health75906455;com.smarthealth.view.For_registration;For_registration;interface;0;3;1;0;3;3;0;8;
Smart-Health75906455;com.smarthealth.controller.InsertDatum;InsertDatum;class;5;3;2;0;1;2;1;44;
Smart-Health75906455;com.smarthealth.controller.RejectServlet;RejectServlet;class;5;6;2;0;1;2;1;61;
Smart-Health75906455;com.smarthealth.controller.AcceptServlet;AcceptServlet;class;5;6;2;0;1;2;1;61;
Smart-Health75906455;com.smarthealth.controller.View_Data_Friend;View_Data_Friend;class;5;6;2;0;1;2;1;57;
Smart-Health75906455;com.smarthealth.controller.InsertQualification;InsertQualification;class;5;3;2;0;1;2;1;41;
Smart-Health75906455;com.smarthealth.model.UserModel;UserModel;class;0;33;1;0;496;33;16;117;
Smart-Health75906455;com.smarthealth.controller.Unfriend;Unfriend;class;5;6;2;0;1;2;1;53;
Smart-Health75906455;com.smarthealth.controller.ViewPost;ViewPost;class;6;6;2;0;1;2;1;63;
Smart-Health75906455;com.smarthealth.controller.LoginTest;LoginTest;class;4;27;1;0;0;9;3;306;
Smart-Health75906455;com.smarthealth.controller.Rate_Post;Rate_Post;class;5;3;2;0;1;2;1;45;
Smart-Health75906455;com.smarthealth.controller.URL_for_image3;URL_for_image3;class;10;14;2;0;3;3;1;85;
