file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Tele-HealthCare58830896;Business.MedicalRecords.MedicalRecordsDirectory;MedicalRecordsDirectory;class;1;3;1;0;0;3;1;23;
Tele-HealthCare58830896;userinterface.PatientWorkArea.PatientWorkAreaJPanel;PatientWorkAreaJPanel;class;7;8;5;0;16;5;10;107;
Tele-HealthCare58830896;Business.EcoSystem;EcoSystem;class;5;11;2;0;3;6;2;48;
Tele-HealthCare58830896;Business.Organization.DietitianOrganization;DietitianOrganization;class;3;2;2;0;1;2;0;25;
Tele-HealthCare58830896;userinterface.DoctorWorkArea.CheckAppointmentJPanel;CheckAppointmentJPanel;class;6;17;5;0;45;6;12;154;
Tele-HealthCare58830896;userinterface.SystemAdminWorkArea.SystemAdminWorkAreaJPanel;SystemAdminWorkAreaJPanel;class;9;16;5;0;48;8;11;173;
Tele-HealthCare58830896;Business.Network.Network;Network;class;1;5;1;0;2;5;2;30;
Tele-HealthCare58830896;userinterface.AdministratorWorkArea.ManageOrganizationJPanel;ManageOrganizationJPanel;class;4;16;5;0;33;6;13;147;
Tele-HealthCare58830896;Business.Employee.EmployeeDirectory;EmployeeDirectory;class;1;3;1;0;0;3;1;25;
Tele-HealthCare58830896;userinterface.ReceptionistWorkArea.ReceptionistWorkAreaJPanel;ReceptionistWorkAreaJPanel;class;5;4;5;0;4;3;7;71;
Tele-HealthCare58830896;Business.Organization.AdminOrganization;AdminOrganization;class;3;2;2;0;1;2;0;23;
Tele-HealthCare58830896;Business.VitalSign.VitalSign;VitalSign;class;0;13;1;0;62;13;6;58;
Tele-HealthCare58830896;Business.Role.ReceptionistRole;ReceptionistRole;class;7;2;2;0;1;2;0;28;
Tele-HealthCare58830896;userinterface.AdministratorWorkArea.TopMedicineJPanel;TopMedicineJPanel;class;10;20;5;0;11;4;10;168;
Tele-HealthCare58830896;Business.Organization.ReceptionistOrganization;ReceptionistOrganization;class;3;2;2;0;1;2;0;25;
Tele-HealthCare58830896;Business.Role.LabTechRole;LabTechRole;class;7;2;2;0;1;2;0;27;
Tele-HealthCare58830896;Business.WorkQueue.AppointmentWorkRequest;AppointmentWorkRequest;class;1;4;2;0;2;4;2;26;
Tele-HealthCare58830896;userinterface.AdministratorWorkArea.ManageInventoryJPanel;ManageInventoryJPanel;class;15;75;5;0;653;24;46;589;
Tele-HealthCare58830896;Business.OrderCatalog.Order;Order;class;2;16;1;0;0;10;4;67;
Tele-HealthCare58830896;Business.UserAccount.UserAccountDirectory;UserAccountDirectory;class;3;11;1;0;0;5;1;44;
Tele-HealthCare58830896;userinterface.AdministratorWorkArea.ManageEmployeeJPanel;ManageEmployeeJPanel;class;4;22;5;0;66;8;17;187;
Tele-HealthCare58830896;userinterface.AdministratorWorkArea.ViewProductJPanel;ViewProductJPanel;class;2;4;5;0;4;3;12;105;
Tele-HealthCare58830896;userinterface.AdministratorWorkArea.PopularDoctorJPanel;PopularDoctorJPanel;class;10;32;5;0;15;5;14;186;
Tele-HealthCare58830896;userinterface.LabTechWorkArea.CreateMedicalRecordJPanel;CreateMedicalRecordJPanel;class;10;39;5;0;68;9;27;341;
Tele-HealthCare58830896;Business.Role.DoctorRole;DoctorRole;class;7;2;2;0;1;2;0;27;
Tele-HealthCare58830896;userinterface.DoctorWorkArea.DoctorWorkAreaJPanel;DoctorWorkAreaJPanel;class;7;8;5;0;16;5;9;105;
Tele-HealthCare58830896;Business.Role.AdminRole;AdminRole;class;6;2;2;0;1;2;0;26;
Tele-HealthCare58830896;userinterface.AdministratorWorkArea.ManageUserAccountJPanel;ManageUserAccountJPanel;class;6;25;5;0;79;9;20;212;
Tele-HealthCare58830896;Business.Role.Role;Role;class;4;5;1;1;4;5;1;47;
Tele-HealthCare58830896;Business.EmergencyWorkArea.EmergencyWorkAreaJPanel;EmergencyWorkAreaJPanel;class;5;4;5;0;4;3;7;70;
Tele-HealthCare58830896;Business.VitalSign.VitalSignHistory;VitalSignHistory;class;1;5;1;0;0;5;1;32;
Tele-HealthCare58830896;Business.Role.DietitianRole;DietitianRole;class;7;2;2;0;1;2;0;28;
Tele-HealthCare58830896;Business.DB4OUtility.DB4OUtility;DB4OUtility;class;7;12;1;0;10;5;2;68;
Tele-HealthCare58830896;userinterface.AdministratorWorkArea.AdminWorkAreaJPanel;AdminWorkAreaJPanel;class;10;14;5;0;49;8;14;158;
Tele-HealthCare58830896;userinterface.SystemAdminWorkArea.ManageNetworkJPanel;ManageNetworkJPanel;class;5;14;5;0;33;6;11;139;
Tele-HealthCare58830896;userinterface.SystemAdminWorkArea.DisplayAllergyJPanel;DisplayAllergyJPanel;class;9;17;5;0;41;7;9;156;
Tele-HealthCare58830896;userinterface.DietitianWorkArea.DietitianWorkAreaJPanel;DietitianWorkAreaJPanel;class;6;6;5;0;9;4;8;87;
Tele-HealthCare58830896;Business.Role.EmergencyOperator;EmergencyOperator;class;7;2;2;0;1;2;0;28;
Tele-HealthCare58830896;Business.WorkQueue.LabTechnicianWorkRequest;LabTechnicianWorkRequest;class;1;4;2;0;2;4;2;26;
Tele-HealthCare58830896;userinterface.SystemAdminWorkArea.BusinessIntJPanel;BusinessIntJPanel;class;4;8;5;0;16;5;6;92;
Tele-HealthCare58830896;Business.EmergencyWorkArea.CheckAlertsJPanel;CheckAlertsJPanel;class;9;30;5;0;66;8;12;245;
Tele-HealthCare58830896;Business.Enterprise.HospitalEnterprise;HospitalEnterprise;class;2;2;3;0;1;2;0;20;
Tele-HealthCare58830896;Business.Organization.EmergencyOrganization;EmergencyOrganization;class;3;2;2;0;1;2;0;26;
Tele-HealthCare58830896;userinterface.AdministratorWorkArea.CentralDatabaseJPanel;CentralDatabaseJPanel;class;8;37;5;0;49;8;17;247;
Tele-HealthCare58830896;Business.Enterprise.EnterpriseDirectory;EnterpriseDirectory;class;3;5;1;0;0;3;1;27;
Tele-HealthCare58830896;userinterface.AdministratorWorkArea.BusinessJPanel;BusinessJPanel;class;5;6;5;0;9;4;6;82;
Tele-HealthCare58830896;userinterface.ReceptionistWorkArea.DischargePatientJPanel;DischargePatientJPanel;class;8;18;5;0;15;5;10;148;
Tele-HealthCare58830896;Business.Role.PatientRole;PatientRole;class;7;2;2;0;1;2;0;28;
Tele-HealthCare58830896;Business.DrugSupplier.SupplierDirectory;SupplierDirectory;class;1;10;1;0;0;7;1;43;
Tele-HealthCare58830896;Business.Organization.OrganizationDirectory;OrganizationDirectory;class;8;15;1;0;0;3;1;48;
Tele-HealthCare58830896;userinterface.MainJFrame;MainJFrame;class;8;30;6;0;39;6;15;244;
Tele-HealthCare58830896;userinterface.SystemAdminWorkArea.ManageEnterpriseJPanel;ManageEnterpriseJPanel;class;6;15;5;0;13;5;14;155;
Tele-HealthCare58830896;Business.AllergyList.AllergyList;AllergyList;class;1;9;1;0;0;6;1;41;
Tele-HealthCare58830896;Business.ProductCatalog.ProductCatalog;ProductCatalog;class;1;8;1;0;0;5;1;38;
Tele-HealthCare58830896;Business.WorkQueue.MedicineWorkRequest;MedicineWorkRequest;class;2;8;2;0;20;8;4;41;
Tele-HealthCare58830896;Business.ConfigureASystem;ConfigureASystem;class;4;1;1;0;0;1;0;21;
Tele-HealthCare58830896;Business.DischargedPatient.DischargedPatientDirectory;DischargedPatientDirectory;class;1;9;1;0;0;6;1;39;
Tele-HealthCare58830896;Business.Organization.DoctorOrganization;DoctorOrganization;class;3;2;2;0;1;2;0;23;
Tele-HealthCare58830896;userinterface.SystemAdminWorkArea.ManageEnterpriseAdminJPanel;ManageEnterpriseAdminJPanel;class;10;20;5;0;37;7;19;202;
Tele-HealthCare58830896;userinterface.DoctorWorkArea.CheckInventoryJPanel;CheckInventoryJPanel;class;12;38;5;0;117;10;29;357;
Tele-HealthCare58830896;userinterface.SystemAdminWorkArea.DisplayOperationJPanel;DisplayOperationJPanel;class;9;17;5;0;41;7;9;157;
Tele-HealthCare58830896;userinterface.PatientWorkArea.BookAppointmentJPanel;BookAppointmentJPanel;class;11;29;5;0;52;7;18;205;
Tele-HealthCare58830896;Business.OrderCatalog.OrderItem;OrderItem;class;1;7;1;0;11;7;3;38;
Tele-HealthCare58830896;Business.EmergencyWorkArea.ColoringCellRenderer;ColoringCellRenderer;class;1;7;6;0;1;3;1;51;
Tele-HealthCare58830896;Business.EmergencyWorkArea.MedicalRecordJPanel;MedicalRecordJPanel;class;1;6;5;0;6;4;6;119;
