file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
cognition43835634;cognition.common.utils.FileTools;FileTools;class;2;3;1;0;0;1;1;28;
cognition43835634;cognition.common.utils.ArrayUtil;ArrayUtil;class;0;6;1;0;0;1;0;27;
cognition43835634;cognition.common.helper.JsonHelper;JsonHelper;class;3;7;1;0;4;4;1;56;
cognition43835634;cognition.pipeline.exception.PrimaryKeyNotAvailableException;PrimaryKeyNotAvailableException;class;0;2;4;0;0;2;1;23;
cognition43835634;cognition.pipeline.data.CoordinatesDaoTest;CoordinatesDaoTest;class;5;1;2;0;0;1;1;33;
cognition43835634;cognition.pipeline.sanity.AnonymisationSanityChecker;AnonymisationSanityChecker;class;5;17;1;0;0;1;1;84;
cognition43835634;cognition.common.utils.HTMLUtilTest;HTMLUtilTest;class;1;2;1;0;1;2;0;18;
cognition43835634;cognition.pipeline.commandline.CommandCoordinator;CommandCoordinator;class;6;3;1;0;3;3;1;39;
cognition43835634;cognition.pipeline.data.IndividualDaoTest;IndividualDaoTest;class;9;5;2;0;0;5;1;118;
cognition43835634;cognition.pipeline.service.anonymisation.NamePseudonymiser;NamePseudonymiser;class;3;2;2;0;1;2;0;28;
cognition43835634;cognition.pipeline.commandline.CommandRunFromFileSystem;CommandRunFromFileSystem;class;8;3;1;0;3;3;3;57;
cognition43835634;cognition.pipeline.service.CoordinatorClientService;CoordinatorClientService;class;9;20;1;0;38;12;7;119;
cognition43835634;cognition.common.service.DocumentConversionServiceTest;DocumentConversionServiceTest;class;6;5;1;0;0;5;1;66;
cognition43835634;cognition.pipeline.service.anonymisation.AnonymisationService;AnonymisationService;class;13;16;1;0;26;9;6;83;
cognition43835634;cognition.common.service.ConfigurationService;ConfigurationService;class;2;5;1;0;4;4;1;51;
cognition43835634;cognition.pipeline.service.anonymisation.NHSNumberPseudonymiser;NHSNumberPseudonymiser;class;3;2;2;0;1;2;0;28;
cognition43835634;cognition.pipeline.service.anonymisation.Pseudonymiser;Pseudonymiser;class;7;9;1;0;3;3;2;53;
cognition43835634;cognition.pipeline.postprocess.IndividualMetaPostProcessorTest;IndividualMetaPostProcessorTest;class;6;1;1;0;0;1;1;41;
cognition43835634;cognition.common.utils.StringTools;StringTools;class;3;84;1;0;204;21;3;301;
cognition43835634;cognition.common.utils.TimeUtilTest;TimeUtilTest;class;1;2;1;0;1;2;0;32;
cognition43835634;cognition.pipeline.data.DNCWorkUnitDaoTest;DNCWorkUnitDaoTest;class;8;6;2;0;0;6;1;77;
cognition43835634;cognition.pipeline.data.DNCWorkUnitDao;DNCWorkUnitDao;class;11;12;2;0;8;5;2;123;
cognition43835634;cognition.pipeline.service.anonymisation.TemplateFiller;TemplateFiller;class;8;4;1;0;0;4;1;51;
cognition43835634;cognition.common.model.IndividualTest;IndividualTest;class;3;8;1;0;28;8;0;107;
cognition43835634;cognition.common.model.DNCWorkCoordinateTest;DNCWorkCoordinateTest;class;3;7;1;0;21;7;0;75;
cognition43835634;cognition.pipeline.service.anonymisation.TemplateFillerTest;TemplateFillerTest;class;4;2;1;0;1;2;0;53;
cognition43835634;cognition.pipeline.service.anonymisation.PhonePseudonymiser;PhonePseudonymiser;class;3;2;2;0;1;2;0;28;
cognition43835634;cognition.pipeline.service.ElasticsearchService;ElasticsearchService;class;9;2;1;0;0;1;2;65;
cognition43835634;cognition.pipeline.commandline.CommandLineArgHolder;CommandLineArgHolder;class;0;2;1;0;0;2;1;23;
cognition43835634;cognition.pipeline.service.PostProcessorService;PostProcessorService;class;5;3;1;0;0;2;1;35;
cognition43835634;cognition.common.service.FileTypeService;FileTypeService;class;3;4;1;0;3;3;0;34;
cognition43835634;cognition.pipeline.service.DNCPipelineServiceTest;DNCPipelineServiceTest;class;15;6;1;0;0;6;7;150;
cognition43835634;cognition.pipeline.commandline.CommandHelper;CommandHelper;class;0;1;1;0;0;1;0;41;
cognition43835634;cognition.pipeline.postprocess.IndividualMetaPostProcessor;IndividualMetaPostProcessor;class;4;6;2;0;1;2;0;37;
cognition43835634;cognition.common.model.Individual;Individual;class;5;70;1;0;404;32;8;219;
cognition43835634;cognition.common.utils.MatchingWindowTest;MatchingWindowTest;class;2;4;1;0;6;4;0;30;
cognition43835634;cognition.pipeline.Main;Main;class;12;20;1;0;3;6;2;114;
cognition43835634;cognition.common.utils.ArrayUtilTest;ArrayUtilTest;class;1;3;1;0;3;3;0;35;
cognition43835634;cognition.pipeline.service.anonymisation.AnonymisationServiceTest;AnonymisationServiceTest;class;7;9;2;0;0;9;1;287;
cognition43835634;cognition.common.data.SessionWrapper;SessionWrapper;class;5;5;1;0;0;4;2;38;
cognition43835634;cognition.pipeline.commandline.CommandLineArgHolderTest;CommandLineArgHolderTest;class;2;1;1;0;0;1;0;24;
