file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
health48299771;org.prueba.config.JacksonConfiguration;JacksonConfiguration;class;5;1;1;0;0;1;0;24;
health48299771;org.prueba.security.SecurityUtils;SecurityUtils;class;6;24;1;0;10;5;0;82;
health48299771;org.prueba.security.AuthenticationProvider;AuthenticationProvider;class;13;7;1;0;1;3;3;44;
health48299771;org.prueba.aop.logging.LoggingAspect;LoggingAspect;class;9;10;1;0;1;3;2;54;
health48299771;org.prueba.service.UserServiceIntTest;UserServiceIntTest;class;12;6;1;0;0;6;2;100;
health48299771;org.prueba.web.rest.util.HeaderUtil;HeaderUtil;class;2;5;1;0;10;5;0;29;
health48299771;org.prueba.config.WebsocketConfiguration;WebsocketConfiguration;class;19;10;2;0;15;3;2;67;
health48299771;org.prueba.config.JHipsterProperties;JHipsterProperties;class;20;75;1;0;2521;75;46;318;
health48299771;org.prueba.web.rest.UserResourceIntTest;UserResourceIntTest;class;13;3;1;0;0;3;3;55;
health48299771;org.prueba.web.rest.AuditResourceIntTest;AuditResourceIntTest;class;16;5;1;0;0;5;7;87;
health48299771;org.prueba.config.CacheConfiguration;CacheConfiguration;class;21;7;1;0;0;2;4;62;
health48299771;org.prueba.web.rest.errors.CustomParameterizedException;CustomParameterizedException;class;1;2;4;0;0;2;3;28;
health48299771;org.prueba.config.DatabaseConfiguration;DatabaseConfiguration;class;26;17;1;0;1;3;3;99;
health48299771;org.prueba.config.apidoc.SwaggerConfiguration;SwaggerConfiguration;class;12;1;1;0;0;1;2;59;
health48299771;org.prueba.service.AuditEventService;AuditEventService;class;7;4;1;0;0;4;2;43;
health48299771;org.prueba.domain.util.FixedH2Dialect;FixedH2Dialect;class;1;1;2;0;0;1;0;9;
health48299771;org.prueba.config.AsyncConfiguration;AsyncConfiguration;class;14;2;1;0;1;2;2;35;
health48299771;org.prueba.config.LoggingAspectConfiguration;LoggingAspectConfiguration;class;5;1;1;0;0;1;0;12;
health48299771;org.prueba.security.UserDetailsService;UserDetailsService;class;15;3;1;0;0;1;2;43;
health48299771;org.prueba.web.rest.AuditResource;AuditResource;class;10;4;1;0;0;4;1;41;
health48299771;org.prueba.web.rest.errors.ErrorDTO;ErrorDTO;class;1;9;1;0;0;7;4;40;
health48299771;org.prueba.config.locale.AngularCookieLocaleResolver;AngularCookieLocaleResolver;class;7;20;2;0;15;4;0;75;
