file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.tables.records.EnvironmentStatisticRecord;EnvironmentStatisticRecord;class;17;36;2;0;630;36;1;297;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.UserActivityModel;UserActivityModel;class;1;14;1;0;77;14;7;56;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.IUserRepository;IUserRepository;interface;2;3;1;0;3;3;0;12;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.tables.records.MealRecord;MealRecord;class;17;31;2;0;465;31;1;259;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.tables.SchemaVersion;SchemaVersion;class;14;9;2;0;36;9;12;126;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.tables.EnvironmentStatistic;EnvironmentStatistic;class;15;10;2;0;45;10;8;118;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.weather.Weather;Weather;class;1;8;1;0;20;8;4;37;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.impl.ActivityRepository;ActivityRepository;class;6;5;2;0;1;3;1;38;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.Tables;Tables;class;13;0;1;0;0;0;13;83;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.tables.records.UserWeightRecord;UserWeightRecord;class;15;26;2;0;325;26;1;223;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.controllers.BloodPressureController;BloodPressureController;class;15;12;2;0;0;4;1;59;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.IMealTypeRepository;IMealTypeRepository;interface;1;4;1;0;6;4;0;12;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.UserMealModel;UserMealModel;class;0;12;1;0;54;12;6;49;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.config.cors.CorsFilter;CorsFilter;class;9;5;1;0;3;3;0;43;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.seeders.MealSeeder;MealSeeder;class;8;17;1;0;0;1;6;81;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.controllers.requests.StoreBloodPressureRequest;StoreBloodPressureRequest;class;4;5;1;0;0;5;2;37;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.controllers.requests.StoreUserMealsRequest;StoreUserMealsRequest;class;4;7;1;0;3;7;3;45;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.ILocationRepository;ILocationRepository;interface;2;4;1;0;6;4;0;14;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.Healthmon;Healthmon;class;4;3;2;0;3;3;2;69;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.MealModel;MealModel;class;1;11;1;0;25;11;5;54;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.controllers.TemperatureController;TemperatureController;class;15;12;2;0;0;4;1;59;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.controllers.UserActivityController;UserActivityController;class;15;7;2;0;0;3;1;49;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.controllers.exceptions.ResourceNotFoundException;ResourceNotFoundException;class;0;0;4;0;0;0;0;6;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.Keys;Keys;class;46;0;4;0;0;0;96;163;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.seeders.MealTypeSeeder;MealTypeSeeder;class;8;3;1;0;0;1;2;28;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.exceptions.translators.JooqExceptionTranslator;JooqExceptionTranslator;class;6;4;2;0;0;1;1;36;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.HealthmonApplication;HealthmonApplication;class;2;1;1;0;0;1;0;9;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.tables.records.UserMealRecord;UserMealRecord;class;15;36;2;0;630;36;1;297;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.seeders.WeatherSeeder;WeatherSeeder;class;6;1;1;0;0;1;1;21;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.impl.UserActivityRepository;UserActivityRepository;class;9;10;2;0;0;4;2;58;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.config.FlyWayConfig;FlyWayConfig;class;6;1;1;0;0;1;0;24;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.IActivityRepository;IActivityRepository;interface;1;3;1;0;3;3;0;11;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.TemperatureModel;TemperatureModel;class;0;8;1;0;20;8;4;36;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.IHeartRateRepository;IHeartRateRepository;interface;2;4;1;0;6;4;0;15;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.tables.records.UserRecord;UserRecord;class;17;46;2;0;1035;46;1;371;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.LocationModel;LocationModel;class;0;8;1;0;20;8;4;35;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.tables.Meal;Meal;class;13;9;2;0;36;9;7;105;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.IWeightsRepository;IWeightsRepository;interface;2;4;1;0;6;4;0;15;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.controllers.MealsController;MealsController;class;10;4;2;0;0;2;1;33;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.MealTypeModel;MealTypeModel;class;1;8;1;0;10;8;2;36;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.seeders.ActivitySeeder;ActivitySeeder;class;8;3;1;0;0;1;2;33;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.services.OpenWeatherService;OpenWeatherService;class;11;7;1;0;0;2;5;50;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.impl.MealTypeRepository;MealTypeRepository;class;6;8;2;0;0;4;1;44;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.RestError;RestError;class;1;10;1;0;35;10;5;46;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.controllers.requests.StoreTemperatureRequest;StoreTemperatureRequest;class;4;3;1;0;0;3;1;26;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.config.SecurityConfig;SecurityConfig;class;19;4;2;0;6;3;1;62;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.config.jooq.SpringTransaction;SpringTransaction;class;2;1;1;0;0;1;1;9;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.impl.HeartRateRepository;HeartRateRepository;class;6;10;2;0;0;4;1;54;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.ActivityModel;ActivityModel;class;1;9;1;0;18;9;3;41;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.IUserActivityRepository;IUserActivityRepository;interface;1;4;1;0;6;4;0;13;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.ServletInitializer;ServletInitializer;class;4;1;2;0;0;1;0;11;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.UserModel;UserModel;class;5;32;1;0;257;26;9;125;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.WeightModel;WeightModel;class;0;8;1;0;20;8;4;36;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.tables.records.SchemaVersionRecord;SchemaVersionRecord;class;19;56;2;0;1540;56;1;445;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.impl.BloodPressureRepository;BloodPressureRepository;class;7;10;2;0;0;4;1;56;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.tables.records.UserActivityRecord;UserActivityRecord;class;17;36;2;0;630;36;1;297;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.IBloodPressureRepository;IBloodPressureRepository;interface;1;4;1;0;6;4;0;13;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.repositories.BaseRepository;BaseRepository;class;3;0;1;12;0;0;1;12;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.UserMealQuantityModel;UserMealQuantityModel;class;1;4;1;0;2;4;2;21;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.UserMealsByDayModel;UserMealsByDayModel;class;2;4;1;0;2;4;2;25;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.models.weather.OpenWeatherResponse;OpenWeatherResponse;class;4;8;1;0;10;8;3;46;
healthmon57377771;hr.fer.zpr.marinpetrunic.healthmon.database.generated.tables.UserWeight;UserWeight;class;16;11;2;0;55;11;6;118;
