file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
jhipster-health48482077;com.csg.health.config.CloudDatabaseConfiguration;CloudDatabaseConfiguration;class;6;1;2;0;0;1;1;16;
jhipster-health48482077;com.csg.health.repository.search.PointsSearchRepository;PointsSearchRepository;interface;2;0;1;0;0;0;0;8;
jhipster-health48482077;com.csg.health.security.SpringSecurityAuditorAware;SpringSecurityAuditorAware;class;3;2;1;0;0;1;0;15;
jhipster-health48482077;com.csg.health.async.ExceptionHandlingAsyncTaskExecutor;ExceptionHandlingAsyncTaskExecutor;class;8;16;1;0;3;10;2;68;
jhipster-health48482077;com.csg.health.web.rest.AuditResourceIntTest;AuditResourceIntTest;class;16;5;1;0;0;5;7;87;
jhipster-health48482077;com.csg.health.web.rest.errors.ParameterizedErrorDTO;ParameterizedErrorDTO;class;0;3;1;0;0;3;3;20;
jhipster-health48482077;com.csg.health.service.UserServiceIntTest;UserServiceIntTest;class;14;8;1;0;0;8;3;125;
jhipster-health48482077;com.csg.health.repository.UserRepository;UserRepository;interface;3;7;1;0;21;7;0;20;
jhipster-health48482077;com.csg.health.security.AuthoritiesConstants;AuthoritiesConstants;class;0;1;1;0;0;1;3;11;
jhipster-health48482077;com.csg.health.security.UserDetailsService;UserDetailsService;class;15;3;1;0;0;1;2;43;
jhipster-health48482077;com.csg.health.web.rest.dto.PointsPerWeek;PointsPerWeek;class;0;6;1;0;0;6;2;31;
jhipster-health48482077;com.csg.health.domain.util.JSR310LocalDateDeserializer;JSR310LocalDateDeserializer;class;5;11;2;0;0;2;2;51;
jhipster-health48482077;com.csg.health.security.UserNotActivatedException;UserNotActivatedException;class;1;2;2;0;1;2;0;13;
jhipster-health48482077;com.csg.health.config.CacheConfiguration;CacheConfiguration;class;21;7;1;0;0;2;4;62;
jhipster-health48482077;com.csg.health.repository.search.BloodPressureSearchRepository;BloodPressureSearchRepository;interface;2;0;1;0;0;0;0;8;
jhipster-health48482077;com.csg.health.domain.Preferences;Preferences;class;16;15;1;0;21;11;4;83;
jhipster-health48482077;com.csg.health.web.filter.StaticResourcesProductionFilter;StaticResourcesProductionFilter;class;6;5;1;0;3;3;0;35;
jhipster-health48482077;com.csg.health.web.rest.UserResource;UserResource;class;28;14;1;0;0;6;6;206;
jhipster-health48482077;com.csg.health.domain.User;User;class;22;37;2;0;395;31;14;189;
jhipster-health48482077;com.csg.health.security.SecurityUtils;SecurityUtils;class;6;24;1;0;10;5;0;82;
jhipster-health48482077;com.csg.health.web.rest.dto.BloodPressureByPeriod;BloodPressureByPeriod;class;1;6;1;0;0;6;2;33;
jhipster-health48482077;com.csg.health.config.ElasticSearchConfiguration;ElasticSearchConfiguration;class;12;4;1;0;0;4;1;35;
jhipster-health48482077;com.csg.health.domain.util.JSR310PersistenceConverters;JSR310PersistenceConverters;class;5;9;1;0;21;7;0;42;
jhipster-health48482077;com.csg.health.config.liquibase.AsyncSpringLiquibase;AsyncSpringLiquibase;class;8;5;2;0;0;2;3;58;
jhipster-health48482077;com.csg.health.security.SecurityUtilsUnitTest;SecurityUtilsUnitTest;class;5;3;1;0;3;3;0;43;
jhipster-health48482077;com.csg.health.config.JacksonConfiguration;JacksonConfiguration;class;5;1;1;0;0;1;0;27;
jhipster-health48482077;com.csg.health.ApplicationWebXml;ApplicationWebXml;class;5;4;2;0;1;2;1;32;
jhipster-health48482077;com.csg.health.web.websocket.dto.ActivityDTO;ActivityDTO;class;0;11;1;0;25;11;5;51;
jhipster-health48482077;com.csg.health.web.rest.AccountResourceIntTest;AccountResourceIntTest;class;20;11;1;0;0;11;7;270;
jhipster-health48482077;com.csg.health.security.CustomPersistentRememberMeServices;CustomPersistentRememberMeServices;class;23;22;2;0;10;8;8;177;
jhipster-health48482077;com.csg.health.config.LocaleConfiguration;LocaleConfiguration;class;14;4;2;0;4;4;1;41;
jhipster-health48482077;com.csg.health.service.AuditEventService;AuditEventService;class;7;4;1;0;0;4;2;43;
jhipster-health48482077;com.csg.health.repository.BloodPressureRepository;BloodPressureRepository;interface;6;5;1;0;10;5;0;21;
jhipster-health48482077;com.csg.health.web.rest.util.PaginationUtil;PaginationUtil;class;4;7;1;0;0;1;0;37;
jhipster-health48482077;com.csg.health.aop.logging.LoggingAspect;LoggingAspect;class;9;10;1;0;1;3;2;54;
jhipster-health48482077;com.csg.health.domain.Weight;Weight;class;13;15;1;0;17;11;4;86;
jhipster-health48482077;com.csg.health.Application;Application;class;16;13;1;0;1;3;2;83;
