file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
jphes-core77549540;org.hisp.dhis.program.hibernate.HibernateProgramStageSectionStore;HibernateProgramStageSectionStore;class;5;1;3;0;0;1;0;53;
jphes-core77549540;org.hisp.dhis.schema.validation.DefaultSchemaValidator;DefaultSchemaValidator;class;7;53;1;0;28;8;2;217;
jphes-core77549540;org.hisp.dhis.appmanager.AppIcons;AppIcons;class;1;6;1;0;9;6;4;74;
jphes-core77549540;org.hisp.dhis.trackedentity.action.notification.ShowUpdateProgramStageNotificationAction;ShowUpdateProgramStageNotificationAction;class;7;11;1;0;6;9;8;106;
jphes-core77549540;org.hisp.dhis.sms.incoming.DefaultIncomingSmsService;DefaultIncomingSmsService;class;5;14;1;0;0;12;2;119;
jphes-core77549540;org.hisp.dhis.dxf2.utils.InputUtils;InputUtils;class;8;24;1;0;1;3;2;149;
jphes-core77549540;org.hisp.dhis.dashboard.message.action.ReadMessageAction;ReadMessageAction;class;6;15;1;0;0;7;6;118;
jphes-core77549540;org.hisp.dhis.datavalue.DataValueAuditStore;DataValueAuditStore;interface;8;7;1;0;21;7;1;89;
jphes-core77549540;org.hisp.dhis.webapi.controller.dataelement.CategoryOptionGroupController;CategoryOptionGroupController;class;4;0;2;0;0;0;0;42;
jphes-core77549540;org.hisp.dhis.security.authority.CachingSystemAuthoritiesProvider;CachingSystemAuthoritiesProvider;class;1;4;1;0;0;2;2;58;
jphes-core77549540;org.hisp.dhis.dataapproval.DataApprovalStateResponse;DataApprovalStateResponse;class;9;15;1;0;63;15;7;133;
jphes-core77549540;org.hisp.dhis.dataset.DataSetDeletionHandler;DataSetDeletionHandler;class;16;28;2;0;0;9;3;177;
jphes-core77549540;org.hisp.dhis.system.util.DateUtils;DateUtils;class;12;77;1;0;622;36;17;593;
jphes-core77549540;org.hisp.dhis.trackedentity.action.dataentryform.RemoveDataEntryFormAction;RemoveDataEntryFormAction;class;6;9;1;0;0;6;5;99;
jphes-core77549540;org.hisp.dhis.util.ObjectUtilsTest;ObjectUtilsTest;class;4;2;1;0;1;2;0;75;
jphes-core77549540;org.hisp.dhis.schema.descriptors.ProgramDataElementSchemaDescriptor;ProgramDataElementSchemaDescriptor;class;4;1;1;0;0;1;3;53;
jphes-core77549540;org.hisp.dhis.system.notification.NotifierTest;NotifierTest;class;7;3;3;0;0;3;5;94;
jphes-core77549540;org.hisp.dhis.webapi.controller.SchemaController;SchemaController;class;24;20;1;0;6;5;7;158;
jphes-core77549540;org.hisp.dhis.programrule.ProgramRuleStore;ProgramRuleStore;interface;4;3;1;0;3;3;1;62;
jphes-core77549540;org.hisp.dhis.dataapproval.exceptions.DataMayNotBeAcceptedException;DataMayNotBeAcceptedException;class;1;1;5;0;0;1;0;39;
jphes-core77549540;org.hisp.dhis.query.QueryEngine;QueryEngine;interface;2;2;1;0;1;2;0;50;
jphes-core77549540;org.hisp.dhis.maintenance.DefaultMaintenanceService;DefaultMaintenanceService;class;19;18;1;0;0;9;9;178;
jphes-core77549540;org.hisp.dhis.DhisConvenienceTest;DhisConvenienceTest;class;83;174;1;3;5300;104;16;1614;
jphes-core77549540;org.hisp.dhis.program.ProgramStageService;ProgramStageService;interface;4;7;1;0;21;7;1;90;
jphes-core77549540;org.hisp.dhis.calendar.impl.CopticCalendar;CopticCalendar;class;4;3;3;0;3;3;1;54;
jphes-core77549540;org.hisp.dhis.program.ProgramStageServiceTest;ProgramStageServiceTest;class;9;7;3;0;0;7;6;120;
jphes-core77549540;org.hisp.dhis.query.operators.MatchMode;MatchMode;enum;0;0;1;0;0;0;0;35;
jphes-core77549540;org.hisp.dhis.sms.outbound.DefaultOutboundSmsService;DefaultOutboundSmsService;class;5;9;1;0;0;9;1;92;
jphes-core77549540;org.hisp.dhis.dxf2.events.report.EventRowService;EventRowService;interface;2;1;1;0;0;1;0;36;
jphes-core77549540;org.hisp.dhis.calendar.impl.NepaliCalendarTest;NepaliCalendarTest;class;4;3;1;0;0;3;1;57;
jphes-core77549540;org.hisp.dhis.reporting.orgunitdistribution.action.GetOrgUnitDistributionOptionsAction;GetOrgUnitDistributionOptionsAction;class;3;3;1;0;0;3;2;67;
jphes-core77549540;org.hisp.dhis.attribute.AttributeValue;AttributeValue;class;8;35;1;0;53;19;6;170;
jphes-core77549540;org.hisp.dhis.organisationunit.OrganisationUnitRelationship;OrganisationUnitRelationship;class;0;6;1;0;3;6;2;57;
jphes-core77549540;org.hisp.dhis.user.User;User;class;13;123;1;0;2116;73;20;633;
jphes-core77549540;org.hisp.dhis.sms.parse.ParserManager;ParserManager;interface;1;1;1;0;0;1;0;34;
jphes-core77549540;org.hisp.dhis.trackedentitycomment.TrackedEntityCommentService;TrackedEntityCommentService;interface;2;4;1;0;6;4;1;65;
jphes-core77549540;org.hisp.dhis.program.ProgramInstance;ProgramInstance;class;14;78;1;0;489;35;14;356;
jphes-core77549540;org.hisp.dhis.dashboard.DashboardService;DashboardService;interface;11;20;1;0;190;20;1;68;
jphes-core77549540;org.hisp.dhis.webapi.controller.MenuController;MenuController;class;9;3;1;0;0;1;4;69;
jphes-core77549540;org.hisp.dhis.trackedentity.action.programstage.ValidateProgramStageAction;ValidateProgramStageAction;class;6;10;1;0;2;8;7;104;
jphes-core77549540;org.hisp.dhis.servlet.filter.HttpRedirectFilter;HttpRedirectFilter;class;8;5;1;0;1;3;3;79;
jphes-core77549540;org.hisp.dhis.interpretation.InterpretationDeletionHandler;InterpretationDeletionHandler;class;8;11;2;0;0;5;1;77;
