file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.TipoSanguineo;TipoSanguineo;class;2;2;2;0;0;2;2;17;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.service.ManterAlergiaService;ManterAlergiaService;class;10;25;1;0;9;7;5;169;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.service.ListarRefeicaoService;ListarRefeicaoService;class;9;3;1;0;3;3;3;32;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.TipoAnaliseDAO;TipoAnaliseDAO;class;3;1;2;0;0;1;1;22;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.TipoGrauDAO;TipoGrauDAO;class;2;0;2;0;0;0;1;5;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.service.ManterHospitalService;ManterHospitalService;class;4;4;1;0;0;2;1;30;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.service.ManterExamesService;ManterExamesService;class;5;7;1;0;0;2;1;44;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.service.ExameCardiologicoService;ExameCardiologicoService;class;9;19;1;0;16;8;4;117;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.service.ManterPaisesService;ManterPaisesService;class;4;1;1;0;0;1;1;20;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.RefeicaoDAO;RefeicaoDAO;class;7;8;2;0;0;1;1;39;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.ValorMedidaDAO;ValorMedidaDAO;class;3;2;2;0;0;1;1;31;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.MedicamentoUsuario;MedicamentoUsuario;class;9;21;2;0;190;21;11;101;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.VacinacaoDAO;VacinacaoDAO;class;4;3;2;0;1;2;1;35;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.ExameCampos;ExameCampos;class;6;5;2;0;6;5;3;33;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.UdmDAO;UdmDAO;class;3;0;2;0;0;0;1;10;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.ResultadoCampos;ResultadoCampos;class;7;7;2;0;15;7;4;48;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.social.LogFacebook;LogFacebook;class;7;7;2;0;15;7;4;56;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.ItemExameUrinaDAO;ItemExameUrinaDAO;class;3;0;2;0;0;0;1;12;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.service.ManterUdmService;ManterUdmService;class;4;1;1;0;0;1;1;18;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.service.ManterAtividadesService;ManterAtividadesService;class;9;39;1;0;36;12;3;213;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.PressaoUsuario;PressaoUsuario;class;8;15;2;0;91;15;8;92;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.EspecialidadeDAO;EspecialidadeDAO;class;4;1;2;0;0;1;1;21;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.mb.ManterExameUrinaMB;ManterExameUrinaMB;class;12;41;1;0;168;29;13;234;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.mb.ManterConsultasMB;ManterConsultasMB;class;9;28;1;0;80;21;9;158;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.HospitalDAO;HospitalDAO;class;3;2;2;0;0;1;1;30;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.Udm;Udm;class;3;3;2;0;1;3;2;35;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.Cateterismo;Cateterismo;class;8;14;2;0;77;14;8;80;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.mb.ManterComposicoesCorporaisMB;ManterComposicoesCorporaisMB;class;9;30;1;0;140;24;12;184;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.service.ManterUsuarioService;ManterUsuarioService;class;4;19;1;0;0;5;1;72;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.mb.ManterDimensoesCorporaisMB;ManterDimensoesCorporaisMB;class;12;50;1;0;340;36;16;207;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.Telefone;Telefone;class;2;5;2;0;0;5;3;36;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.UsuarioReportBean;UsuarioReportBean;class;0;8;1;0;20;8;4;31;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.Vacinacao;Vacinacao;class;9;12;2;0;56;12;6;72;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.mb.ManterPerfilEmergenciaMB;ManterPerfilEmergenciaMB;class;12;33;1;0;46;20;11;201;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.CateterismosDAO;CateterismosDAO;class;3;1;2;0;0;1;1;24;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.mb.ManterAtividadesMB;ManterAtividadesMB;class;14;43;1;0;140;28;13;251;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.service.ManterIdiomaService;ManterIdiomaService;class;4;1;1;0;0;1;1;20;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.TipoAlimentoDAO;TipoAlimentoDAO;class;2;0;2;0;0;0;1;10;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.CondicaoSaudeUsuarioDAO;CondicaoSaudeUsuarioDAO;class;3;1;2;0;0;1;1;27;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.ExameVisao;ExameVisao;class;10;21;2;0;40;12;5;97;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.UsuarioDAO;UsuarioDAO;class;4;13;2;0;3;3;1;54;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.PaisDAO;PaisDAO;class;3;1;2;0;0;1;1;23;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.util.StrUtil;StrUtil;class;0;3;1;0;1;2;0;22;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.PesoUsuario;PesoUsuario;class;9;11;2;0;45;11;6;73;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.mb.ManterVacinacaoMB;ManterVacinacaoMB;class;8;22;1;0;8;16;8;99;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.TipoAlergia;TipoAlergia;class;3;4;2;0;0;4;2;27;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.Medicamento;Medicamento;class;3;4;2;0;0;4;2;29;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.service.ManterUsoMedicamentoService;ManterUsoMedicamentoService;class;7;34;1;0;2;8;2;185;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.AtividadeDAO;AtividadeDAO;class;5;5;2;0;3;3;1;60;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.mb.ManterCategoriaMB;ManterCategoriaMB;class;8;37;1;0;35;22;9;171;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.RefeicaoAlimentoDAO;RefeicaoAlimentoDAO;class;3;0;2;0;0;0;1;14;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.Alimento;Alimento;class;8;7;2;0;3;7;4;44;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.mb.ManterExameVisaoMB;ManterExameVisaoMB;class;10;38;1;0;118;25;10;187;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.TipoAlimento;TipoAlimento;class;4;5;2;0;0;5;3;32;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.model.dao.TipoMedidaDAO;TipoMedidaDAO;class;3;0;2;0;0;0;1;10;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.UsuarioExame;UsuarioExame;class;9;10;2;0;21;10;5;68;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.control.service.ListarResultadoService;ListarResultadoService;class;9;12;1;0;0;4;3;69;
jsf-tri-health32900214;br.edu.ifrs.canoas.tads.lds.bean.ExameCardiologico;ExameCardiologico;class;11;12;2;0;54;12;7;78;
