file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
mdht30971121;org.openhealthtools.mdht.uml.cda.ihe.operations.MedicalDevicesSectionOperationsTest;MedicalDevicesSectionOperationsTest;class;8;5;4;0;8;5;2;65;
mdht30971121;org.openhealthtools.mdht.uml.cda.internal.resource.PartElementHandler;PartElementHandler;class;3;5;1;0;3;3;1;71;
mdht30971121;org.openhealthtools.mdht.cts2.statement.StatementSubject;StatementSubject;interface;2;4;1;0;6;4;0;92;
mdht30971121;org.openhealthtools.mdht.uml.hl7.datatypes.operations.TNOperationsTest;TNOperationsTest;class;6;3;4;0;3;3;0;79;
mdht30971121;org.openhealthtools.mdht.uml.edit.internal.Logger;Logger;class;2;36;1;0;43;11;10;145;
mdht30971121;org.openhealthtools.mdht.uml.cda.ihe.builder.IHEBuilderFactory;IHEBuilderFactory;class;96;64;33;0;2016;64;0;403;
mdht30971121;org.dita.dost.util.DitaUtil;DitaUtil;class;23;36;1;0;6;4;0;295;
mdht30971121;org.openhealthtools.mdht.cts2.entity.Designation;Designation;interface;7;17;1;0;136;17;0;304;
mdht30971121;org.openhealthtools.mdht.emf.hl7.mif2.OwnerScopeKind;OwnerScopeKind;enum;1;16;1;0;6;8;7;196;
mdht30971121;org.openhealthtools.mdht.uml.cda.hitsp.impl.DiagnosticResultsSectionImpl;DiagnosticResultsSectionImpl;class;12;8;6;0;28;8;0;95;
mdht30971121;org.openhealthtools.mdht.uml.cda.transform.CDAAbstractTransformer;CDAAbstractTransformer;class;9;18;2;3;15;6;2;101;
mdht30971121;org.openhealthtools.mdht.uml.cda.hitsp.tests.MedicationOrderInformationTest;MedicationOrderInformationTest;class;20;63;4;0;1770;18;2;524;
mdht30971121;org.openhealthtools.mdht.cts2.valuesetdefinition.ExternalValueSetDefinition;ExternalValueSetDefinition;interface;1;0;1;0;0;0;0;34;
mdht30971121;org.openhealthtools.mdht.emf.w3c.xhtml.ValignType;ValignType;enum;1;18;1;0;6;8;9;244;
mdht30971121;org.openhealthtools.mdht.uml.cda.ihe.CodedAdvanceDirectivesSection;CodedAdvanceDirectivesSection;interface;3;2;1;0;1;2;0;39;
mdht30971121;org.openhealthtools.mdht.cts2.valuesetdefinition.impl.ValueSetDefinitionPackageImpl;ValueSetDefinitionPackageImpl;class;44;108;2;0;3411;94;30;1818;
mdht30971121;org.openhealthtools.mdht.uml.hdf.tooling.rsm.providers.RIMDefaultViewProvider;RIMDefaultViewProvider;class;31;86;2;0;93;15;2;299;
mdht30971121;org.openhealthtools.mdht.emf.hl7.mif2.validation.VocabularyCodeRefValidator;VocabularyCodeRefValidator;interface;2;7;1;0;21;7;0;29;
mdht30971121;org.openhealthtools.mdht.uml.term.transform.ecore.TransformPropertyTerminologyConstraint;TransformPropertyTerminologyConstraint;class;18;42;7;0;55;11;0;204;
