file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
samwise6942167;gov.cdc.irdu.samwise.server.FileServlet;FileServlet;class;7;12;2;0;0;2;4;91;
samwise6942167;gov.cdc.irdu.samwise.client.DocumentDialog;DocumentDialog;class;25;32;2;0;79;8;5;185;
samwise6942167;gov.cdc.irdu.samwise.server.DocumentExistsException;DocumentExistsException;class;0;1;3;0;0;1;1;14;
samwise6942167;gov.cdc.irdu.samwise.shared.Document;Document;class;2;20;1;0;144;20;9;85;
samwise6942167;gov.cdc.irdu.samwise.client.HelpPanel;HelpPanel;class;10;16;2;0;3;2;0;72;
samwise6942167;gov.cdc.irdu.samwise.client.DocumentService;DocumentService;interface;4;5;1;0;10;5;0;21;
samwise6942167;gov.cdc.irdu.samwise.server.DocumentServiceImpl;DocumentServiceImpl;class;10;16;2;0;0;7;4;117;
samwise6942167;gov.cdc.irdu.samwise.server.SamFactory;SamFactory;class;14;19;1;0;19;7;3;117;
samwise6942167;gov.cdc.irdu.samwise.shared.BaseDocumentRating;BaseDocumentRating;class;2;6;1;2;9;6;4;38;
samwise6942167;gov.cdc.irdu.samwise.client.AnalysisCallback;AnalysisCallback;interface;1;2;1;0;1;2;0;13;
samwise6942167;gov.cdc.irdu.samwise.shared.sam.SamExplanation;SamExplanation;class;0;15;1;0;91;15;8;63;
samwise6942167;gov.cdc.irdu.samwise.client.AnalysisPopup;AnalysisPopup;class;17;14;2;0;9;4;2;133;
samwise6942167;gov.cdc.irdu.samwise.server.dao.DocumentDAO;DocumentDAO;class;10;30;1;0;0;7;6;132;
samwise6942167;gov.cdc.irdu.samwise.server.UploadFileServlet;UploadFileServlet;class;22;34;2;0;9;7;4;186;
samwise6942167;gov.cdc.irdu.math.Coordinate;Coordinate;class;0;3;1;0;0;3;2;15;
samwise6942167;gov.cdc.irdu.samwise.client.EvaluationDialogCallback;EvaluationDialogCallback;interface;1;2;1;0;1;2;0;12;
samwise6942167;gov.cdc.irdu.samwise.server.dao.DocumentRatingDAO;DocumentRatingDAO;class;2;17;1;0;0;4;1;51;
samwise6942167;gov.cdc.irdu.samwise.client.Samwise;Samwise;class;31;53;1;0;261;12;13;265;
samwise6942167;gov.cdc.irdu.samwise.client.EvaluationDialog;EvaluationDialog;class;4;16;2;1;19;10;3;55;
samwise6942167;gov.cdc.irdu.samwise.client.WizardPanel;WizardPanel;class;31;34;2;0;188;7;6;233;
samwise6942167;gov.cdc.irdu.samwise.server.dao.DoesNotExistException;DoesNotExistException;class;0;1;4;0;0;1;1;15;
samwise6942167;gov.cdc.irdu.samwise.shared.DocumentRating;DocumentRating;interface;1;7;1;0;21;7;0;20;
samwise6942167;gov.cdc.irdu.samwise.Config;Config;class;1;17;1;0;7;7;6;61;
samwise6942167;gov.cdc.irdu.samwise.shared.ReadabilityScores;ReadabilityScores;class;0;22;1;0;160;20;10;97;
samwise6942167;gov.cdc.irdu.samwise.client.ProgressPopup;ProgressPopup;class;8;9;3;0;3;6;6;65;
samwise6942167;gov.cdc.irdu.samwise.shared.pi.PmoseIkirsch;PmoseIkirsch;class;1;4;2;0;6;4;1;31;
samwise6942167;gov.cdc.irdu.math.Line;Line;class;1;14;1;0;40;12;5;73;
samwise6942167;gov.cdc.irdu.samwise.client.SamDialog;SamDialog;class;21;9;3;0;13;4;3;85;
samwise6942167;gov.cdc.irdu.samwise.shared.sam.SAM;SAM;class;2;16;2;0;3;6;2;53;
samwise6942167;gov.cdc.irdu.samwise.shared.sam.SamRating;SamRating;class;2;16;1;0;35;14;6;66;
samwise6942167;gov.cdc.irdu.samwise.util.ReadabilityScoresCalculator;ReadabilityScoresCalculator;class;6;15;1;0;0;3;7;91;
samwise6942167;gov.cdc.irdu.samwise.client.DocumentServiceAsync;DocumentServiceAsync;interface;6;5;1;0;10;5;0;19;
samwise6942167;gov.cdc.irdu.samwise.shared.sam.SamGroup;SamGroup;class;2;18;1;0;0;9;3;60;
