file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.Utils;Utils;class;3;18;1;0;34;9;1;174;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.upnpservices.updateservices.SetpointUpdate;SetpointUpdate;interface;0;3;1;0;3;3;0;6;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.eq3max.upnpservices.Eq3TemperatureSensorServiceZoneTemperature;Eq3TemperatureSensorServiceZoneTemperature;class;2;4;3;0;4;4;1;25;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.upnpservices.updateservices.ControlValveUpdate;ControlValveUpdate;interface;1;3;1;0;3;3;0;18;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.eq3max.internals.Room;Room;class;0;5;1;0;4;5;3;24;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.upnpservices.TemperatureSetpointService;TemperatureSetpointService;class;4;12;1;0;22;12;5;78;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.eq3max.internals.OpenClosedType;OpenClosedType;enum;0;0;1;0;0;0;0;5;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.ShutterContact;ShutterContact;class;4;14;2;0;62;12;7;73;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.BindingType;BindingType;enum;0;0;1;0;0;0;0;18;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.upnpdevices.UpnpDevice;UpnpDevice;class;7;3;1;0;3;3;2;32;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.MaxCubeDiscover;MaxCubeDiscover;class;2;20;1;0;0;1;0;113;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.Message;Message;class;1;4;1;2;4;4;3;29;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.examples.ExampleDeviceRunner;ExampleDeviceRunner;class;2;3;1;0;0;2;1;21;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.UnsupportedDevice;UnsupportedDevice;class;3;4;2;0;6;4;0;28;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.S_Message;S_Message;class;2;9;2;0;1;6;4;61;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.Configuration;Configuration;class;5;12;1;0;48;12;5;64;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.ThermostatModeType;ThermostatModeType;enum;0;1;1;0;0;1;0;21;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.UpnpHomeAutomationBridge;UpnpHomeAutomationBridge;class;9;13;1;0;64;2;1;93;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.upnpservices.ControlValveService;ControlValveService;class;6;11;1;0;39;11;5;72;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.exceptions.MessageIsWaitingException;MessageIsWaitingException;class;0;0;3;0;0;0;1;19;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.examples.AcmeExampleBinaryLightDevice;AcmeExampleBinaryLightDevice;class;2;3;3;0;1;2;0;24;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.HeatingThermostat;HeatingThermostat;class;4;27;2;1;149;19;10;159;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.RoomInformation;RoomInformation;class;0;7;1;0;3;7;3;43;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.upnpservices.HvacUserOperatingModeService;HvacUserOperatingModeService;class;4;8;1;2;8;8;4;55;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.H_Message;H_Message;class;2;6;2;0;2;4;12;78;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.MessageType;MessageType;enum;0;0;1;0;0;0;0;19;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.M_Message;M_Message;class;6;15;2;0;1;3;4;111;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.upnpservices.updateservices.ZoneTemperatureUpdate;ZoneTemperatureUpdate;interface;0;3;1;0;3;3;0;6;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.L_Message;L_Message;class;6;16;2;0;10;5;0;77;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.eq3max.internals.CubeConnectionManager;CubeConnectionManager;class;6;35;1;0;22;13;9;167;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.DeviceInformation;DeviceInformation;class;1;6;1;0;5;6;5;44;
UpnpHomeAutomationBridge44498197;org.openhab.binding.maxcube.internal.message.Battery;Battery;class;1;7;1;0;0;5;4;45;
UpnpHomeAutomationBridge44498197;com.cyclingengineer.upnphomeautomationbridge.eq3max.upnpservices.Eq3MaxHvacUserOperatingModeServiceZoneUserMode;Eq3MaxHvacUserOperatingModeServiceZoneUserMode;class;1;3;3;0;3;3;0;19;
