file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.network.IpAddress;IpAddress;class;38;211;2;0;417;30;8;688;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.identity.CSIdentityServices;CSIdentityServices;class;5;2;2;0;1;2;0;36;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.network.Network;Network;class;38;187;2;0;350;28;10;635;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.compute.CSTemplateCapabilities;CSTemplateCapabilities;class;13;23;2;0;210;21;0;147;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.Param;Param;class;3;1;2;0;0;1;0;25;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.compute.CSVolumeCapabilities;CSVolumeCapabilities;class;15;29;2;0;171;19;0;165;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.CSTopology;CSTopology;class;21;79;2;0;39;10;2;275;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.CSException;CSException;class;4;3;2;0;3;3;0;32;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.CSVersion;CSVersion;enum;2;1;1;0;0;1;0;29;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.CSCloud;CSCloud;class;35;249;2;0;692;40;14;846;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.identity.Keypair;Keypair;class;22;50;1;0;22;13;2;240;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.CSServiceProvider;CSServiceProvider;enum;0;0;1;0;0;0;0;28;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.network.CSIPAddressCapabilities;CSIPAddressCapabilities;class;8;12;2;0;66;12;0;83;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.network.SecurityGroupCapabilities;SecurityGroupCapabilities;class;14;35;2;0;171;19;0;149;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.Iterables;Iterables;class;1;6;1;0;0;1;0;44;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.TestSuite;TestSuite;class;1;0;2;0;0;0;0;21;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.compute.Snapshots;Snapshots;class;29;170;2;0;21;18;6;521;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.CSMethod;CSMethod;class;29;123;1;0;27;10;6;426;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.network.CSNetworkServices;CSNetworkServices;class;9;17;2;0;10;5;0;72;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.CSTopologyCapabilities;CSTopologyCapabilities;class;5;7;2;0;21;7;0;56;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.identity.KeypairCapabilities;KeypairCapabilities;class;6;3;2;0;3;3;0;42;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.compute.VMCapabilities;VMCapabilities;class;17;67;2;0;1174;49;1;296;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.compute.CSSnapshotCapabilities;CSSnapshotCapabilities;class;9;9;2;0;36;9;0;77;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.network.LoadBalancers;LoadBalancers;class;37;302;2;0;525;34;12;1023;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.compute.VirtualMachines;VirtualMachines;class;40;457;2;0;592;36;15;1413;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.Tuple;Tuple;class;5;16;1;0;0;6;2;74;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.network.SecurityGroup;SecurityGroup;class;35;219;2;0;327;27;9;685;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.compute.Templates;Templates;class;43;387;2;0;560;34;13;1309;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.compute.Volumes;Volumes;class;38;354;2;0;271;35;14;868;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.network.CSVlanCapabilities;CSVlanCapabilities;class;10;32;2;0;276;24;0;161;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.network.LBCapabilities;LBCapabilities;class;15;33;2;0;402;29;2;190;
dasein-cloud-cloudstack6030817;org.dasein.cloud.cloudstack.compute.CSComputeServices;CSComputeServices;class;8;13;2;0;10;5;0;60;
