file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
home-web32319613;eu.daiad.web.model.KeyValuePair;KeyValuePair;class;0;7;1;0;0;7;2;27;
home-web32319613;eu.daiad.web.model.group.CommonsQueryRequest;CommonsQueryRequest;class;2;2;2;0;0;2;1;11;
home-web32319613;eu.daiad.web.model.group.CommonsMemberCollectionResponse;CommonsMemberCollectionResponse;class;2;12;2;0;4;8;4;44;
home-web32319613;eu.daiad.web.repository.application.HBaseAmphiroRepositoryV1;HBaseAmphiroRepositoryV1;class;42;268;4;0;133;17;5;1243;
home-web32319613;eu.daiad.web.model.spatial.LabeledGeometry;LabeledGeometry;class;1;9;1;0;3;7;2;30;
home-web32319613;eu.daiad.web.model.device.DeviceConfigurationCollection;DeviceConfigurationCollection;class;2;16;1;0;62;13;7;58;
home-web32319613;eu.daiad.web.domain.application.PasswordResetTokenEntity;PasswordResetTokenEntity;class;14;16;1;0;100;16;8;93;
home-web32319613;TimeSeriesAnalyser;TimeSeriesAnalyser;class;8;178;1;0;1020;49;1;482;
home-web32319613;eu.daiad.web.model.amphiro.IgnoreShowerRequest;IgnoreShowerRequest;class;2;7;2;0;3;7;4;34;
home-web32319613;eu.daiad.web.service.weather.BaseWeatherDataHarvester;BaseWeatherDataHarvester;class;6;4;1;1;1;3;2;27;
home-web32319613;eu.daiad.web.model.device.DeviceRegistrationResponse;DeviceRegistrationResponse;class;1;4;2;0;4;4;1;18;
home-web32319613;eu.daiad.web.model.message.AlertStatistics;AlertStatistics;class;3;10;1;0;0;8;3;49;
home-web32319613;eu.daiad.web.connector.SecureFileTransferConnector;SecureFileTransferConnector;class;10;7;2;0;1;2;0;84;
home-web32319613;eu.daiad.web.model.device.DefaultAmphiroProperties;DefaultAmphiroProperties;class;1;1;1;0;0;1;1;11;
home-web32319613;eu.daiad.web.model.EnumTimeUnit;EnumTimeUnit;enum;8;30;2;0;233;23;2;138;
home-web32319613;eu.daiad.web.model.profile.UpdateHouseholdRequest;UpdateHouseholdRequest;class;2;8;2;0;0;3;1;24;
home-web32319613;eu.daiad.web.model.query.EnumMeasurementDataSource;EnumMeasurementDataSource;enum;6;19;2;0;3;6;2;74;
home-web32319613;eu.daiad.web.service.weather.WeatherHarvesterResult;WeatherHarvesterResult;class;1;3;1;0;1;3;2;16;
home-web32319613;eu.daiad.web.model.error.QueryErrorCode;QueryErrorCode;enum;0;1;1;0;0;1;0;24;
home-web32319613;eu.daiad.web.model.profile.ProfileModesResponse;ProfileModesResponse;class;2;3;2;0;1;3;1;15;
home-web32319613;eu.daiad.web.repository.application.IArduinoDataRepository;IArduinoDataRepository;interface;3;2;1;0;1;2;0;10;
home-web32319613;eu.daiad.web.repository.application.IAccountTipRepository;IAccountTipRepository;interface;6;28;1;0;378;28;0;40;
home-web32319613;Preprocessor;Preprocessor;class;5;67;1;0;256;24;6;216;
