file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
homework48896312;CH02.TestSingleLinkedList;TestSingleLinkedList;class;3;26;1;0;0;26;1;278;
homework48896312;ArenaFactory;ArenaFactory;class;2;1;1;0;0;1;0;15;
homework48896312;PriesthoodHolder.PriesthoodHolder;PriesthoodHolder;class;0;7;1;0;0;7;5;47;
homework48896312;Travel;Travel;class;2;69;1;0;0;4;5;279;
homework48896312;HelloWorld;HelloWorld;class;0;1;1;0;0;1;0;13;
homework48896312;MapsEntries;MapsEntries;class;1;22;1;0;2;8;4;80;
homework48896312;polymorhysm.Graduate;Graduate;class;0;0;1;0;0;0;0;3;
homework48896312;AXC.drawapp.DrawableTriangle;DrawableTriangle;class;5;13;3;0;55;11;1;91;
homework48896312;CH05.LinkedListRec;LinkedListRec;class;3;92;1;0;0;24;3;334;
homework48896312;CH10.Maze;Maze;class;1;4;1;0;0;1;0;50;
homework48896312;CH01.ComputeAreaAndPerim;ComputeAreaAndPerim;class;4;9;1;0;3;3;0;62;
homework48896312;ExpressionManager;ExpressionManager;interface;0;4;1;0;6;4;0;46;
homework48896312;JeopardyDay.MultiplicationTable;MultiplicationTable;class;0;3;1;0;0;1;0;20;
homework48896312;flashcard.DataDriverProject5;DataDriverProject5;class;1;1;1;0;0;1;0;10;
homework48896312;PhoneDirectoryExample.PhoneDirectory;PhoneDirectory;interface;0;5;1;0;10;5;0;36;
homework48896312;CH09.AVLTree;AVLTree;class;4;90;5;0;0;14;6;473;
homework48896312;CH08.QuickSort;QuickSort;class;2;6;1;2;6;4;0;57;
homework48896312;CH04.AirlineCheckinSim;AirlineCheckinSim;class;1;12;1;0;0;3;9;81;
homework48896312;AXC.BorderLayoutDemo;BorderLayoutDemo;class;1;2;6;0;1;2;0;56;
homework48896312;Person;Person;class;1;16;1;0;33;14;6;131;
homework48896312;Maze;Maze;class;3;36;1;0;0;6;4;156;
homework48896312;CH02.SingleLinkedList;SingleLinkedList;class;3;52;1;0;0;16;4;249;
homework48896312;FileTest;FileTest;class;0;3;1;0;0;1;0;42;
homework48896312;CH02.SingleLinkedListTest;SingleLinkedListTest;class;3;18;1;0;0;16;1;156;
homework48896312;Arena;Arena;class;6;36;1;0;0;5;5;150;
homework48896312;AXC.TextFieldDemo;TextFieldDemo;class;2;4;6;0;1;3;1;55;
homework48896312;CH09.SkipList;SkipList;class;4;27;1;0;0;10;8;176;
homework48896312;CentroidNode;CentroidNode;class;3;19;1;0;1;6;3;58;
homework48896312;CH03.ParenChecker;ParenChecker;class;0;12;1;0;2;4;2;83;
homework48896312;PhoneDirectoryExample.PDGUIApp;PDGUIApp;class;4;3;1;0;0;1;0;34;
homework48896312;CH03.StackInt;StackInt;interface;1;4;1;0;6;4;0;34;
homework48896312;CH05.Blob;Blob;class;2;6;1;0;0;2;1;37;
homework48896312;AXC.MyCircle;MyCircle;class;0;5;5;0;0;3;2;50;
homework48896312;PhoneDirectoryExample.ArrayBasedPD;ArrayBasedPD;class;2;30;1;0;0;9;6;186;
homework48896312;AXC.GridLayoutDemo;GridLayoutDemo;class;1;4;6;0;1;2;0;45;
homework48896312;Computer;Computer;interface;0;4;1;0;6;4;0;6;
homework48896312;CH08.DutchNationalFlag;DutchNationalFlag;class;2;3;6;0;1;2;3;40;
homework48896312;CH08.SortAlgorithm;SortAlgorithm;interface;1;1;1;0;0;1;0;12;
homework48896312;AXC.drawapp.Drawable;Drawable;class;1;15;1;1;77;15;4;56;
homework48896312;JeopardyDay.rouletteGame;rouletteGame;class;0;1;1;0;0;1;0;9;
homework48896312;InfixToPostfixParens;InfixToPostfixParens;class;3;33;3;0;0;5;7;162;
homework48896312;PerceptronNode;PerceptronNode;class;2;26;1;0;42;13;6;111;
homework48896312;CH01.Circle;Circle;class;1;7;2;0;0;7;1;64;
homework48896312;CH10.ListGraph;ListGraph;class;2;11;2;0;0;5;1;79;
homework48896312;CH06.SearchTree;SearchTree;interface;1;5;1;0;10;5;0;38;
homework48896312;AXC.BuildBoxLayout;BuildBoxLayout;class;1;2;6;0;1;2;0;43;
homework48896312;CharacterInterface;CharacterInterface;interface;0;11;1;0;55;11;2;156;
homework48896312;CH07.HuffmanTree;HuffmanTree;class;4;20;2;0;4;5;1;136;
homework48896312;CH08.ComparePerson;ComparePerson;class;1;1;1;0;0;1;0;22;
homework48896312;AXC.drawapp.DrawApp;DrawApp;class;6;19;6;0;13;11;5;227;
homework48896312;SquareRoots;SquareRoots;class;0;2;1;0;0;1;0;13;
homework48896312;CH02.OrderedList;OrderedList;class;1;9;1;0;0;6;1;65;
homework48896312;CH05.Maze;Maze;class;2;11;1;0;1;3;1;55;
homework48896312;AXC.drawapp.DrawableRombus;DrawableRombus;class;5;13;3;0;55;11;1;90;
homework48896312;AXC.VolumeConverter;VolumeConverter;class;0;2;1;0;0;2;1;26;
homework48896312;CH05.towersofhanoi.TowersOfHanoi;TowersOfHanoi;class;12;33;19;0;121;22;4;265;
homework48896312;CH09.TwoThreeFourTree;TwoThreeFourTree;class;4;39;1;0;15;11;5;236;
homework48896312;BlendedFamily;BlendedFamily;class;0;1;1;0;0;1;0;22;
homework48896312;CH08.InsertionSort;InsertionSort;class;2;4;1;0;1;2;0;41;
homework48896312;QSTest;QSTest;class;3;78;1;0;10;5;0;236;
homework48896312;QSInterface;QSInterface;interface;1;4;1;0;6;4;0;75;
homework48896312;CH10.DepthFirstSearch;DepthFirstSearch;class;4;15;1;0;0;4;7;100;
homework48896312;Station;Station;class;4;62;1;0;0;20;5;195;
homework48896312;CH10.Graph;Graph;interface;1;6;1;0;15;6;0;49;
homework48896312;flashcard.Student;Student;class;0;5;1;0;0;5;1;36;
homework48896312;CH07.HashtableOpen;HashtableOpen;class;7;41;4;0;16;20;10;263;
homework48896312;CH10.DijkstrasAlgorithm;DijkstrasAlgorithm;class;3;14;1;0;0;1;0;60;
