file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
jflicks926402;org.jflicks.videomanager.VideoManager;VideoManager;interface;3;9;1;0;36;9;1;88;
jflicks926402;org.jflicks.tv.scheduler.system.SystemScheduler;SystemScheduler;class;21;262;3;0;1069;38;5;758;
jflicks926402;org.jflicks.metadata.themoviedb.RetrieveJob;RetrieveJob;class;3;6;2;0;9;6;1;61;
jflicks926402;org.jflicks.ui.view.fe.TextIcon;TextIcon;class;1;24;1;0;77;18;6;210;
jflicks926402;org.jflicks.tv.programdata.sd.json.Title;Title;class;0;3;1;0;1;3;1;35;
jflicks926402;org.jflicks.tv.recorder.jhdhr.HDHRDevice;HDHRDevice;class;0;33;1;0;111;19;8;148;
jflicks926402;org.jflicks.tv.recorder.jhdhr.StreamJob;StreamJob;class;4;16;3;0;32;9;2;116;
jflicks926402;org.jflicks.cleaner.BaseCleaner;BaseCleaner;class;5;17;2;1;32;9;2;95;
jflicks926402;org.jflicks.configure.ConfigurationPanelProvider;ConfigurationPanelProvider;class;10;39;2;0;24;8;2;130;
jflicks926402;org.jflicks.tv.recorder.jhdhr.HDHRStreamJob;HDHRStreamJob;class;8;49;2;0;165;19;3;199;
jflicks926402;org.jflicks.tv.Show;Show;class;0;21;1;0;120;17;8;175;
jflicks926402;org.jflicks.ui.view.metadata.VideoPanel;VideoPanel;class;20;224;11;0;4208;93;29;1148;
jflicks926402;org.jflicks.update.system.SystemUpdate;SystemUpdate;class;5;39;2;0;10;5;0;141;
jflicks926402;org.jflicks.nms.State;State;class;6;81;1;0;324;28;10;239;
jflicks926402;org.jflicks.wizard.Wizard;Wizard;class;6;91;5;0;604;36;11;325;
jflicks926402;org.jflicks.tv.programdata.sd.json.RestUtil;RestUtil;class;2;25;1;0;10;5;0;86;
jflicks926402;org.jflicks.tv.recorder.HlsJob;HlsJob;class;6;44;2;0;266;25;9;243;
jflicks926402;org.jflicks.ui.view.metadata.MediainfoJob;MediainfoJob;class;6;36;2;0;70;13;4;155;
jflicks926402;org.jflicks.update.UpdateTracker;UpdateTracker;class;6;10;3;0;13;6;1;79;
jflicks926402;org.jflicks.ui.view.scheduler.ChannelGuidePanel;ChannelGuidePanel;class;8;43;6;0;41;10;2;204;
jflicks926402;org.jflicks.videomanager.yamj.Activator;Activator;class;4;2;2;0;1;2;0;43;
jflicks926402;org.jflicks.ui.view.fe.PosterPanel;PosterPanel;class;9;162;6;0;2329;71;33;687;
jflicks926402;org.jflicks.tv.recorder.v4l2.DevVideoFilter;DevVideoFilter;class;0;9;1;0;4;5;1;77;
jflicks926402;org.jflicks.ui.view.fe.screen.livetv.LiveTVScreen;LiveTVScreen;class;9;30;6;0;15;5;0;123;
jflicks926402;org.jflicks.ui.view.fe.screen.script.Activator;Activator;class;4;18;2;0;3;3;0;85;
jflicks926402;org.jflicks.ui.view.vm.VideoPanel;VideoPanel;class;15;59;9;0;413;30;10;352;
jflicks926402;org.jflicks.job.SystemJob;SystemJob;class;8;52;2;0;199;23;11;266;
jflicks926402;org.jflicks.metadata.themoviedb.Artwork;Artwork;class;1;8;1;0;22;8;3;57;
jflicks926402;org.jflicks.ui.view.advanced.ClientView;ClientView;class;15;96;9;0;311;26;8;388;
jflicks926402;org.jflicks.tv.ondemand.BaseOnDemand;BaseOnDemand;class;7;33;2;0;51;11;2;164;
jflicks926402;org.jflicks.nms.system.AutoArtTracker;AutoArtTracker;class;6;10;3;0;13;6;1;80;
jflicks926402;org.jflicks.tv.postproc.BasePostProc;BasePostProc;class;9;32;2;1;72;13;3;159;
jflicks926402;org.jflicks.photomanager.Tag;Tag;class;1;82;1;0;396;29;7;366;
jflicks926402;org.jflicks.ui.view.vm.VideoManagerView;VideoManagerView;class;18;82;8;0;425;29;8;378;
jflicks926402;org.jflicks.tv.postproc.worker.BaseWorker;BaseWorker;class;7;45;1;8;356;28;9;278;
jflicks926402;org.jflicks.util.RowPanel;RowPanel;class;0;11;5;0;6;4;1;103;
jflicks926402;org.jflicks.ui.view.j4cc.scheduler.RecordingJob;RecordingJob;class;3;8;2;0;3;6;1;64;
jflicks926402;org.jflicks.tv.RecordingRule;RecordingRule;class;5;79;1;0;1272;52;36;633;
jflicks926402;org.jflicks.stream.http.BoxeeFeed;BoxeeFeed;class;3;2;3;0;1;2;0;65;
jflicks926402;org.jflicks.util.StartsWithFilter;StartsWithFilter;class;0;6;1;0;0;4;1;64;
jflicks926402;org.jflicks.metadata.SearchListener;SearchListener;interface;1;1;1;0;0;1;0;30;
jflicks926402;org.jflicks.tv.recorder.dvb.DvbDiscoveryJob;DvbDiscoveryJob;class;10;40;2;0;128;17;4;165;
jflicks926402;org.jflicks.tv.recorder.dvb.DvbDevice;DvbDevice;class;0;3;1;0;1;3;1;44;
jflicks926402;org.jflicks.transfer.Transfer;Transfer;interface;1;3;1;0;3;3;1;51;
jflicks926402;org.jflicks.ui.view.ez.EZObject;EZObject;class;6;140;1;0;239;23;7;388;
jflicks926402;org.jflicks.ui.view.j4cc.J4ccView;J4ccView;class;12;77;7;0;384;28;8;343;
jflicks926402;org.jflicks.nms.system.SystemNMS;SystemNMS;class;21;229;3;0;169;19;1;598;
jflicks926402;org.jflicks.discovery.BaseDiscoveryJob;BaseDiscoveryJob;class;1;19;2;2;93;15;6;172;
jflicks926402;org.jflicks.rc.lirc.LircRC;LircRC;class;1;1;2;0;0;1;0;29;
jflicks926402;org.jflicks.imagecache.ImageCacheTracker;ImageCacheTracker;class;6;10;3;0;13;6;1;79;
jflicks926402;org.jflicks.tv.programdata.sd.json.Account;Account;class;0;9;1;0;28;9;4;56;
