file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
jmdns21750896;javax.jmdns.impl.DNSCache;DNSCache;class;0;56;3;0;91;14;1;273;
jmdns21750896;javax.jmdns.impl.constants.DNSOptionCode;DNSOptionCode;enum;0;8;1;0;2;5;2;68;
jmdns21750896;javax.jmdns.impl.ServiceInfoImpl;ServiceInfoImpl;class;1;296;4;0;3370;92;21;1252;
jmdns21750896;javax.jmdns.test.DNSRecordTest;DNSRecordTest;class;0;1;1;0;0;1;7;54;
jmdns21750896;javax.jmdns.impl.constants.DNSResultCode;DNSResultCode;enum;0;12;1;0;1;6;4;136;
jmdns21750896;javax.jmdns.impl.DNSStatefulObject;DNSStatefulObject;interface;0;99;2;0;733;47;10;509;
jmdns21750896;samples.TestShutdownHook;TestShutdownHook;class;0;4;1;0;1;1;0;33;
jmdns21750896;javax.jmdns.impl.DNSRecord;DNSRecord;class;1;190;18;0;4274;97;18;925;
jmdns21750896;javax.jmdns.NetworkTopologyDiscovery;NetworkTopologyDiscovery;interface;0;17;1;0;33;10;2;147;
jmdns21750896;javax.jmdns.impl.SocketListener;SocketListener;class;1;25;2;0;0;3;2;77;
jmdns21750896;javax.jmdns.impl.DNSOutgoing;DNSOutgoing;class;1;107;4;0;316;28;11;428;
jmdns21750896;javax.jmdns.impl.DNSEntry;DNSEntry;class;1;49;1;2;358;29;7;275;
jmdns21750896;javax.jmdns.impl.DNSMessage;DNSMessage;class;1;50;1;1;166;24;9;295;
jmdns21750896;javax.jmdns.impl.constants.DNSRecordClass;DNSRecordClass;enum;0;15;1;0;7;7;7;121;
jmdns21750896;javax.jmdns.impl.JmmDNSImpl;JmmDNSImpl;class;1;128;2;0;737;36;16;724;
jmdns21750896;javax.jmdns.impl.util.NamedThreadFactory;NamedThreadFactory;class;0;2;1;0;0;2;2;30;
jmdns21750896;samples.ITunesRemotePairing;ITunesRemotePairing;class;4;18;1;0;19;7;7;150;
jmdns21750896;javax.jmdns.impl.DNSQuestion;DNSQuestion;class;0;72;16;0;378;28;1;289;
jmdns21750896;javax.jmdns.impl.ServiceInfoImplTest;ServiceInfoImplTest;class;1;5;1;0;1;3;1;56;
jmdns21750896;javax.jmdns.ServiceTypeListener;ServiceTypeListener;interface;0;2;1;0;1;2;0;31;
jmdns21750896;javax.jmdns.impl.NameRegister;NameRegister;interface;0;38;3;0;79;14;3;246;
jmdns21750896;javax.jmdns.impl.HostInfo;HostInfo;class;0;99;3;0;295;38;6;384;
jmdns21750896;javax.jmdns.ServiceInfo;ServiceInfo;class;1;55;1;0;1431;54;1;675;
jmdns21750896;javax.jmdns.impl.tasks.state.Canceler;Canceler;class;0;17;4;0;66;12;1;126;
jmdns21750896;javax.jmdns.impl.tasks.DNSTask;DNSTask;class;0;15;2;4;3;10;1;198;
jmdns21750896;javax.jmdns.impl.JmDNSTest;JmDNSTest;class;2;77;2;0;17;23;7;491;
jmdns21750896;javax.jmdns.impl.constants.DNSConstants;DNSConstants;class;0;0;1;0;0;0;37;52;
jmdns21750896;javax.jmdns.impl.tasks.state.Prober;Prober;class;0;22;4;0;66;12;1;141;
jmdns21750896;com.strangeberry.jmdns.tools.Responder;Responder;class;1;13;1;0;1;2;0;75;
jmdns21750896;javax.jmdns.impl.JmDNSImpl;JmDNSImpl;class;1;465;3;0;7342;126;31;2033;
