file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
peopleHome48366585;com.ocean.rpc.core.service.rpc.RpcServer;RpcServer;class;19;11;1;0;2;4;4;79;
peopleHome48366585;com.ocean.mybatis.mapper.RolesMapper;RolesMapper;interface;2;0;1;0;0;0;0;5;
peopleHome48366585;com.ocean.session.sessionCluster.rest.mvc.RestDemoController;RestDemoController;class;4;2;1;0;1;2;0;26;
peopleHome48366585;com.jujin.entity.sign.PageSignData;PageSignData;class;3;14;1;0;77;14;7;82;
peopleHome48366585;com.jujin.entity.duozhuan.DzBorrowInfo;DzBorrowInfo;class;1;28;1;0;350;28;15;112;
peopleHome48366585;com.ocean.ddl.mybatis.plugin.ShardPlugin;ShardPlugin;class;8;11;1;0;4;5;2;56;
peopleHome48366585;com.ocean.session.sessionCluster.rest.mvc.MvcInitializer;MvcInitializer;class;4;3;2;0;3;3;0;21;
peopleHome48366585;com.jujin.biz.xglc.XglcTransactionBiz;XglcTransactionBiz;class;13;53;2;0;45;10;1;233;
peopleHome48366585;com.ocean.springmvc.core.common.Ordered;Ordered;interface;0;1;1;0;0;1;2;31;
peopleHome48366585;com.citic.risk.entity.RechargeTester;RechargeTester;class;1;1;1;0;0;1;0;40;
peopleHome48366585;com.jujin.biz.VerifyCodeBiz;VerifyCodeBiz;class;2;26;3;0;21;7;0;117;
peopleHome48366585;com.ocean.rpc.client.service.HelloService;HelloService;interface;0;1;1;0;0;1;0;7;
peopleHome48366585;com.jujin.biz.AwardBiz;AwardBiz;class;10;50;3;0;78;13;1;291;
peopleHome48366585;com.jujin.entity.account.AccountCenter;AccountCenter;class;1;18;1;0;105;18;8;137;
peopleHome48366585;com.ocean.session.core.HttpSessionWrapper;HttpSessionWrapper;class;4;31;1;0;157;22;11;189;
peopleHome48366585;com.anyang.xingqingshu.ocean.core.anyang.commom.JsonException;JsonException;class;0;5;4;0;10;5;1;22;
peopleHome48366585;com.jujin.entity.xglc.transaction.MessageInfoDTO;MessageInfoDTO;class;0;10;1;0;35;10;5;60;
peopleHome48366585;com.jujin.test.HomeBizTest;HomeBizTest;class;0;2;1;0;1;2;0;23;
peopleHome48366585;com.ocean.common.exception.HttpsException;HttpsException;class;0;5;4;0;10;5;1;22;
peopleHome48366585;com.ocean.common.xml.XmlReaders;XmlReaders;class;5;20;1;0;30;9;2;87;
peopleHome48366585;com.jujin.entity.borrow.UserIncomeInfo;UserIncomeInfo;class;2;28;1;0;160;21;9;199;
peopleHome48366585;com.ocean.test.util.BaseTestCase;BaseTestCase;class;9;11;2;0;6;4;1;60;
peopleHome48366585;com.ocean.ddl.mybatis.spring.support.MultiDataSourceTransactionManager;MultiDataSourceTransactionManager;class;20;61;3;0;185;22;7;242;
peopleHome48366585;com.ocean.test.db1.service.TsysAppService;TsysAppService;class;5;2;2;0;1;2;1;19;
peopleHome48366585;com.jujin.biz.ProductBiz;ProductBiz;class;10;5;3;0;10;5;0;66;
peopleHome48366585;com.jujin.entity.UserEmail;UserEmail;class;1;2;2;0;0;2;1;24;
peopleHome48366585;com.ocean.session.sessionCluster.rest.SecurityConfig;SecurityConfig;class;6;2;2;0;1;2;0;27;
peopleHome48366585;com.ocean.framework.core.utils.StringHelpers;StringHelpers;class;3;238;1;0;1176;49;1;1121;
peopleHome48366585;com.ocean.session.sessionCluster.rest.HttpSessionConfig;HttpSessionConfig;class;8;2;1;0;1;2;0;19;
peopleHome48366585;com.jujin.entity.common.AddressComponent;AddressComponent;class;0;10;1;0;35;10;5;38;
peopleHome48366585;com.ocean.ddl.mybatis.util.SqlSessionUtils;SqlSessionUtils;class;21;48;2;0;17;11;3;293;
peopleHome48366585;com.jujin.entity.feed.FeedType;FeedType;class;0;8;1;0;20;8;4;31;
peopleHome48366585;com.jujin.common.ThreadLocalUtil;ThreadLocalUtil;class;1;4;1;0;0;2;1;26;
peopleHome48366585;com.ocean.mybatis.mapper.CountryMapper;CountryMapper;interface;2;0;1;0;0;0;0;5;
peopleHome48366585;com.jujin.utils.HttpUtil;HttpUtil;class;9;29;1;0;3;3;0;150;
peopleHome48366585;com.isea533.mybatis.model.Country;Country;class;3;6;1;0;9;6;3;93;
peopleHome48366585;com.jujin.entity.award.AwardResultInfo;AwardResultInfo;class;0;7;1;0;3;7;3;39;
peopleHome48366585;com.jujin.biz.common.CommonBiz;CommonBiz;class;4;31;3;0;6;3;0;103;
