file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.SaveDataButAction;SaveDataButAction;class;8;41;1;0;0;4;4;318;
thoth-lib-home-mini32161971;thoth_lib_m.AdditClass;AdditClass;class;0;7;1;0;15;6;0;90;
thoth-lib-home-mini32161971;thoth_lib_m.dataclass.FieldID;FieldID;class;0;2;1;0;0;2;1;30;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.section_event.RenameSecButAction;RenameSecButAction;class;2;5;1;0;0;2;3;41;
thoth-lib-home-mini32161971;thoth_lib_m.dataclass.CopyTable;CopyTable;class;1;12;2;0;14;12;5;116;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.SortData;SortData;class;1;6;2;0;0;2;1;47;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.TableCopiesModel;TableCopiesModel;class;1;24;2;0;11;15;4;150;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.CatalogJFrameTest;CatalogJFrameTest;class;7;10;1;0;45;10;0;118;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.SelectionTableRow;SelectionTableRow;class;6;11;1;0;0;2;5;70;
thoth-lib-home-mini32161971;thoth_lib_m.inout.DocumentContent;DocumentContent;class;0;7;1;1;0;5;1;58;
thoth-lib-home-mini32161971;thoth_lib_m.databaseclass.DataSearch;DataSearch;class;2;23;3;1;3;3;0;142;
thoth-lib-home-mini32161971;thoth_lib_m.inout.CSSDoc;CSSDoc;class;2;4;2;0;3;3;0;52;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.TACountAction;TACountAction;class;0;12;1;0;8;5;3;67;
thoth-lib-home-mini32161971;thoth_lib_m.dataclass.Dateline;Dateline;class;0;13;1;0;0;9;5;119;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.section_event.DelSecButAction;DelSecButAction;class;2;5;1;0;0;2;3;41;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.CatalogJFrame;CatalogJFrame;class;20;19;6;0;38;13;10;335;
thoth-lib-home-mini32161971;thoth_lib_m.dataclass.Book;Book;class;5;17;2;0;28;13;7;139;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.TFCountAction;TFCountAction;class;0;12;1;0;8;5;3;67;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.DelDataTable;DelDataTable;class;1;24;1;0;0;5;1;107;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.TableCopiesModelBug;TableCopiesModelBug;class;1;23;3;0;0;10;3;131;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.section_event.AddSecButAction;AddSecButAction;class;2;5;1;0;0;2;3;40;
thoth-lib-home-mini32161971;thoth_lib_m.databaseclass.QueryPrint;QueryPrint;class;2;17;4;0;54;12;2;180;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.SortFilterModel;SortFilterModel;class;3;71;2;0;0;28;6;275;
thoth-lib-home-mini32161971;thoth_lib_m.databaseclass.DataBaseHelper;DataBaseHelper;class;1;9;1;3;0;4;1;54;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.NewButAction;NewButAction;class;2;7;1;0;0;4;3;115;
thoth-lib-home-mini32161971;thoth_lib_m.databaseclass.ConnectionDB;ConnectionDB;class;0;3;1;1;3;3;0;32;
thoth-lib-home-mini32161971;thoth_lib_m.dataclass.AdditData;AdditData;class;0;7;1;0;0;7;2;70;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.CatalogJElements;CatalogJElements;class;1;36;1;0;181;21;14;489;
thoth-lib-home-mini32161971;thoth_lib_m.dataclass.MainData;MainData;class;0;7;1;0;0;7;2;70;
thoth-lib-home-mini32161971;thoth_lib_m.dataclass.InfoSection;InfoSection;class;0;10;1;0;0;6;3;75;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.TableCopies;TableCopies;class;6;12;1;1;6;5;3;115;
thoth-lib-home-mini32161971;thoth_lib_m.databaseclass.DataBaseInsert;DataBaseInsert;class;2;9;2;0;10;5;2;107;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.TableSearch;TableSearch;class;4;8;2;0;3;3;0;89;
thoth-lib-home-mini32161971;thoth_lib_m.databaseclass.DataBaseUpdate;DataBaseUpdate;class;2;9;2;0;10;5;2;107;
thoth-lib-home-mini32161971;thoth_lib_m.Thoth_lib_m;Thoth_lib_m;class;2;2;1;0;0;1;0;43;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.AboutProgram;AboutProgram;class;0;3;6;0;3;2;5;134;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.SortFilterModelL;SortFilterModelL;class;3;49;2;0;0;21;6;180;
thoth-lib-home-mini32161971;thoth_lib_m.inout.OutputDoc;OutputDoc;class;0;16;1;0;6;4;0;143;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.SelectionSection;SelectionSection;class;9;11;1;0;0;2;6;107;
thoth-lib-home-mini32161971;thoth_lib_m.inout.HTMLDoc;HTMLDoc;class;3;18;2;0;78;13;1;311;
thoth-lib-home-mini32161971;thoth_lib_m.databaseclass.ConnectionSQLiteDB;ConnectionSQLiteDB;class;1;11;2;0;0;5;2;100;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.SearchPane;SearchPane;class;4;25;1;0;36;9;15;249;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.DelDataButAction;DelDataButAction;class;4;25;1;0;0;3;4;144;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.TextDataElemBook;TextDataElemBook;class;3;8;1;0;10;5;0;122;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.ChangeSecButAction;ChangeSecButAction;class;4;7;1;0;0;2;2;51;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.Section;Section;class;1;59;1;0;0;10;7;320;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.SelectionSectionFrame;SelectionSectionFrame;class;2;9;6;0;5;4;4;97;
thoth-lib-home-mini32161971;thoth_lib_m.databaseclass.ChangeSectionUpdate;ChangeSectionUpdate;class;1;3;2;0;1;2;1;43;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.ExportWin;ExportWin;class;0;10;6;0;33;6;4;141;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.StringRenderer;StringRenderer;class;1;8;5;0;0;1;1;55;
thoth-lib-home-mini32161971;thoth_lib_m.dataclass.CopyBook;CopyBook;class;1;10;2;0;0;10;4;119;
thoth-lib-home-mini32161971;thoth_lib_m.databaseclass.DataBaseDelete;DataBaseDelete;class;1;16;2;0;15;6;2;156;
thoth-lib-home-mini32161971;thoth_lib_m.databaseclass.DataBaseSelect;DataBaseSelect;class;1;16;2;1;1;7;3;141;
thoth-lib-home-mini32161971;thoth_lib_m.guiclass.guievent.PrintButAction;PrintButAction;class;7;29;1;0;2;5;3;182;
