file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
BugLocalization47362502;japa.parser.ast.type.PrimitiveType;PrimitiveType;class;6;7;3;0;9;7;1;56
BugLocalization47362502;mainprocess.VectorSpaceModel;VectorSpaceModel;class;3;20;1;0;1;2;0;87
BugLocalization47362502;feature.VectorCreator;VectorCreator;class;2;2;1;0;1;2;0;34
BugLocalization47362502;japa.parser.ast.expr.ArrayAccessExpr;ArrayAccessExpr;class;5;9;3;0;14;9;2;62
BugLocalization47362502;sourcecode.ast.Corpus;Corpus;class;0;6;1;0;11;6;3;24
BugLocalization47362502;japa.parser.ast.ImportDeclaration;ImportDeclaration;class;6;11;2;0;23;11;3;124
BugLocalization47362502;Jama.QRDecomposition;QRDecomposition;class;2;48;1;0;0;6;4;194
BugLocalization47362502;sourcecode.CodeDataProcessor;CodeDataProcessor;class;3;120;1;0;21;7;0;442
BugLocalization47362502;japa.parser.JavaCharStream;JavaCharStream;class;2;136;1;0;365;39;18;548
BugLocalization47362502;Jama.examples.MagicSquareExample;MagicSquareExample;class;6;24;1;0;10;5;0;133
BugLocalization47362502;japa.parser.ast.stmt.ForStmt;ForStmt;class;6;13;3;0;36;13;4;82
BugLocalization47362502;sourcecode.CodeVectorCreator;CodeVectorCreator;class;2;12;1;0;6;4;4;68
BugLocalization47362502;bug.BugFeatureExtractor;BugFeatureExtractor;class;4;137;1;0;465;31;0;614
BugLocalization47362502;bug.BugDataProcessor;BugDataProcessor;class;5;51;1;0;21;7;0;285
BugLocalization47362502;japa.parser.ast.body.MethodDeclaration;MethodDeclaration;class;12;23;3;0;133;23;8;140
BugLocalization47362502;japa.parser.ASTParserConstants;ASTParserConstants;interface;0;0;1;0;0;0;124;404
BugLocalization47362502;japa.parser.ast.visitor.VoidVisitor;VoidVisitor;interface;80;79;1;0;3081;79;0;190
BugLocalization47362502;utils.Stopword;Stopword;class;0;5;1;0;1;2;2;129
BugLocalization47362502;sourcecode.ClassName;ClassName;class;4;19;1;0;6;4;0;108
BugLocalization47362502;japa.parser.ast.stmt.DoStmt;DoStmt;class;6;9;3;0;14;9;2;63
BugLocalization47362502;japa.parser.ast.type.WildcardType;WildcardType;class;6;10;3;0;15;10;2;65
BugLocalization47362502;sourcecode.SourceCode;SourceCode;class;0;13;1;0;26;13;5;115
BugLocalization47362502;sourcecode.LenScore_OriginClass;LenScore_OriginClass;class;1;21;1;0;6;4;3;91
BugLocalization47362502;evaluation.Evaluation;Evaluation;class;4;106;1;0;51;19;22;474
BugLocalization47362502;japa.parser.TokenMgrError;TokenMgrError;class;0;19;3;0;15;6;5;145
BugLocalization47362502;japa.parser.ast.expr.BooleanLiteralExpr;BooleanLiteralExpr;class;5;7;4;0;9;7;1;53
BugLocalization47362502;japa.parser.ast.expr.StringLiteralExpr;StringLiteralExpr;class;5;7;4;0;9;7;1;53
BugLocalization47362502;japa.parser.ast.body.EmptyTypeDeclaration;EmptyTypeDeclaration;class;6;5;4;0;10;5;0;45
BugLocalization47362502;japa.parser.ast.expr.FieldAccessExpr;FieldAccessExpr;class;6;11;3;0;27;11;3;72
BugLocalization47362502;eval.MRR;MRR;class;2;8;2;0;6;4;0;70
BugLocalization47362502;evaluation.MAP;MAP;class;1;20;1;0;4;4;4;101
BugLocalization47362502;japa.parser.ast.body.AnnotationMemberDeclaration;AnnotationMemberDeclaration;class;9;14;3;0;29;14;4;97
BugLocalization47362502;japa.parser.ast.body.EnumConstantDeclaration;EnumConstantDeclaration;class;8;12;3;0;26;12;3;78
BugLocalization47362502;japa.parser.ast.Comment;Comment;class;1;5;2;1;0;5;1;60
BugLocalization47362502;japa.parser.ast.expr.ArrayInitializerExpr;ArrayInitializerExpr;class;5;7;3;0;9;7;1;54
BugLocalization47362502;japa.parser.ast.body.BodyDeclaration;BodyDeclaration;class;3;7;2;7;0;7;2;55
BugLocalization47362502;japa.parser.ast.LineComment;LineComment;class;5;5;3;0;10;5;0;50
BugLocalization47362502;japa.parser.ast.stmt.ForeachStmt;ForeachStmt;class;7;11;3;0;23;11;3;73
BugLocalization47362502;japa.parser.ASTHelper;ASTHelper;class;21;25;1;0;91;14;9;236
BugLocalization47362502;sourcecode.ast.FileDetector;FileDetector;class;0;16;1;0;11;7;2;40
BugLocalization47362502;japa.parser.ast.expr.NullLiteralExpr;NullLiteralExpr;class;5;4;4;0;6;4;0;42
BugLocalization47362502;sourcecode.CodeCorpusCreator_SpiltCorpus;CodeCorpusCreator_SpiltCorpus;class;4;29;1;0;1;3;2;146
BugLocalization47362502;japa.parser.ast.body.ConstructorDeclaration;ConstructorDeclaration;class;11;18;3;0;79;18;6;114
BugLocalization47362502;japa.parser.ast.stmt.CatchClause;CatchClause;class;7;9;2;0;14;9;2;64
BugLocalization47362502;japa.parser.ast.visitor.DumpVisitor;DumpVisitor;class;86;361;1;0;0;96;4;1160
BugLocalization47362502;Bug;Bug;class;6;24;1;0;45;10;6;159
BugLocalization47362502;japa.parser.ast.stmt.Statement;Statement;class;1;2;2;7;1;2;0;33
BugLocalization47362502;japa.parser.ast.body.EmptyMemberDeclaration;EmptyMemberDeclaration;class;6;5;3;0;10;5;0;45
BugLocalization47362502;Jama.util.Maths;Maths;class;0;5;1;0;0;1;0;17
BugLocalization47362502;japa.parser.ast.expr.CastExpr;CastExpr;class;6;9;3;0;14;9;2;63
BugLocalization47362502;japa.parser.ast.visitor.GenericVisitor;GenericVisitor;interface;81;79;1;0;3081;79;0;190
BugLocalization47362502;japa.parser.ast.expr.BinaryExpr;BinaryExpr;class;6;11;3;0;23;11;3;92
BugLocalization47362502;japa.parser.JavaParser;JavaParser;class;2;12;1;0;13;6;2;115
BugLocalization47362502;japa.parser.ast.stmt.TypeDeclarationStmt;TypeDeclarationStmt;class;6;7;3;0;9;7;1;54
BugLocalization47362502;sourcecode.ast.ASTCreator;ASTCreator;class;3;5;1;0;1;3;1;35
BugLocalization47362502;eval.MAP;MAP;class;2;10;2;0;10;5;0;81
BugLocalization47362502;utils.MatrixUtil;MatrixUtil;class;1;110;1;0;153;18;0;518
BugLocalization47362502;japa.parser.ast.expr.LongLiteralMinValueExpr;LongLiteralMinValueExpr;class;5;4;6;0;6;4;0;43
BugLocalization47362502;japa.parser.ast.stmt.BlockStmt;BlockStmt;class;5;7;3;0;9;7;1;54
BugLocalization47362502;japa.parser.ast.TypeParameter;TypeParameter;class;6;9;2;0;14;9;2;103
BugLocalization47362502;utils.Stem;Stem;class;1;1;1;0;0;1;1;9
BugLocalization47362502;utils.testWVWrapper;testWVWrapper;class;0;8;1;0;1;2;0;85
BugLocalization47362502;sourcecode.LineofCode;LineofCode;class;2;12;1;0;0;2;2;59
BugLocalization47362502;bug.BugVector;BugVector;class;14;2;1;0;1;1;2;61
BugLocalization47362502;Jama.EigenvalueDecomposition;EigenvalueDecomposition;class;2;202;1;0;0;10;8;804
BugLocalization47362502;utils.Splitter;Splitter;class;0;26;1;0;1;2;0;74
BugLocalization47362502;japa.parser.ast.expr.LiteralExpr;LiteralExpr;class;1;2;3;2;1;2;0;32
BugLocalization47362502;japa.parser.ast.type.Type;Type;class;1;2;2;2;1;2;0;33
BugLocalization47362502;japa.parser.ast.body.Parameter;Parameter;class;8;16;2;0;64;16;5;101
BugLocalization47362502;japa.parser.ast.stmt.SynchronizedStmt;SynchronizedStmt;class;7;9;3;0;14;9;2;63
BugLocalization47362502;japa.parser.ast.expr.UnaryExpr;UnaryExpr;class;6;9;3;0;14;9;2;72
BugLocalization47362502;japa.parser.ast.body.JavadocComment;JavadocComment;class;5;5;3;0;10;5;0;46
BugLocalization47362502;japa.parser.ast.expr.AnnotationExpr;AnnotationExpr;class;2;4;3;3;4;4;1;39
BugLocalization47362502;japa.parser.ast.expr.NormalAnnotationExpr;NormalAnnotationExpr;class;7;7;4;0;9;7;1;56
BugLocalization47362502;utils.WVToolWrapper;WVToolWrapper;class;17;32;1;0;45;9;0;198
BugLocalization47362502;eval.Evaluation;Evaluation;class;0;12;1;3;0;8;1;60
BugLocalization47362502;japa.parser.ast.expr.AssignExpr;AssignExpr;class;6;11;3;0;23;11;3;85
BugLocalization47362502;japa.parser.ast.stmt.LabeledStmt;LabeledStmt;class;5;9;3;0;14;9;2;62
BugLocalization47362502;japa.parser.ast.expr.SingleMemberAnnotationExpr;SingleMemberAnnotationExpr;class;7;7;4;0;9;7;1;55
BugLocalization47362502;mainprocess.BugLocator;BugLocator;class;5;20;1;0;1;2;0;106
BugLocalization47362502;japa.parser.ast.expr.DoubleLiteralExpr;DoubleLiteralExpr;class;5;5;5;0;10;5;0;45
BugLocalization47362502;japa.parser.ast.expr.ThisExpr;ThisExpr;class;5;7;3;0;9;7;1;53
BugLocalization47362502;japa.parser.ast.stmt.SwitchStmt;SwitchStmt;class;7;9;3;0;14;9;2;64
BugLocalization47362502;japa.parser.ast.CompilationUnit;CompilationUnit;class;9;13;2;0;36;13;4;167
BugLocalization47362502;japa.parser.ast.body.TypeDeclaration;TypeDeclaration;class;3;10;3;0;1;10;3;74
BugLocalization47362502;japa.parser.ast.visitor.GenericVisitorAdapter;GenericVisitorAdapter;class;82;282;1;0;3081;79;0;739
BugLocalization47362502;Jama.SingularValueDecomposition;SingularValueDecomposition;class;2;137;1;0;0;8;4;478
BugLocalization47362502;japa.parser.ast.type.ReferenceType;ReferenceType;class;5;10;3;0;15;10;2;65
BugLocalization47362502;japa.parser.ast.visitor.EqualsVisitor;EqualsVisitor;class;83;463;1;0;3486;84;1;991
BugLocalization47362502;feature.RevisedVSMScore;RevisedVSMScore;class;1;4;1;0;1;2;0;42
BugLocalization47362502;japa.parser.ast.body.ModifierSet;ModifierSet;class;0;15;1;0;105;15;11;93
BugLocalization47362502;japa.parser.ast.body.EnumDeclaration;EnumDeclaration;class;10;10;4;0;23;10;2;69
BugLocalization47362502;japa.parser.ast.expr.MemberValuePair;MemberValuePair;class;6;9;2;0;14;9;2;63
BugLocalization47362502;feature.CodeLength;CodeLength;class;1;42;1;0;45;10;0;269
BugLocalization47362502;sourcecode.Similarity;Similarity;class;1;38;1;0;14;9;5;167
BugLocalization47362502;bug.BugRecord;BugRecord;class;0;16;1;0;71;14;6;67
BugLocalization47362502;japa.parser.ast.expr.InstanceOfExpr;InstanceOfExpr;class;6;9;3;0;14;9;2;63
BugLocalization47362502;Core;Core;class;14;15;1;0;0;1;0;90
BugLocalization47362502;Jama.CholeskyDecomposition;CholeskyDecomposition;class;2;18;1;0;0;4;4;168
BugLocalization47362502;japa.parser.ast.stmt.EmptyStmt;EmptyStmt;class;5;4;3;0;6;4;0;42
BugLocalization47362502;japa.parser.ast.stmt.AssertStmt;AssertStmt;class;6;10;3;0;15;10;2;66
BugLocalization47362502;utils.FileUtils;FileUtils;class;0;14;1;0;10;5;0;59
BugLocalization47362502;Jama.LUDecomposition;LUDecomposition;class;3;51;1;0;0;8;4;267
BugLocalization47362502;japa.parser.ast.expr.ArrayCreationExpr;ArrayCreationExpr;class;7;15;3;0;21;15;4;95
BugLocalization47362502;utils.PorterStemmer;PorterStemmer;class;3;248;1;0;0;27;5;610
BugLocalization47362502;japa.parser.ast.body.FieldDeclaration;FieldDeclaration;class;9;13;3;0;12;13;3;93
BugLocalization47362502;japa.parser.ast.expr.NameExpr;NameExpr;class;5;7;3;1;9;7;1;53
BugLocalization47362502;feature.SimiScore;SimiScore;class;2;7;1;0;1;2;0;54
BugLocalization47362502;Jama.Matrix;Matrix;class;8;172;1;0;0;63;3;902
BugLocalization47362502;japa.parser.ast.stmt.ExplicitConstructorInvocationStmt;ExplicitConstructorInvocationStmt;class;7;13;3;0;40;13;4;82
BugLocalization47362502;Jama.test.TestMatrix;TestMatrix;class;8;151;1;0;45;10;0;914
BugLocalization47362502;BRTracer;BRTracer;class;1;33;1;0;3;3;0;107
BugLocalization47362502;japa.parser.ast.body.VariableDeclarator;VariableDeclarator;class;7;10;2;0;15;10;2;67
BugLocalization47362502;japa.parser.ast.expr.CharLiteralExpr;CharLiteralExpr;class;5;5;5;0;10;5;0;45
BugLocalization47362502;japa.parser.ast.expr.Expression;Expression;class;1;2;2;10;1;2;0;33
BugLocalization47362502;japa.parser.ast.expr.VariableDeclarationExpr;VariableDeclarationExpr;class;8;14;3;0;41;14;4;93
BugLocalization47362502;sourcecode.Indexer;Indexer;class;0;23;1;0;1;3;2;110
BugLocalization47362502;utils.DateFormat;DateFormat;class;1;2;1;0;0;2;1;11
BugLocalization47362502;sourcecode.LenScore;LenScore;class;2;34;1;0;6;4;2;110
BugLocalization47362502;feature.VSMScore;VSMScore;class;1;2;1;0;1;2;0;30
BugLocalization47362502;japa.parser.ast.expr.QualifiedNameExpr;QualifiedNameExpr;class;5;7;4;0;9;7;1;54
BugLocalization47362502;config.Config;Config;class;1;77;1;0;389;35;26;427
BugLocalization47362502;eval.TopK;TopK;class;2;13;2;0;16;8;1;119
BugLocalization47362502;japa.parser.ast.expr.SuperExpr;SuperExpr;class;5;7;3;0;9;7;1;53
BugLocalization47362502;japa.parser.ast.stmt.BreakStmt;BreakStmt;class;5;7;3;0;9;7;1;53
BugLocalization47362502;japa.parser.ast.expr.ConditionalExpr;ConditionalExpr;class;5;11;3;0;23;11;3;71
BugLocalization47362502;bug.Bug;Bug;class;0;12;1;0;54;12;6;46
BugLocalization47362502;sourcecode.ast.FileParser;FileParser;class;10;28;1;0;0;10;1;173
BugLocalization47362502;japa.parser.ast.expr.LongLiteralExpr;LongLiteralExpr;class;5;6;5;1;15;6;2;53
BugLocalization47362502;japa.parser.ast.PackageDeclaration;PackageDeclaration;class;7;10;2;0;15;10;2;106
BugLocalization47362502;japa.parser.ast.stmt.ExpressionStmt;ExpressionStmt;class;6;7;3;0;9;7;1;54
