file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
LVE-OpenBravo-POS26144741;com.openbravo.pos.smj.CryptUtils;CryptUtils;class;0;9;1;0;0;2;1;44
LVE-OpenBravo-POS26144741;com.openbravo.pos.customers.C_CityInfo;C_CityInfo;class;5;15;1;0;69;14;6;157
LVE-OpenBravo-POS26144741;com.openbravo.pos.printer.DeviceTicket;DeviceTicket;class;39;92;1;0;108;17;7;296
LVE-OpenBravo-POS26144741;com.openbravo.pos.customers.C_RegionInfo;C_RegionInfo;class;5;15;1;0;69;14;6;160
LVE-OpenBravo-POS26144741;com.openbravo.pos.customers.DataLogicCustomers;DataLogicCustomers;class;28;28;2;0;0;12;3;268
LVE-OpenBravo-POS26144741;com.openbravo.pos.customers.C_CountryInfo;C_CountryInfo;class;5;13;1;0;48;12;6;143
LVE-OpenBravo-POS26144741;com.openbravo.pos.smj.ERPListener;ERPListener;class;19;77;2;0;0;5;9;395
LVE-OpenBravo-POS26144741;com.openbravo.pos.printer.fiscal.ComandFactaura;ComandFactaura;interface;0;2;1;0;1;2;0;62
LVE-OpenBravo-POS26144741;com.openbravo.pos.customers.CustomerInfoExt;CustomerInfoExt;class;1;52;2;0;936;45;19;222
LVE-OpenBravo-POS26144741;com.openbravo.pos.customers.CustomersView;CustomersView;class;12;51;5;0;230;20;60;865
LVE-OpenBravo-POS26144741;com.openbravo.pos.smj.SyncPanel;SyncPanel;class;14;22;5;0;49;10;7;222
LVE-OpenBravo-POS26144741;com.openbravo.pos.printer.fiscal.ComandFiscalPrinter;ComandFiscalPrinter;class;2;17;1;0;0;9;1;172
LVE-OpenBravo-POS26144741;com.openbravo.ws.externalsales.ExternalSalesImpl;ExternalSalesImpl;interface;4;4;1;0;6;4;0;13
LVE-OpenBravo-POS26144741;com.openbravo.pos.config.JPanelConfiguration;JPanelConfiguration;class;12;33;5;0;102;13;8;198
LVE-OpenBravo-POS26144741;com.openbravo.possync.ProductsQueueSync;ProductsQueueSync;class;26;40;1;0;0;4;7;292
LVE-OpenBravo-POS26144741;com.openbravo.pos.printer.fiscal.GenerarFactura;GenerarFactura;class;3;32;1;0;0;15;1;315
LVE-OpenBravo-POS26144741;com.openbravo.pos.smj.EmailSender;EmailSender;class;5;4;1;0;0;2;2;53
LVE-OpenBravo-POS26144741;com.openbravo.possync.MQClient;MQClient;class;4;9;1;0;0;7;4;73
LVE-OpenBravo-POS26144741;com.openbravo.pos.smj.PosDAO;PosDAO;class;6;205;1;0;0;32;10;1214
LVE-OpenBravo-POS26144741;com.openbravo.pos.forms.AppLocal;AppLocal;class;2;4;1;0;1;3;4;49
LVE-OpenBravo-POS26144741;com.openbravo.pos.config.JPanelConfigFiscalPrinter;JPanelConfigFiscalPrinter;class;6;20;5;0;17;10;6;182
LVE-OpenBravo-POS26144741;com.openbravo.pos.forms.JRootApp;JRootApp;class;49;105;6;0;627;36;46;765
LVE-OpenBravo-POS26144741;com.openbravo.pos.fiscalprinter.FiscalPrinter;FiscalPrinter;class;2;10;2;0;45;10;0;95
LVE-OpenBravo-POS26144741;com.openbravo.pos.forms.AppConfig;AppConfig;class;1;24;1;0;24;13;3;166
LVE-OpenBravo-POS26144741;com.openbravo.pos.smj.StringUtils;StringUtils;class;2;11;1;0;3;3;1;52
LVE-OpenBravo-POS26144741;com.openbravo.pos.printer.fiscal.GenerarNotaCredito;GenerarNotaCredito;class;3;8;1;0;3;3;1;57
