file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
LVE-Withholding26145120;org.erpca.model.MCUSTRetentionRelation;MCUSTRetentionRelation;class;1;2;3;0;1;2;1;37
LVE-Withholding26145120;org.erpca.process.ProcessRetention_IVA;ProcessRetention_IVA;class;13;52;2;0;0;6;17;332
LVE-Withholding26145120;org.erpca.model.I_CUST_RetentionConfig;I_CUST_RetentionConfig;interface;3;18;1;0;153;18;15;116
LVE-Withholding26145120;org.erpca.model.ModelValidator;ModelValidator;class;12;35;1;0;0;6;2;150
LVE-Withholding26145120;org.erpca.model.MCUSTCTPTCombination;MCUSTCTPTCombination;class;1;2;3;0;1;2;1;37
LVE-Withholding26145120;org.erpca.process.DeclareRetentions;DeclareRetentions;class;8;26;2;0;10;5;8;173
LVE-Withholding26145120;org.erpca.model.X_CUST_ConceptRetention;X_CUST_ConceptRetention;class;5;15;2;0;55;11;1;113
LVE-Withholding26145120;org.erpca.model.X_CUST_RetentionConfig;X_CUST_RetentionConfig;class;8;27;2;0;105;15;1;148
LVE-Withholding26145120;org.erpca.process.GenerateRetention;GenerateRetention;class;9;35;2;0;0;3;9;194
LVE-Withholding26145120;org.erpca.model.I_CUST_RetentionGroup;I_CUST_RetentionGroup;interface;2;15;1;0;105;15;14;113
LVE-Withholding26145120;org.erpca.model.X_CUST_RetentionRelation;X_CUST_RetentionRelation;class;12;40;2;0;190;20;1;188
LVE-Withholding26145120;org.erpca.model.I_CUST_RetentionRelation;I_CUST_RetentionRelation;interface;6;23;1;0;253;23;16;133
LVE-Withholding26145120;org.erpca.model.I_CUST_ConceptRetention;I_CUST_ConceptRetention;interface;2;15;1;0;105;15;14;113
LVE-Withholding26145120;org.erpca.model.X_CUST_RetentionType;X_CUST_RetentionType;class;7;18;2;0;91;14;1;136
LVE-Withholding26145120;org.erpca.model.I_CUST_RetentionType;I_CUST_RetentionType;interface;2;17;1;0;136;17;15;123
LVE-Withholding26145120;org.erpca.model.I_CUST_PersonType;I_CUST_PersonType;interface;2;15;1;0;105;15;14;113
LVE-Withholding26145120;org.erpca.model.X_CUST_RetentionGroup;X_CUST_RetentionGroup;class;5;15;2;0;55;11;1;112
LVE-Withholding26145120;org.erpca.model.MCUSTRetentionType;MCUSTRetentionType;class;1;2;3;0;1;2;1;37
LVE-Withholding26145120;org.erpca.model.MCUSTConceptRetention;MCUSTConceptRetention;class;1;2;3;0;1;2;1;37
LVE-Withholding26145120;org.erpca.model.X_CUST_PersonType;X_CUST_PersonType;class;7;16;2;0;66;12;1;121
LVE-Withholding26145120;org.erpca.model.MCUSTPersonType;MCUSTPersonType;class;1;2;3;0;1;2;1;37
LVE-Withholding26145120;org.erpca.process.BPGroutRetentionRelationCopy;BPGroutRetentionRelationCopy;class;3;20;2;0;3;6;1;148
LVE-Withholding26145120;org.erpca.process.ProcessRetention_ISLR;ProcessRetention_ISLR;class;13;52;2;0;0;6;17;347
LVE-Withholding26145120;org.erpca.model.X_CUST_CR_PT_Combination;X_CUST_CR_PT_Combination;class;10;33;2;0;136;17;1;159
LVE-Withholding26145120;org.erpca.model.I_CUST_CR_PT_Combination;I_CUST_CR_PT_Combination;interface;5;20;1;0;190;20;15;114
LVE-Withholding26145120;org.erpca.model.MCUSTRetentionConfig;MCUSTRetentionConfig;class;1;2;3;0;1;2;1;37
