file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ProjectForge-2nd10008741;org.projectforge.fibu.kost.AccountingConfig;AccountingConfig;class;10;6;1;0;13;6;4;86
ProjectForge-2nd10008741;org.projectforge.web.wicket.FeedbackForm;FeedbackForm;class;12;5;2;0;10;3;3;100
ProjectForge-2nd10008741;org.projectforge.plugins.teamcal.admin.TeamCalsComparator;TeamCalsComparator;class;1;3;1;0;0;1;1;39
ProjectForge-2nd10008741;org.projectforge.export.ExportSheet;ExportSheet;class;11;34;1;0;149;23;8;212
ProjectForge-2nd10008741;org.projectforge.access.AccessControlInterface;AccessControlInterface;interface;1;5;1;0;10;5;0;77
ProjectForge-2nd10008741;org.projectforge.ldap.GroupDOConverter;GroupDOConverter;class;9;23;1;0;13;6;2;123
ProjectForge-2nd10008741;org.projectforge.web.LayoutSettingsData;LayoutSettingsData;class;2;2;1;0;0;2;2;45
ProjectForge-2nd10008741;org.projectforge.database.DatebaseUpdateHelperTest;DatebaseUpdateHelperTest;class;1;9;1;0;1;2;0;63
ProjectForge-2nd10008741;org.projectforge.access.GroupTaskAccessDO;GroupTaskAccessDO;class;25;70;2;0;389;30;6;342
ProjectForge-2nd10008741;org.projectforge.web.mobile.AbstractMobileForm;AbstractMobileForm;class;8;4;2;1;6;4;2;57
ProjectForge-2nd10008741;org.projectforge.web.task.TaskTreePage;TaskTreePage;class;29;37;2;0;160;17;16;252
ProjectForge-2nd10008741;org.projectforge.access.AccessDao;AccessDao;class;21;82;2;0;197;22;4;358
ProjectForge-2nd10008741;org.projectforge.web.user.GroupListForm;GroupListForm;class;12;6;2;0;6;4;2;68
ProjectForge-2nd10008741;org.projectforge.calendar.Holidays;Holidays;class;9;64;1;0;43;11;5;211
ProjectForge-2nd10008741;org.projectforge.web.fibu.EmployeeListForm;EmployeeListForm;class;11;4;2;0;6;4;2;57
ProjectForge-2nd10008741;org.projectforge.web.wicket.PageExpiredPage;PageExpiredPage;class;5;3;2;0;0;1;0;43
ProjectForge-2nd10008741;org.projectforge.web.core.SearchForm;SearchForm;class;23;24;2;0;0;4;7;239
ProjectForge-2nd10008741;org.projectforge.core.AbstractHistorizableBaseDOTest;AbstractHistorizableBaseDOTest;class;3;1;1;0;0;1;0;49
ProjectForge-2nd10008741;org.projectforge.web.wicket.flowlayout.Select2MultiChoicePanel;Select2MultiChoicePanel;class;8;6;2;0;0;6;2;97
ProjectForge-2nd10008741;org.projectforge.web.wicket.bootstrap.GridPanel;GridPanel;class;10;20;2;0;0;10;5;144
ProjectForge-2nd10008741;org.projectforge.web.timesheet.TimesheetMassUpdateForm;TimesheetMassUpdateForm;class;16;5;3;0;0;4;9;102
ProjectForge-2nd10008741;org.projectforge.web.timesheet.TimesheetEditForm;TimesheetEditForm;class;63;98;2;0;345;16;24;562
ProjectForge-2nd10008741;org.projectforge.web.gantt.GanttChartEditTreeTablePanel;GanttChartEditTreeTablePanel;class;75;235;4;0;4064;48;21;1105
ProjectForge-2nd10008741;org.projectforge.web.wicket.converter.MyDateConverterTest;MyDateConverterTest;class;4;17;2;0;28;8;0;219
