file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Walter_NLP_NN56198558;org.eclipse.swt.dnd.URLTransfer;URLTransfer;class;8;25;3;0;28;8;3;137
Walter_NLP_NN56198558;org.eclipse.swt.custom.PrintRenderer;PrintRenderer;class;11;32;2;0;115;18;7;256
Walter_NLP_NN56198558;org.eclipse.swt.internal.image.PngFileReadState;PngFileReadState;class;0;0;1;0;0;0;6;21
Walter_NLP_NN56198558;org.eclipse.swt.internal.win32.NMCUSTOMDRAW;NMCUSTOMDRAW;class;1;0;2;2;0;0;7;21
Walter_NLP_NN56198558;org.eclipse.swt.custom.CTabFolderLayout;CTabFolderLayout;class;8;32;2;0;3;3;0;76
Walter_NLP_NN56198558;org.eclipse.swt.internal.win32.GCP_RESULTS;GCP_RESULTS;class;0;0;1;0;0;0;10;23
Walter_NLP_NN56198558;org.eclipse.swt.custom.StyledText;StyledText;class;65;1548;3;0;35085;296;113;7811
Walter_NLP_NN56198558;org.eclipse.swt.custom.TableCursor;TableCursor;class;20;145;2;0;56;19;6;646
Walter_NLP_NN56198558;org.eclipse.swt.browser.WindowEvent;WindowEvent;class;4;1;2;0;0;1;9;177
Walter_NLP_NN56198558;org.eclipse.swt.SWTException;SWTException;class;0;11;4;0;13;7;3;123
Walter_NLP_NN56198558;org.eclipse.swt.internal.ole.win32.STGMEDIUM;STGMEDIUM;class;0;0;1;0;0;0;4;17
Walter_NLP_NN56198558;org.eclipse.swt.internal.win32.SIZE;SIZE;class;0;0;1;0;0;0;3;16
Walter_NLP_NN56198558;org.eclipse.swt.internal.image.JPEGVariableSizeSegment;JPEGVariableSizeSegment;class;3;3;2;0;1;2;0;33
Walter_NLP_NN56198558;org.eclipse.swt.graphics.Drawable;Drawable;interface;1;2;1;0;1;2;0;57
Walter_NLP_NN56198558;org.eclipse.swt.custom.CTabItem;CTabItem;class;12;222;2;0;22;24;19;760
Walter_NLP_NN56198558;org.eclipse.swt.internal.image.LZWCodec;LZWCodec;class;9;136;1;0;0;15;10;472
Walter_NLP_NN56198558;org.eclipse.swt.widgets.FileDialog;FileDialog;class;5;69;2;0;40;12;6;383
Walter_NLP_NN56198558;org.eclipse.swt.events.MouseListener;MouseListener;interface;2;3;1;0;3;3;0;51
Walter_NLP_NN56198558;org.eclipse.swt.widgets.Listener;Listener;interface;1;1;1;0;0;1;0;49
Walter_NLP_NN56198558;org.eclipse.swt.graphics.ImageLoaderListener;ImageLoaderListener;interface;2;1;1;0;0;1;0;39
Walter_NLP_NN56198558;org.eclipse.swt.internal.SWTEventListener;SWTEventListener;interface;0;0;1;0;0;0;0;26
Walter_NLP_NN56198558;org.eclipse.swt.layout.FormData;FormData;class;4;106;1;0;20;12;11;326
Walter_NLP_NN56198558;org.eclipse.swt.widgets.Button;Button;class;25;296;3;0;835;43;9;884
Walter_NLP_NN56198558;org.eclipse.swt.events.ShellAdapter;ShellAdapter;class;2;5;1;0;10;5;0;65
Walter_NLP_NN56198558;org.eclipse.swt.custom.TextChangedEvent;TextChangedEvent;class;2;1;2;0;0;1;1;29
Walter_NLP_NN56198558;org.eclipse.swt.internal.win32.NMTTDISPINFOW;NMTTDISPINFOW;class;2;0;3;0;0;0;2;15
Walter_NLP_NN56198558;org.eclipse.swt.internal.win32.MENUITEMINFO;MENUITEMINFO;class;0;2;1;0;0;0;13;36
Walter_NLP_NN56198558;org.eclipse.swt.internal.win32.COMPOSITIONFORM;COMPOSITIONFORM;class;0;0;1;0;0;0;4;19
Walter_NLP_NN56198558;org.eclipse.swt.ole.win32.OleParameterDescription;OleParameterDescription;class;0;0;1;0;0;0;3;16
Walter_NLP_NN56198558;org.eclipse.swt.internal.win32.TEXTMETRICW;TEXTMETRICW;class;1;0;2;0;0;0;5;18
Walter_NLP_NN56198558;org.eclipse.swt.custom.TableTreeEditor;TableTreeEditor;class;11;59;2;0;9;9;6;242
Walter_NLP_NN56198558;org.eclipse.swt.custom.StyledTextContent;StyledTextContent;interface;1;11;1;0;55;11;0;193
Walter_NLP_NN56198558;org.eclipse.swt.ole.win32.OleClientSite;OleClientSite;class;49;383;5;1;4185;63;32;1238
Walter_NLP_NN56198558;org.eclipse.swt.accessibility.ACC;ACC;class;0;0;1;0;0;0;52;72
Walter_NLP_NN56198558;org.eclipse.swt.internal.win32.INITCOMMONCONTROLSEX;INITCOMMONCONTROLSEX;class;0;0;1;0;0;0;3;16
Walter_NLP_NN56198558;org.eclipse.swt.internal.win32.NMTVDISPINFO;NMTVDISPINFO;class;1;0;2;0;0;0;11;25
Walter_NLP_NN56198558;org.eclipse.swt.dnd.DNDListener;DNDListener;class;8;11;2;0;1;2;0;80
Walter_NLP_NN56198558;org.eclipse.swt.dnd.Clipboard;Clipboard;class;17;133;1;0;312;23;6;731
Walter_NLP_NN56198558;org.eclipse.swt.internal.win32.MEASUREITEMSTRUCT;MEASUREITEMSTRUCT;class;0;0;1;0;0;0;7;20
Walter_NLP_NN56198558;org.eclipse.swt.internal.ole.win32.IDispatch;IDispatch;class;6;7;2;0;10;5;0;58
Walter_NLP_NN56198558;org.eclipse.swt.internal.ole.win32.IPersistStreamInit;IPersistStreamInit;class;1;3;3;0;3;3;0;23
Walter_NLP_NN56198558;org.eclipse.swt.internal.win32.OSVERSIONINFO;OSVERSIONINFO;class;0;1;1;2;0;0;6;19
Walter_NLP_NN56198558;org.eclipse.swt.dnd.DropTarget;DropTarget;class;26;161;2;0;402;23;11;604
Walter_NLP_NN56198558;org.eclipse.swt.widgets.Synchronizer;Synchronizer;class;2;39;1;0;4;9;5;170
Walter_NLP_NN56198558;org.eclipse.swt.ole.win32.OleFrame;OleFrame;class;23;203;5;0;1194;33;12;671
Walter_NLP_NN56198558;org.eclipse.swt.graphics.RGB;RGB;class;2;10;1;0;0;4;4;109
