file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
mojito60379785;com.box.l10n.mojito.service.drop.DropServiceTest;DropServiceTest;class;32;45;3;0;0;17;12;542
mojito60379785;com.box.l10n.mojito.cli.command.TMExportCommandTest;TMExportCommandTest;class;7;1;3;0;0;1;2;36
mojito60379785;com.box.l10n.mojito.service.drop.exporter.DropExporter;DropExporter;interface;2;9;1;0;36;9;0;120
mojito60379785;com.box.l10n.mojito.security.ActiveDirectoryAuthenticationProviderConfigurerTest;ActiveDirectoryAuthenticationProviderConfigurerTest;class;7;3;1;0;3;1;0;40
mojito60379785;com.box.l10n.mojito.rest.client.exception.ResourceNotCreatedException;ResourceNotCreatedException;class;1;2;4;0;1;2;0;12
mojito60379785;com.box.l10n.mojito.service.WordCountServiceTest;WordCountServiceTest;class;2;5;1;0;10;5;0;58
mojito60379785;com.box.l10n.mojito.aspect.security.RunAsAspectConfig;RunAsAspectConfig;class;3;1;1;0;0;1;0;15
mojito60379785;com.box.l10n.mojito.service.tm.search.ReviewNeededFilter;ReviewNeededFilter;enum;0;0;1;0;0;0;0;10
mojito60379785;com.box.l10n.mojito.service.tm.TMRepository;TMRepository;interface;3;0;1;0;0;0;0;10
mojito60379785;com.box.l10n.mojito.cli.command.UserUpdateCommand;UserUpdateCommand;class;13;6;2;0;0;2;10;72
mojito60379785;com.box.l10n.mojito.service.assetintegritychecker.integritychecker.EncodingIntegrityCheckerException;EncodingIntegrityCheckerException;class;1;1;5;0;0;1;0;9
mojito60379785;com.box.l10n.mojito.rest.entity.LocalizedAssetBody;LocalizedAssetBody;class;0;6;1;0;9;6;3;44
mojito60379785;com.box.l10n.mojito.okapi.TranslateStep;TranslateStep;class;19;25;3;0;16;9;11;193
mojito60379785;com.box.l10n.mojito.cli.command.DropExportCommand;DropExportCommand;class;17;12;2;0;4;4;7;115
mojito60379785;com.box.l10n.mojito.factory.XliffDataFactory;XliffDataFactory;class;7;24;1;0;10;5;0;118
mojito60379785;com.box.l10n.mojito.okapi.TextUnitUtils;TextUnitUtils;class;8;6;1;0;1;3;2;69
mojito60379785;com.box.l10n.mojito.cli.command.PushCommandTest;PushCommandTest;class;11;9;3;0;15;6;3;116
mojito60379785;com.box.l10n.mojito.service.tm.TMTextUnitIntegrityCheckServiceTest;TMTextUnitIntegrityCheckServiceTest;class;12;3;1;0;0;3;3;59
mojito60379785;com.box.l10n.mojito.service.tm.search.IncludedInLocalizedFileFilter;IncludedInLocalizedFileFilter;enum;0;0;1;0;0;0;0;10
mojito60379785;com.box.l10n.mojito.json.ObjectMapper;ObjectMapper;class;3;3;2;0;1;2;0;31
mojito60379785;com.box.l10n.mojito.service.assetExtraction.extractor.AssetPathToFilterConfigMapper;AssetPathToFilterConfigMapper;class;5;11;1;0;11;6;8;89
mojito60379785;com.box.l10n.mojito.cli.command.RepoCreateCommand;RepoCreateCommand;class;11;2;3;0;0;1;5;67
mojito60379785;com.box.l10n.mojito.service.drop.DropServiceConfig;DropServiceConfig;class;2;2;1;0;0;2;1;22
mojito60379785;com.box.l10n.mojito.service.tm.TMTextUnitRepository;TMTextUnitRepository;interface;7;3;1;0;3;3;0;17
mojito60379785;com.box.l10n.mojito.service.translationkit.TranslationKitServiceTest;TranslationKitServiceTest;class;20;10;3;0;0;7;8;309
mojito60379785;com.box.l10n.mojito.cli.command.PullCommand;PullCommand;class;21;23;2;0;0;8;15;187
