file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
MessengerServer53607827;com.server.extensions.MD5;MD5;class;1;3;1;0;0;1;0;21
MessengerServer53607827;com.server.Bootstrap;Bootstrap;class;3;1;1;0;0;1;2;22
MessengerServer53607827;com.server.modules.User.UserExtension;UserExtension;class;0;24;1;0;0;7;1;120
MessengerServer53607827;com.server.modules.Contacts.ContactsCommands;ContactsCommands;class;1;10;1;0;6;4;0;64
MessengerServer53607827;com.server.modules.File.FileCommands;FileCommands;class;2;3;1;0;0;1;0;20
MessengerServer53607827;com.server.db.Database;Database;class;2;7;1;0;2;5;7;71
MessengerServer53607827;com.server.modules.Message.Message;Message;class;0;11;1;0;0;4;6;63
MessengerServer53607827;com.server.modules.Server.ServerCommandHandler;ServerCommandHandler;class;0;4;1;0;0;2;1;19
MessengerServer53607827;com.server.modules.Command.CommandHelper;CommandHelper;class;1;4;1;0;1;2;0;20
MessengerServer53607827;com.server.modules.Server.ServerCommandListener;ServerCommandListener;class;1;4;1;0;0;2;2;25
MessengerServer53607827;com.server.Main;Main;class;1;1;1;0;0;1;0;6
MessengerServer53607827;com.server.modules.User.UserService;UserService;class;1;4;1;0;3;3;0;31
MessengerServer53607827;com.server.modules.Server.ServerCommands;ServerCommands;class;0;2;1;0;1;2;0;23
MessengerServer53607827;com.server.modules.User.User;User;class;0;12;1;0;10;8;6;60
MessengerServer53607827;com.server.extensions.XMLReader;XMLReader;class;4;3;1;0;0;2;1;39
MessengerServer53607827;com.server.modules.User.UserHelper;UserHelper;class;1;8;1;0;3;3;0;37
MessengerServer53607827;com.server.modules.Command.Command;Command;class;3;11;1;0;0;7;3;79
MessengerServer53607827;com.server.modules.User.UserHandler;UserHandler;class;1;6;1;0;0;6;1;18
MessengerServer53607827;com.server.core.ClientWorker;ClientWorker;class;2;8;1;0;0;2;3;51
MessengerServer53607827;com.server.modules.File.File;File;class;2;10;1;0;0;4;7;55
MessengerServer53607827;com.server.core.MainServer;MainServer;class;1;8;1;0;0;4;4;57
MessengerServer53607827;com.server.modules.Contacts.Contacts;Contacts;class;0;11;1;0;0;4;1;71
MessengerServer53607827;com.server.modules.Message.MessageCommands;MessageCommands;class;2;4;1;0;1;2;0;41
MessengerServer53607827;com.server.core.ServerBootstrap;ServerBootstrap;class;1;2;1;0;0;2;1;11
MessengerServer53607827;com.server.modules.Message.MessageExtension;MessageExtension;class;0;3;1;0;0;1;1;32
MessengerServer53607827;com.server.modules.Command.CommandHandler;CommandHandler;class;1;14;1;0;0;2;3;57
MessengerServer53607827;com.server.modules.User.UserCommands;UserCommands;class;1;11;1;0;10;5;0;47
MessengerServer53607827;com.server.extensions.Logger;Logger;class;0;3;1;0;3;3;0;23
