file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
kuetchat32224290;com.kuetchat.client.view.LoadingPanel;LoadingPanel;class;1;1;5;0;0;1;1;21
kuetchat32224290;com.n.utility.view.ModButton;ModButton;class;0;12;6;0;6;8;3;46
kuetchat32224290;com.n.utility.view.LodingPaneForBrowser;LodingPaneForBrowser;class;1;1;5;0;0;1;1;23
kuetchat32224290;com.n.view.HistoryBlock;HistoryBlock;class;0;3;5;0;0;1;5;70
kuetchat32224290;com.common.Constant;Constant;class;0;0;1;0;0;0;44;51
kuetchat32224290;com.n.view.MainView;MainView;class;5;14;5;0;3;6;6;92
kuetchat32224290;com.socket.Database;Database;class;2;50;1;0;91;14;0;336
kuetchat32224290;com.n.utility.JScrollPanelX;JScrollPanelX;class;0;10;5;0;16;9;5;75
kuetchat32224290;com.kuetchat.client.network.ChatClientThread;ChatClientThread;class;2;10;2;0;0;4;3;41
kuetchat32224290;com.socket.SocketServer;SocketServer;class;4;82;1;0;5;15;5;305
kuetchat32224290;com.kuetchat.client.network.ChatClient;ChatClient;class;3;18;1;0;3;6;8;71
kuetchat32224290;com.n.utility.ChangedProperty;ChangedProperty;class;2;10;1;0;0;4;3;28
kuetchat32224290;com.n.userinfo.model.AbstractModel;AbstractModel;class;2;6;2;2;7;6;2;39
kuetchat32224290;com.n.userinfo.model.IdentityModel;IdentityModel;class;6;12;3;0;38;12;9;79
kuetchat32224290;com.n.view.contacts.UserListPanel;UserListPanel;class;5;35;9;0;30;8;12;212
kuetchat32224290;com.kuetchat.client.view.JPanelX;JPanelX;class;0;51;5;0;392;24;16;199
kuetchat32224290;com.kuetchat.client.utility.IncommingHandeler;IncommingHandeler;interface;1;1;1;0;0;1;0;5
kuetchat32224290;com.n.userinfo.model.FriendInfoModel;FriendInfoModel;class;7;13;3;0;46;13;6;83
kuetchat32224290;com.client.app.StartApp;StartApp;class;2;6;1;0;6;4;2;43
kuetchat32224290;com.n.utility.ClipBoardHelper;ClipBoardHelper;class;0;6;1;0;1;2;0;37
kuetchat32224290;com.n.view.ChatFrame;ChatFrame;class;11;14;7;0;25;5;4;128
kuetchat32224290;com.kuetchat.client.network.Download;Download;class;3;11;1;0;0;2;8;64
kuetchat32224290;com.n.view.Browser;Browser;class;11;18;5;0;33;5;6;103
kuetchat32224290;com.n.view.MainChatPanel;MainChatPanel;class;10;38;17;0;93;12;15;355
kuetchat32224290;com.socket.ServerThread;ServerThread;class;3;22;2;0;0;8;7;95
kuetchat32224290;com.n.utility.CONSTANT;CONSTANT;class;0;0;1;0;0;0;3;6
kuetchat32224290;com.kuetchat.client.utility.Info;Info;class;1;10;1;0;0;4;3;51
kuetchat32224290;com.n.userinfo.model.Identity;Identity;class;4;14;2;0;73;14;7;85
kuetchat32224290;com.common.UserDetails;UserDetails;class;0;3;1;0;0;3;8;38
kuetchat32224290;com.n.utility.view.JScrollPanelMod;JScrollPanelMod;class;0;14;5;0;50;13;6;83
kuetchat32224290;com.n.view.contacts.GroupListPanel;GroupListPanel;class;1;1;5;0;0;1;2;49
kuetchat32224290;com.n.utility.view.JPanelBackImage;JPanelBackImage;class;0;3;5;0;0;3;2;20
kuetchat32224290;com.n.view.contacts.FriendInfoView;FriendInfoView;class;1;23;5;0;0;6;13;143
kuetchat32224290;com.kuetchat.client.utility.CallBackable;CallBackable;interface;1;3;1;0;3;3;0;7
kuetchat32224290;com.client.controller.AppController;AppController;class;8;56;1;0;85;15;4;224
kuetchat32224290;com.n.utility.view.UtilityMethod;UtilityMethod;class;1;20;1;0;15;6;0;70
kuetchat32224290;com.kuetchat.client.view.LoginWindow;LoginWindow;class;11;47;6;0;256;9;20;433
kuetchat32224290;com.n.utility.view.InputField;InputField;class;1;32;5;0;0;10;11;183
kuetchat32224290;com.n.view.contacts.ContactsPanel;ContactsPanel;class;4;12;5;0;2;4;11;162
kuetchat32224290;com.n.utility.PropertyList;PropertyList;class;0;0;1;0;0;0;13;16
kuetchat32224290;com.common.Message;Message;class;0;2;1;0;0;2;7;29
kuetchat32224290;com.socket.Main;Main;class;1;1;1;0;0;1;0;12
kuetchat32224290;com.kuetchat.client.view.InputField;InputField;class;2;32;5;0;0;10;11;188
kuetchat32224290;com.n.userinfo.controller.UserController;UserController;class;9;50;2;0;0;14;4;198
kuetchat32224290;com.kuetchat.client.utility.BackgroundWorkable;BackgroundWorkable;interface;0;2;1;0;1;2;0;5
kuetchat32224290;com.kuetchat.client.network.Upload;Upload;class;3;11;1;0;0;2;8;73
kuetchat32224290;com.n.view.contacts.IdentityUserView;IdentityUserView;class;5;57;9;0;3;6;23;353
kuetchat32224290;com.n.view.BasePanel;BasePanel;class;6;36;12;1;144;16;16;352
kuetchat32224290;com.kuetchat.client.utility.BackgroundWork;BackgroundWork;class;1;3;2;0;0;3;1;17
kuetchat32224290;com.n.utility.view.ComponentResizer;ComponentResizer;class;0;65;2;0;182;25;17;379
kuetchat32224290;com.socket.DBUtil;DBUtil;class;1;15;1;0;2;5;7;113
kuetchat32224290;com.n.utility.Browser;Browser;class;0;5;1;0;0;1;0;24
