file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Fast-Order-Service-Restaurant-Mgmt-System35996723;org.apache.jsp.onlineorder_jsp;onlineorder_jsp;class;15;11;2;0;1;2;3;165
Fast-Order-Service-Restaurant-Mgmt-System35996723;onlineorder1;onlineorder1;class;4;7;2;0;6;4;0;94
Fast-Order-Service-Restaurant-Mgmt-System35996723;org.apache.jsp.login_jsp;login_jsp;class;16;13;2;0;1;2;3;112
Fast-Order-Service-Restaurant-Mgmt-System35996723;org.apache.jsp.stock_005f1_jsp;stock_005f1_jsp;class;15;11;2;0;1;2;3;244
Fast-Order-Service-Restaurant-Mgmt-System35996723;Proc;Proc;class;5;14;2;0;6;4;8;289
Fast-Order-Service-Restaurant-Mgmt-System35996723;employee;employee;class;4;27;2;0;6;4;0;201
Fast-Order-Service-Restaurant-Mgmt-System35996723;org.apache.jsp.forget_jsp;forget_jsp;class;15;11;2;0;1;2;3;160
Fast-Order-Service-Restaurant-Mgmt-System35996723;org.apache.jsp.index_jsp;index_jsp;class;15;11;2;0;1;2;3;214
Fast-Order-Service-Restaurant-Mgmt-System35996723;org.apache.jsp.transaction_jsp;transaction_jsp;class;15;11;2;0;1;2;3;231
Fast-Order-Service-Restaurant-Mgmt-System35996723;logout;logout;class;4;4;2;0;6;4;0;82
Fast-Order-Service-Restaurant-Mgmt-System35996723;stock;stock;class;4;24;2;0;6;4;0;185
Fast-Order-Service-Restaurant-Mgmt-System35996723;org.apache.jsp.signup_jsp;signup_jsp;class;16;12;2;0;1;2;3;176
Fast-Order-Service-Restaurant-Mgmt-System35996723;org.apache.jsp.thankyou_jsp;thankyou_jsp;class;15;9;2;0;1;2;3;70
Fast-Order-Service-Restaurant-Mgmt-System35996723;transaction;transaction;class;4;7;2;0;6;4;0;85
Fast-Order-Service-Restaurant-Mgmt-System35996723;finorder;finorder;class;3;5;2;0;6;4;0;73
Fast-Order-Service-Restaurant-Mgmt-System35996723;org.apache.jsp.employee_jsp;employee_jsp;class;15;11;2;0;1;2;3;266
Fast-Order-Service-Restaurant-Mgmt-System35996723;org.apache.jsp.stock_jsp;stock_jsp;class;15;11;2;0;1;2;3;230
Fast-Order-Service-Restaurant-Mgmt-System35996723;org.apache.jsp.transtion_jsp;transtion_jsp;class;15;11;2;0;1;2;3;231
Fast-Order-Service-Restaurant-Mgmt-System35996723;admin;admin;class;4;8;2;0;6;4;0;100
