file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Gourmet74235960;api.RecommendRestaurants;RecommendRestaurants;class;8;6;2;0;1;2;1;31
Gourmet74235960;yelp.YelpAPI;YelpAPI;class;11;7;1;0;8;5;10;75
Gourmet74235960;api.SearchRestaurants;SearchRestaurants;class;8;6;2;0;1;2;1;35
Gourmet74235960;db.MySQLDBConnection;MySQLDBConnection;class;7;56;1;0;0;13;2;273
Gourmet74235960;model.Restaurant;Restaurant;class;4;39;1;0;218;28;11;177
Gourmet74235960;model.RestaurantTest;RestaurantTest;class;9;6;1;0;8;5;2;71
Gourmet74235960;db.MongoDBConnection;MongoDBConnection;class;14;33;1;0;0;12;3;183
Gourmet74235960;api.VisitHistory;VisitHistory;class;9;18;2;0;0;4;1;94
Gourmet74235960;db.DBYelpImport;DBYelpImport;class;0;5;1;0;0;1;0;66
Gourmet74235960;db.DBUtil;DBUtil;class;0;0;1;0;0;0;6;10
Gourmet74235960;yelp.TwoStepOAuth;TwoStepOAuth;class;2;3;2;0;3;3;0;20
Gourmet74235960;offline.Prediction;Prediction;class;8;15;1;0;2;2;5;108
Gourmet74235960;db.MongoDBImport;MongoDBImport;class;3;1;1;0;0;1;0;18
Gourmet74235960;offline.Purify;Purify;class;3;3;1;0;0;1;0;33
Gourmet74235960;api.RpcParser;RpcParser;class;5;7;1;0;3;3;0;51
Gourmet74235960;db.DBConnection;DBConnection;interface;2;11;1;0;55;11;0;85
Gourmet74235960;offline.User;User;class;1;18;1;0;0;8;2;42
Gourmet74235960;api.LogoutServlet;LogoutServlet;class;5;4;2;0;1;2;0;21
Gourmet74235960;api.LoginServlet;LoginServlet;class;8;9;2;0;1;3;2;63
