file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
McDonald-Restaurant74263627;control.MaintainStaffControl;MaintainStaffControl;class;2;5;1;0;0;5;1;26
McDonald-Restaurant74263627;domain.Member;Member;class;1;31;1;0;204;25;10;122
McDonald-Restaurant74263627;domain.Staff;Staff;class;1;22;1;0;171;22;9;91
McDonald-Restaurant74263627;domain.Transaction;Transaction;class;0;24;1;0;210;24;11;102
McDonald-Restaurant74263627;ui.UpdateOrDeleteRedeem;UpdateOrDeleteRedeem;class;4;38;6;0;159;11;17;307
McDonald-Restaurant74263627;da.MemberTableModel;MemberTableModel;class;0;34;2;0;0;11;10;152
McDonald-Restaurant74263627;da.ItemDA;ItemDA;class;4;40;1;0;0;11;8;212
McDonald-Restaurant74263627;control.MaintainMemberControl;MaintainMemberControl;class;2;5;1;0;0;5;1;24
McDonald-Restaurant74263627;ui.RemoveOrUpdateMember;RemoveOrUpdateMember;class;4;46;6;0;241;13;29;423
McDonald-Restaurant74263627;da.MemberDA;MemberDA;class;2;18;1;0;0;8;6;107
McDonald-Restaurant74263627;ui.MembershipRenewal;MembershipRenewal;class;4;30;6;0;49;7;27;372
McDonald-Restaurant74263627;control.TransactionControl;TransactionControl;class;2;5;1;0;0;5;1;26
McDonald-Restaurant74263627;ui.MembershipMenu;MembershipMenu;class;6;21;6;0;91;8;7;195
McDonald-Restaurant74263627;da.RedeemItemDA;RedeemItemDA;class;2;22;1;0;0;9;6;110
McDonald-Restaurant74263627;domain.Item;Item;class;3;27;1;0;106;21;8;101
McDonald-Restaurant74263627;da.TransactionDA;TransactionDA;class;1;19;1;0;0;7;8;126
McDonald-Restaurant74263627;da.RedeemItemTableModel;RedeemItemTableModel;class;0;38;2;0;0;13;10;176
McDonald-Restaurant74263627;ui.MemberTable;MemberTable;class;6;7;7;0;4;5;12;91
McDonald-Restaurant74263627;ui.StaffTable;StaffTable;class;8;10;7;0;1;6;13;122
McDonald-Restaurant74263627;ui.RedeemFrame;RedeemFrame;class;10;68;6;0;581;20;45;601
McDonald-Restaurant74263627;control.MaintainCategoryControl;MaintainCategoryControl;class;2;5;1;0;0;5;1;22
McDonald-Restaurant74263627;domain.Redeem;Redeem;class;3;16;1;0;13;10;3;56
McDonald-Restaurant74263627;ui.MaintaiItemFrame;MaintaiItemFrame;class;9;34;6;0;80;9;17;258
McDonald-Restaurant74263627;ui.ItemDescFrame;ItemDescFrame;class;4;11;6;0;1;2;10;94
McDonald-Restaurant74263627;domain.Category;Category;class;0;8;1;0;0;8;2;36
McDonald-Restaurant74263627;da.StaffTableModel;StaffTableModel;class;0;36;2;0;0;12;11;180
McDonald-Restaurant74263627;da.OrderDA;OrderDA;class;3;24;1;0;0;9;8;132
McDonald-Restaurant74263627;ui.RetrieveVoidTransaction;RetrieveVoidTransaction;class;8;13;5;0;0;3;48;211
McDonald-Restaurant74263627;domain.Icon;Icon;class;0;7;1;0;3;7;2;31
McDonald-Restaurant74263627;domain.Toys;Toys;class;1;19;1;0;30;13;4;71
McDonald-Restaurant74263627;ui.NewTransaction;NewTransaction;class;15;44;5;0;7;10;84;392
McDonald-Restaurant74263627;ui.RedeemItemFrame;RedeemItemFrame;class;4;41;6;0;206;13;15;270
McDonald-Restaurant74263627;domain.Cart;Cart;class;1;23;1;0;0;10;4;72
McDonald-Restaurant74263627;ui.RedeemItemTable;RedeemItemTable;class;6;11;7;0;4;5;12;95
McDonald-Restaurant74263627;ui.MemberRegister;MemberRegister;class;4;53;6;0;402;17;27;423
McDonald-Restaurant74263627;da.RedeemDA;RedeemDA;class;6;14;1;0;3;6;6;72
McDonald-Restaurant74263627;ui.PaymentFormPanel;PaymentFormPanel;class;7;14;6;0;16;8;10;143
McDonald-Restaurant74263627;da.StaffDA;StaffDA;class;3;30;1;0;0;9;6;149
McDonald-Restaurant74263627;ui.ImageFrame;ImageFrame;class;0;3;6;0;0;1;0;22
McDonald-Restaurant74263627;control.MaintainItemControl;MaintainItemControl;class;2;7;1;0;0;7;1;30
McDonald-Restaurant74263627;control.MaintainRedeemControl;MaintainRedeemControl;class;2;3;1;0;0;3;1;18
McDonald-Restaurant74263627;ui.displayItemPanel;displayItemPanel;class;6;30;5;0;0;7;12;149
McDonald-Restaurant74263627;control.MaintainOrderControl;MaintainOrderControl;class;2;6;1;0;0;6;1;29
McDonald-Restaurant74263627;domain.OrderList;OrderList;class;1;11;1;0;29;11;4;48
McDonald-Restaurant74263627;da.CategoryDA;CategoryDA;class;2;25;1;0;0;9;8;122
McDonald-Restaurant74263627;ui.Login;Login;class;5;9;6;0;4;4;11;98
McDonald-Restaurant74263627;control.MaintainRedeemItem;MaintainRedeemItem;class;2;6;1;0;0;6;1;27
McDonald-Restaurant74263627;domain.ItemImg;ItemImg;class;0;7;1;0;3;7;2;33
McDonald-Restaurant74263627;ui.Main;Main;class;8;25;6;0;124;10;14;253
McDonald-Restaurant74263627;ui.HistoryTransaction;HistoryTransaction;class;3;9;5;0;1;3;6;86
McDonald-Restaurant74263627;da.TransactionTableModel;TransactionTableModel;class;1;15;2;0;0;11;9;107
McDonald-Restaurant74263627;ui.MaintainAddItemFrame;MaintainAddItemFrame;class;15;59;6;0;109;15;30;353
McDonald-Restaurant74263627;ui.MaintainStaff;MaintainStaff;class;7;146;7;0;1871;35;42;922
