file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Restaurant-Management-System38106362;lospolloshermanos.SalesTablePan;SalesTablePan;class;10;74;5;0;800;23;28;682
Restaurant-Management-System38106362;chef.ExternalOrderDetails;ExternalOrderDetails;class;4;19;5;0;0;6;18;256
Restaurant-Management-System38106362;lospolloshermanos.BarChart;BarChart;class;12;41;5;0;0;3;3;282
Restaurant-Management-System38106362;lospolloshermanos.FileChooser;FileChooser;class;6;34;6;0;24;8;7;147
Restaurant-Management-System38106362;OrderAndReservation.RefreshTables;RefreshTables;class;5;34;6;0;63;13;31;502
Restaurant-Management-System38106362;OrderAndReservation.LosPollosHermanos;LosPollosHermanos;class;1;1;1;0;0;1;0;20
Restaurant-Management-System38106362;OrderAndReservation.MaintenanceIcons;MaintenanceIcons;class;2;49;9;0;995;25;21;469
Restaurant-Management-System38106362;OrderAndReservation.ExternalOrderDetailsPanel;ExternalOrderDetailsPanel;class;0;9;5;0;10;4;11;166
Restaurant-Management-System38106362;lospolloshermanos.Item;Item;class;5;39;5;0;29;7;14;218
Restaurant-Management-System38106362;OrderAndReservation.Login;Login;class;1;19;5;0;32;6;11;227
Restaurant-Management-System38106362;OrderAndReservation.ShowMealDetails;ShowMealDetails;class;3;18;5;0;87;8;21;264
Restaurant-Management-System38106362;lospolloshermanos.WeekSelection;WeekSelection;class;1;18;5;0;43;6;8;169
Restaurant-Management-System38106362;chef.LocalOrderDetails;LocalOrderDetails;class;4;11;5;0;0;5;15;218
Restaurant-Management-System38106362;lospolloshermanos.MaintenanceIcons;MaintenanceIcons;class;5;85;9;0;3199;43;33;765
Restaurant-Management-System38106362;OrderAndReservation.CartItems;CartItems;class;1;23;5;0;10;5;11;200
Restaurant-Management-System38106362;OrderAndReservation.CartPanel;CartPanel;class;3;74;5;0;511;21;26;545
Restaurant-Management-System38106362;mw;mw;class;0;11;5;0;6;5;5;64
Restaurant-Management-System38106362;lospolloshermanos.ShadowPane;ShadowPane;class;1;22;9;0;62;9;11;244
Restaurant-Management-System38106362;lospolloshermanos.TableManagement;TableManagement;class;2;27;5;0;93;9;8;200
Restaurant-Management-System38106362;chef.RefreshOrders;RefreshOrders;class;4;42;7;0;413;20;27;467
Restaurant-Management-System38106362;lospolloshermanos.MealMaintenance;MealMaintenance;class;2;14;5;0;85;8;7;163
Restaurant-Management-System38106362;OrderAndReservation.Tag;Tag;class;0;6;5;0;13;4;4;87
Restaurant-Management-System38106362;lospolloshermanos.ShowDetails;ShowDetails;class;6;41;5;0;335;15;21;403
