file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Restaurant-finder25477451;com.zipidat.yelp.Coordinate;Coordinate;class;0;4;1;0;2;4;2;17
Restaurant-finder25477451;com.zipidat.restaurant.Main;Main;class;4;13;1;0;1;3;2;91
Restaurant-finder25477451;com.zipidat.restaurant.service.Main;Main;class;10;4;1;0;0;1;1;72
Restaurant-finder25477451;com.zipidat.yelp.Yelp;Yelp;class;8;4;1;0;0;4;2;69
Restaurant-finder25477451;com.zipidat.yelp.Business;Business;class;1;30;1;0;405;30;15;110
Restaurant-finder25477451;com.zipidat.restaurant.manager.Restaurant;Restaurant;class;3;10;1;0;4;5;3;60
Restaurant-finder25477451;com.zipidat.restaurant.manager.In;In;class;3;71;1;0;70;32;6;450
Restaurant-finder25477451;com.zipidat.yelp.Span;Span;class;0;4;1;0;2;4;2;17
Restaurant-finder25477451;com.zipidat.yelp.YelpSearchResult;YelpSearchResult;class;2;6;1;0;9;6;3;25
Restaurant-finder25477451;com.zipidat.yelp.Location;Location;class;1;20;1;0;170;20;10;74
Restaurant-finder25477451;com.zipidat.yelp.YelpApi2;YelpApi2;class;2;3;2;0;3;3;0;20
Restaurant-finder25477451;com.zipidat.restaurant.manager.StdIn;StdIn;class;2;41;1;0;56;24;6;249
Restaurant-finder25477451;com.zipidat.restaurant.manager.Manager;Manager;class;6;11;1;0;9;7;2;60
Restaurant-finder25477451;com.zipidat.yelp.Region;Region;class;2;4;1;0;2;4;2;17
Restaurant-finder25477451;com.zipidat.restaurant.YelpScraper;YelpScraper;class;5;8;1;0;0;5;6;83
Restaurant-finder25477451;com.zipidat.restaurant.RestaurantVector;RestaurantVector;class;2;29;1;0;168;24;17;208
Restaurant-finder25477451;com.zipidat.yelp.Center;Center;class;0;4;1;0;2;4;2;17
