file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Restaurant-reservation27095357;dao.AddressDAO;AddressDAO;class;7;6;1;0;0;6;5;99
Restaurant-reservation27095357;org.apache.jsp.home_jsp;home_jsp;class;7;16;2;0;4;4;4;142
Restaurant-reservation27095357;models.FollowingPK;FollowingPK;class;1;13;1;0;0;7;2;40
Restaurant-reservation27095357;edu.neu.cs5200.user.LoginServlet;LoginServlet;class;7;3;2;0;0;1;1;30
Restaurant-reservation27095357;edu.neu.cs5200.xml.jaxb.ClassInstance;ClassInstance;class;1;0;1;0;0;0;1;11
Restaurant-reservation27095357;models.Address;Address;class;4;16;1;0;38;16;6;93
Restaurant-reservation27095357;jga.UserDao;UserDao;class;4;4;1;0;0;4;2;66
Restaurant-reservation27095357;dao.ReviewsDAO;ReviewsDAO;class;5;11;1;0;0;10;2;109
Restaurant-reservation27095357;edu.neu.cs5200.user.UserDao;UserDao;class;2;10;1;0;6;4;0;60
Restaurant-reservation27095357;org.apache.jsp.favorites_jsp;favorites_jsp;class;7;15;2;0;4;4;4;216
Restaurant-reservation27095357;edu.neu.cs5200.user.User;User;class;0;9;1;0;30;9;3;38
Restaurant-reservation27095357;models.Reservation;Reservation;class;5;13;1;0;30;13;5;93
Restaurant-reservation27095357;TwoStepOAuth;TwoStepOAuth;class;2;3;2;0;3;3;0;19
Restaurant-reservation27095357;YelpAPI;YelpAPI;class;13;8;1;0;19;7;14;157
Restaurant-reservation27095357;org.apache.jsp.login_jsp;login_jsp;class;5;12;2;0;4;4;4;134
Restaurant-reservation27095357;dao.PersonDAO;PersonDAO;class;5;10;1;0;0;10;2;82
Restaurant-reservation27095357;model.User;User;class;3;8;1;0;10;8;3;40
Restaurant-reservation27095357;rest.AddressWebService;AddressWebService;class;7;2;1;0;0;2;1;27
Restaurant-reservation27095357;rest.HelloWorldWebService;HelloWorldWebService;class;10;9;1;0;36;9;0;88
Restaurant-reservation27095357;edu.neu.cs5200.ide.jpa.inheritance.joinedTables.HourlyEmployee;HourlyEmployee;class;2;7;2;0;9;7;2;30
Restaurant-reservation27095357;edu.neu.cs5200.ide.jpa.inheritance.simple.Vehicle;Vehicle;class;3;6;1;0;7;6;2;31
Restaurant-reservation27095357;edu.neu.cs5200.weather.Weather;Weather;class;1;15;1;0;33;15;5;70
Restaurant-reservation27095357;rest.UserWebService;UserWebService;class;10;5;1;0;0;5;1;48
Restaurant-reservation27095357;edu.neu.cs5200.xml.jaxb.Argument;Argument;class;0;0;1;0;0;0;7;23
Restaurant-reservation27095357;edu.neu.cs5200.ide.jpa.DeveloperDao;DeveloperDao;class;4;6;1;0;0;6;2;50
Restaurant-reservation27095357;edu.neu.cs5200.ide.jpa.inheritance.joinedTables.Employee;Employee;class;4;7;1;1;3;7;2;39
Restaurant-reservation27095357;edu.neu.cs5200.weather.Condition;Condition;class;0;0;1;0;0;0;5;8
Restaurant-reservation27095357;models.Person;Person;class;5;11;1;1;17;11;4;71
Restaurant-reservation27095357;dao.FavoritesDAO;FavoritesDAO;class;5;6;1;0;0;5;2;83
Restaurant-reservation27095357;dao.UserDAO;UserDAO;class;3;5;1;0;0;5;2;56
Restaurant-reservation27095357;rest.RestaurantSearch;RestaurantSearch;class;0;25;1;0;228;25;11;111
Restaurant-reservation27095357;org.apache.jsp.searchresults_jsp;searchresults_jsp;class;7;17;2;0;4;4;4;169
Restaurant-reservation27095357;edu.neu.cs5200.ide.jpa.simple.StudentDAO;StudentDAO;class;5;9;1;0;0;9;2;91
