file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
RestaurantPOO72158328;Empleados.Factory;Factory;interface;3;3;1;0;3;3;0;7
RestaurantPOO72158328;Vistas.CerrarOrden;CerrarOrden;class;1;11;6;0;6;3;8;138
RestaurantPOO72158328;ServicioRestaurante.Restaurant;Restaurant;class;10;69;1;0;577;39;12;206
RestaurantPOO72158328;ServicioRestaurante.ProductoTest;ProductoTest;class;6;11;1;0;53;11;1;98
RestaurantPOO72158328;ServicioRestaurante.Detalle;Detalle;class;1;7;1;0;0;7;2;28
RestaurantPOO72158328;Vistas.VistaCocinero;VistaCocinero;class;2;14;6;0;11;3;8;147
RestaurantPOO72158328;ServicioRestaurante.VistaCocinero;VistaCocinero;class;2;6;1;0;0;6;3;28
RestaurantPOO72158328;ServicioRestaurante.Direccion;Direccion;class;0;11;1;0;13;11;4;43
RestaurantPOO72158328;Controlador.Controlador;Controlador;class;1;6;1;0;3;6;1;24
RestaurantPOO72158328;Vistas.OrdenesDisponibles;OrdenesDisponibles;class;2;14;6;0;13;3;7;133
RestaurantPOO72158328;ServicioRestaurante.Producto;Producto;class;0;9;1;0;4;9;3;35
RestaurantPOO72158328;Empleados.Cliente;Cliente;class;1;6;2;0;0;6;1;26
RestaurantPOO72158328;Vistas.RegistroEmpleado;RegistroEmpleado;class;7;65;6;0;406;16;28;418
RestaurantPOO72158328;Empleados.Cocinero;Cocinero;class;2;15;3;0;30;13;3;58
RestaurantPOO72158328;ServicioRestaurante.Mesa;Mesa;class;0;10;6;0;13;10;3;39
RestaurantPOO72158328;Vistas.AdministracionDatos;AdministracionDatos;class;5;16;6;0;120;9;9;158
RestaurantPOO72158328;Vistas.Main;Main;class;9;16;6;0;120;9;9;171
RestaurantPOO72158328;ServicioRestaurante.Orden;Orden;class;4;18;1;0;89;18;6;71
RestaurantPOO72158328;Empleados.CrearFabrica;CrearFabrica;class;4;3;1;0;3;3;0;16
RestaurantPOO72158328;ServicioRestaurante.ClienteTest;ClienteTest;class;6;7;1;0;19;7;1;57
RestaurantPOO72158328;ConsultasyReportes.ConsultayReporte;ConsultayReporte;class;5;60;1;0;66;12;0;215
RestaurantPOO72158328;Empleados.Persona;Persona;class;0;10;1;0;13;10;3;38
RestaurantPOO72158328;ServicioRestaurante.ItemPedidoTest;ItemPedidoTest;class;8;11;1;0;53;11;1;105
RestaurantPOO72158328;Vistas.AgregarProducto;AgregarProducto;class;6;63;6;0;231;12;22;353
RestaurantPOO72158328;ServicioRestaurante.Factura;Factura;class;2;17;1;0;64;17;7;72
RestaurantPOO72158328;Empleados.Mesero;Mesero;class;2;9;3;0;16;9;1;35
RestaurantPOO72158328;Vistas.Menu;Menu;class;9;68;6;0;73;9;41;496
RestaurantPOO72158328;ServicioRestaurante.ItemPedido;ItemPedido;class;2;9;1;0;4;9;3;36
RestaurantPOO72158328;ServicioRestaurante.ServicioRestauranteTestSuite;ServicioRestauranteTestSuite;class;10;4;1;0;6;4;0;32
RestaurantPOO72158328;Vistas.EdicionEmpleados;EdicionEmpleados;class;6;57;6;0;323;14;29;385
RestaurantPOO72158328;ServicioRestaurante.Menu;Menu;class;1;22;1;0;0;6;1;52
RestaurantPOO72158328;Empleados.Empleado;Empleado;class;1;8;2;1;0;8;2;33
RestaurantPOO72158328;ServicioRestaurante.Bebida;Bebida;class;1;7;2;0;0;7;2;28
RestaurantPOO72158328;Vistas.BorrarEmpleado;BorrarEmpleado;class;5;31;6;0;64;7;22;288
RestaurantPOO72158328;Vistas.ReporteConsulta;ReporteConsulta;class;4;23;6;0;15;4;5;160
RestaurantPOO72158328;Vistas.VistaMesas;VistaMesas;class;5;31;6;0;72;8;12;226
RestaurantPOO72158328;Controlador.MainRestaurante;MainRestaurante;class;15;1;1;0;0;1;2;135
RestaurantPOO72158328;ServicioRestaurante.Plato;Plato;class;1;7;2;0;0;7;2;32
