file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
RestaurantSystem8224219;com.mysql.jdbc.MysqlParameterMetadata;MysqlParameterMetadata;class;3;34;1;0;1;15;4;165
RestaurantSystem8224219;com.mysql.jdbc.interceptors.SessionAssociationInterceptor;SessionAssociationInterceptor;class;4;10;1;0;22;8;2;67
RestaurantSystem8224219;com.mysql.jdbc.Field;Field;class;3;219;1;0;727;51;37;907
RestaurantSystem8224219;testsuite.regression.StatementRegressionTest;StatementRegressionTest;class;25;733;8;0;55431;170;12;5506
RestaurantSystem8224219;com.mysql.jdbc.interceptors.ResultSetScannerInterceptor;ResultSetScannerInterceptor;class;4;13;1;0;13;5;1;81
RestaurantSystem8224219;com.mysql.jdbc.PingTarget;PingTarget;interface;0;1;1;0;0;1;0;22
RestaurantSystem8224219;com.mysql.jdbc.MysqlErrorNumbers;MysqlErrorNumbers;class;0;1;1;0;0;1;863;932
RestaurantSystem8224219;com.mysql.jdbc.NetworkResources;NetworkResources;class;0;17;1;0;0;2;3;78
RestaurantSystem8224219;com.mysql.jdbc.util.ReadAheadInputStream;ReadAheadInputStream;class;2;64;2;0;0;11;7;236
RestaurantSystem8224219;com.mysql.jdbc.IterateBlock;IterateBlock;class;2;13;1;0;2;5;3;59
RestaurantSystem8224219;db.wrapper.ProcessedarticlesTable;ProcessedarticlesTable;class;5;97;2;0;1012;84;13;520
RestaurantSystem8224219;main.Drinks;Drinks;class;0;6;1;0;1;6;3;33
RestaurantSystem8224219;com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection;JDBC4MysqlXAConnection;class;2;8;3;0;0;5;1;78
RestaurantSystem8224219;testsuite.simple.SplitDBdotNameTest;SplitDBdotNameTest;class;2;11;3;0;3;3;0;108
RestaurantSystem8224219;com.mysql.jdbc.Driver;Driver;class;2;3;2;1;0;1;0;68
RestaurantSystem8224219;com.mysql.jdbc.JDBC4PreparedStatementHelper;JDBC4PreparedStatementHelper;class;2;12;1;0;15;6;0;66
RestaurantSystem8224219;com.mysql.jdbc.Connection;Connection;interface;6;52;1;0;1326;52;0;362
RestaurantSystem8224219;com.mysql.jdbc.NonRegisteringReplicationDriver;NonRegisteringReplicationDriver;class;1;2;2;1;1;2;0;42
RestaurantSystem8224219;com.mysql.jdbc.JDBC4PreparedStatement;JDBC4PreparedStatement;class;3;6;3;0;15;6;0;62
RestaurantSystem8224219;testsuite.simple.CharsetTests;CharsetTests;class;4;38;3;0;19;7;4;372
RestaurantSystem8224219;com.mysql.jdbc.log.LogFactory;LogFactory;class;2;12;1;0;0;1;0;109
RestaurantSystem8224219;com.mysql.jdbc.Util;Util;class;9;99;1;0;229;23;10;496
RestaurantSystem8224219;gui.NotesAdder;NotesAdder;class;3;3;6;0;3;1;1;96
RestaurantSystem8224219;com.mysql.jdbc.OperationNotSupportedException;OperationNotSupportedException;class;0;1;4;0;0;1;1;26
RestaurantSystem8224219;com.mysql.jdbc.ReflectiveStatementInterceptorAdapter;ReflectiveStatementInterceptorAdapter;class;5;14;1;0;0;7;2;82
