file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
SiXiang67228109;com.lin.model.UserCredentials;UserCredentials;class;14;14;1;0;73;14;7;92
SiXiang67228109;com.lin.controller.RewardsController;RewardsController;class;7;3;1;0;0;1;2;28
SiXiang67228109;com.lin.repository.CustomerRepository;CustomerRepository;interface;4;1;1;0;0;1;0;9
SiXiang67228109;com.lin.utils.EmailChecker;EmailChecker;class;0;1;1;0;0;1;3;15
SiXiang67228109;com.lin.utils.PhoneChecker;PhoneChecker;class;0;1;1;0;0;1;3;13
SiXiang67228109;com.lin.service.UserCredentialsService;UserCredentialsService;interface;1;2;1;0;1;2;0;6
SiXiang67228109;com.lin.controller.ShoppingCartController;ShoppingCartController;class;17;9;1;0;0;2;10;103
SiXiang67228109;com.lin.repository.KindRepository;KindRepository;interface;3;0;1;0;0;0;0;7
SiXiang67228109;com.lin.repository.OrderRecordRepository;OrderRecordRepository;interface;3;0;1;0;0;0;0;7
SiXiang67228109;com.lin.validator.CustomerValidator;CustomerValidator;class;4;12;1;0;1;2;0;31
SiXiang67228109;com.lin.model.Dish;Dish;class;11;24;1;0;250;24;12;112
SiXiang67228109;com.lin.model.Customer;Customer;class;10;20;1;0;170;20;11;106
SiXiang67228109;com.lin.model.Member;Member;class;10;18;1;0;135;18;9;105
SiXiang67228109;com.lin.service.CustomerService;CustomerService;interface;1;2;1;0;1;2;0;6
SiXiang67228109;com.lin.service.impl.CommentServiceImpl;CommentServiceImpl;class;6;4;1;0;0;4;1;35
SiXiang67228109;com.lin.service.impl.UserCredentialsServiceImpl;UserCredentialsServiceImpl;class;6;2;1;0;0;2;1;21
SiXiang67228109;com.lin.model.DishLine;DishLine;class;3;10;1;0;35;10;5;44
SiXiang67228109;com.lin.service.impl.CustomerServiceImpl;CustomerServiceImpl;class;6;4;1;0;0;2;1;26
SiXiang67228109;com.lin.repository.DishRepository;DishRepository;interface;3;0;1;0;0;0;0;7
SiXiang67228109;com.lin.utils.TestChecker;TestChecker;class;0;0;1;0;0;0;2;7
SiXiang67228109;com.lin.service.OrderRecordService;OrderRecordService;interface;1;1;1;0;0;1;0;5
SiXiang67228109;com.lin.model.JsonOrder;JsonOrder;class;0;2;1;0;0;2;1;10
SiXiang67228109;com.lin.utils.JavaMail;JavaMail;class;5;1;1;0;0;1;3;31
SiXiang67228109;com.lin.controller.MenuController;MenuController;class;6;1;1;0;0;1;1;25
SiXiang67228109;com.lin.validator.OpinionValidator;OpinionValidator;class;4;10;1;0;1;2;0;28
SiXiang67228109;com.lin.model.Authority;Authority;class;8;8;1;0;10;8;3;46
SiXiang67228109;com.lin.model.Opinion;Opinion;class;0;6;1;0;9;6;3;24
SiXiang67228109;com.lin.model.OrderRecord;OrderRecord;class;7;8;1;0;16;8;4;55
SiXiang67228109;com.lin.model.UserCartCombo;UserCartCombo;class;2;4;1;0;2;4;2;27
SiXiang67228109;com.lin.service.impl.OrderRecordServiceImpl;OrderRecordServiceImpl;class;6;1;1;0;0;1;1;17
SiXiang67228109;com.lin.controller.AccountController;AccountController;class;22;24;1;0;8;8;7;149
SiXiang67228109;com.lin.service.AuthorityService;AuthorityService;interface;1;2;1;0;1;2;0;7
SiXiang67228109;com.lin.controller.CommentController;CommentController;class;14;6;1;0;0;2;4;58
SiXiang67228109;com.lin.validator.UserCredentialsValidator;UserCredentialsValidator;class;6;14;1;0;1;2;1;36
SiXiang67228109;com.lin.service.impl.LoginServiceImpl;LoginServiceImpl;class;11;2;1;0;1;2;3;34
SiXiang67228109;com.lin.controller.HomeController;HomeController;class;10;5;1;0;3;3;4;50
SiXiang67228109;com.lin.utils.PasswordChecker;PasswordChecker;class;0;1;1;0;0;1;3;13
SiXiang67228109;com.lin.service.impl.DishServiceImpl;DishServiceImpl;class;6;6;1;0;3;6;1;42
SiXiang67228109;com.lin.service.impl.AuthorityServiceImpl;AuthorityServiceImpl;class;6;2;1;0;0;2;1;22
SiXiang67228109;com.lin.service.DishService;DishService;interface;1;6;1;0;15;6;0;11
SiXiang67228109;com.lin.repository.CommentRepository;CommentRepository;interface;3;0;1;0;0;0;0;7
SiXiang67228109;com.lin.service.LoginService;LoginService;interface;0;2;1;0;1;2;0;5
SiXiang67228109;com.lin.service.impl.UserDetailsServiceImpl;UserDetailsServiceImpl;class;9;2;1;0;0;1;1;33
SiXiang67228109;com.lin.repository.UserCredentialsRepository;UserCredentialsRepository;interface;4;1;1;0;0;1;0;8
SiXiang67228109;com.lin.service.CommentService;CommentService;interface;1;4;1;0;6;4;0;9
SiXiang67228109;com.lin.validator.UserCartComboValidator;UserCartComboValidator;class;4;2;1;0;1;2;0;20
SiXiang67228109;com.lin.model.Comment;Comment;class;7;10;1;0;35;10;5;52
SiXiang67228109;com.lin.model.Kind;Kind;class;3;4;1;0;2;4;2;23
SiXiang67228109;com.lin.repository.AuthorityRepository;AuthorityRepository;interface;4;1;1;0;0;1;0;9
