file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
YelpCategoryPrediction26734738;test.unitTesting.TestIndexReading;TestIndexReading;class;3;4;1;0;1;2;0;57
YelpCategoryPrediction26734738;main.java.luceneAccess.GetIndexReader;GetIndexReader;class;1;4;1;0;0;1;1;20
YelpCategoryPrediction26734738;test.unitTesting.DS;DS;class;1;2;1;0;0;2;2;16
YelpCategoryPrediction26734738;main.java.luceneAccess.IndexUsingLucene;IndexUsingLucene;class;15;43;1;0;50;12;11;169
YelpCategoryPrediction26734738;main.java.luceneAccess.SearchFromLucene;SearchFromLucene;class;20;67;1;0;264;28;2;316
YelpCategoryPrediction26734738;main.java.naiveBayesPrediction.NaiveBayesModel;NaiveBayesModel;class;0;20;1;0;1;10;3;68
YelpCategoryPrediction26734738;test.unitTesting.TestDataProcessingAndIndexing;TestDataProcessingAndIndexing;class;1;1;1;0;0;1;0;13
YelpCategoryPrediction26734738;main.java.init.IndexData;IndexData;class;1;1;1;0;0;1;0;13
YelpCategoryPrediction26734738;main.java.helper.TFIDFComparator;TFIDFComparator;class;1;2;1;0;0;2;2;16
YelpCategoryPrediction26734738;main.java.dataPreprocessing.ProcessReviewsWithBusiness;ProcessReviewsWithBusiness;class;4;28;1;0;23;11;3;137
YelpCategoryPrediction26734738;test.unitTesting.TestPredictUsingNaiveBayesModel;TestPredictUsingNaiveBayesModel;class;1;1;1;0;0;1;0;13
YelpCategoryPrediction26734738;main.java.helper.TextFileReader;TextFileReader;class;0;5;1;0;0;2;1;34
YelpCategoryPrediction26734738;test.unitTesting.TestJavaConcepts;TestJavaConcepts;class;0;1;1;0;0;1;0;18
YelpCategoryPrediction26734738;main.java.constants.Constants;Constants;class;0;0;1;0;0;0;21;24
YelpCategoryPrediction26734738;main.java.helper.StopWord;StopWord;class;0;4;1;0;0;2;1;14
YelpCategoryPrediction26734738;main.java.helper.CalculateTFIDF;CalculateTFIDF;class;5;11;1;0;0;5;4;77
YelpCategoryPrediction26734738;main.java.naiveBayesPrediction.PredictUsingNaiveBayes;PredictUsingNaiveBayes;class;6;33;1;0;40;13;7;179
