file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
restaurant-FM55398924;minhwan.researchCF.sampler.filters.user.UserIdFilter;UserIdFilter;class;2;1;1;0;0;1;0;20
restaurant-FM55398924;minhwan.researchCF.machinelearning.model.Rating;Rating;class;1;5;1;0;0;5;2;46
restaurant-FM55398924;minhwan.researchCF.sampler.model.CleanerTest;CleanerTest;class;4;3;1;0;0;2;1;36
restaurant-FM55398924;minhwan.researchCF.sampler.DatabaseSampler;DatabaseSampler;class;7;11;1;0;4;6;5;112
restaurant-FM55398924;minhwan.researchCF.sampler.model.DatabaseDataModel;DatabaseDataModel;class;1;6;1;0;0;6;2;56
restaurant-FM55398924;minhwan.researchCF.machinelearning.UserCorrCluster;UserCorrCluster;class;15;25;1;0;16;9;3;136
restaurant-FM55398924;minhwan.researchCF.machinelearning.UserCorrSplitter;UserCorrSplitter;class;8;15;1;0;11;6;3;99
restaurant-FM55398924;minhwan.researchCF.sampler.model.Cleaner;Cleaner;class;0;1;1;0;0;1;0;18
restaurant-FM55398924;SamplingExecute;SamplingExecute;class;9;11;1;0;21;7;0;114
restaurant-FM55398924;minhwan.researchCF.nlp.KeywordExtractor;KeywordExtractor;class;13;24;1;0;4;8;6;169
restaurant-FM55398924;minhwan.researchCF.nlp.KeywordExtractTest;KeywordExtractTest;class;5;3;1;0;0;3;1;39
restaurant-FM55398924;minhwan.researchCF.sampler.LocalSampler;LocalSampler;class;6;55;1;0;38;13;10;195
restaurant-FM55398924;minhwan.researchCF.sampler.model.UserRatingModel;UserRatingModel;class;3;17;1;0;0;6;3;91
restaurant-FM55398924;minhwan.resaerchCF.statstic.UserReviewStatistic;UserReviewStatistic;class;3;4;1;0;1;3;1;47
restaurant-FM55398924;minhwan.researchCF.sampler.LocalSamplerTest;LocalSamplerTest;class;5;6;1;0;1;3;3;42
restaurant-FM55398924;minhwan.researchCF.sampler.filters.user.UserReviewCountFilter;UserReviewCountFilter;class;2;2;1;0;0;2;1;26
restaurant-FM55398924;minhwan.researchCF.sampler.SamplingFilter;SamplingFilter;interface;1;1;1;0;0;1;0;14
restaurant-FM55398924;minhwan.researchCF.machinelearning.model.RatingPairBean;RatingPairBean;class;1;7;1;0;3;7;3;61
restaurant-FM55398924;minhwan.researchCF.sampler.filters.SamplingFilterTest;SamplingFilterTest;class;4;2;1;0;0;2;2;31
restaurant-FM55398924;minhwan.researchCF.machinelearning.UserCorrelationTest;UserCorrelationTest;class;3;2;1;0;0;2;1;25
restaurant-FM55398924;minhwan.researchCF.sampler.filters.restaurant.ObjectReviewCountFilter;ObjectReviewCountFilter;class;3;2;1;0;0;2;1;26
restaurant-FM55398924;minhwan.researchCF.sampler.model.UserRatingTest;UserRatingTest;class;3;3;1;0;0;1;0;35
