file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
restaurant-service24820168;mobi.nordpos.restaurant.action.WelcomeActionBean;WelcomeActionBean;class;10;10;2;0;28;8;3;79
restaurant-service24820168;mobi.nordpos.restaurant.action.UserRegistrationActionBean;UserRegistrationActionBean;class;16;13;3;0;15;7;2;113
restaurant-service24820168;mobi.nordpos.restaurant.ext.UUIDTypeConverter;UUIDTypeConverter;class;5;7;1;0;1;2;2;58
restaurant-service24820168;mobi.nordpos.restaurant.action.UserBaseActionBean;UserBaseActionBean;class;4;3;2;2;1;3;2;34
restaurant-service24820168;mobi.nordpos.restaurant.action.CategoryProductBaseActionBean;CategoryProductBaseActionBean;class;2;2;2;1;0;2;1;30
restaurant-service24820168;mobi.nordpos.restaurant.action.FloorBaseActionBean;FloorBaseActionBean;class;2;2;2;1;0;2;1;29
restaurant-service24820168;mobi.nordpos.restaurant.ext.MyLocalePicker;MyLocalePicker;class;3;5;2;0;0;1;1;44
restaurant-service24820168;mobi.nordpos.restaurant.action.UserViewActionBean;UserViewActionBean;class;9;5;3;0;1;2;1;49
restaurant-service24820168;mobi.nordpos.restaurant.action.UserAuthorizationActionBean;UserAuthorizationActionBean;class;17;15;3;0;16;8;3;117
restaurant-service24820168;mobi.nordpos.restaurant.util.ImagePreview;ImagePreview;class;1;6;1;0;1;2;0;53
restaurant-service24820168;mobi.nordpos.restaurant.ext.SecurityInterceptor;SecurityInterceptor;class;13;7;1;0;0;1;1;73
restaurant-service24820168;mobi.nordpos.restaurant.action.OrderProductActionBean;OrderProductActionBean;class;26;23;3;0;58;12;4;196
restaurant-service24820168;mobi.nordpos.restaurant.action.OrderBaseActionBean;OrderBaseActionBean;class;9;5;2;3;2;5;5;48
restaurant-service24820168;mobi.nordpos.restaurant.action.BaseActionBean;BaseActionBean;class;14;26;1;5;99;15;11;151
restaurant-service24820168;mobi.nordpos.restaurant.ext.MobileActionBeanContext;MobileActionBeanContext;class;5;5;2;0;10;5;0;48
restaurant-service24820168;mobi.nordpos.restaurant.action.CategoryProductListActionBean;CategoryProductListActionBean;class;15;5;3;0;1;2;1;65
restaurant-service24820168;mobi.nordpos.restaurant.action.OrderProductImageActionBean;OrderProductImageActionBean;class;9;10;3;0;4;4;1;63
restaurant-service24820168;mobi.nordpos.restaurant.action.FloorListActionBean;FloorListActionBean;class;15;7;3;0;4;4;2;72
restaurant-service24820168;mobi.nordpos.restaurant.action.OrderPlaceActionBean;OrderPlaceActionBean;class;18;17;3;0;15;7;2;112
