file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
restaurant70402848;hu.unideb.inf.rft.restaurant.core.repository.ReserveRepository;ReserveRepository;interface;5;3;1;0;3;3;0;14
restaurant70402848;hu.unideb.inf.rft.restaurant.core.entitiy.BaseEntity;BaseEntity;class;4;8;1;7;4;4;2;34
restaurant70402848;hu.unideb.inf.rft.restaurant.web.managedbeans.register.RegisterUserMB;RegisterUserMB;class;3;2;1;0;0;2;1;16
restaurant70402848;hu.unideb.inf.rft.restaurant.web.validator.TableNumberValidator;TableNumberValidator;class;11;4;1;0;0;1;1;38
restaurant70402848;hu.unideb.inf.rft.restaurant.web.validator.UsernameValidator;UsernameValidator;class;12;6;1;0;0;1;1;39
restaurant70402848;hu.unideb.inf.rft.restaurant.core.entitiy.RoleEntity;RoleEntity;class;6;13;2;0;0;7;1;42
restaurant70402848;hu.unideb.inf.rft.restaurant.web.managedbeans.admin.SetPasswordToDefaultMB;SetPasswordToDefaultMB;class;8;4;1;0;0;1;2;46
restaurant70402848;hu.unideb.inf.rft.restaurant.core.repository.FoodRepository;FoodRepository;interface;4;2;1;0;1;2;0;9
restaurant70402848;hu.unideb.inf.rft.restaurant.web.managedbeans.admin.SetUsersActivityMB;SetUsersActivityMB;class;5;2;1;0;0;1;1;18
restaurant70402848;hu.unideb.inf.rft.restaurant.web.managedbeans.admin.UserManagementMB;UserManagementMB;class;6;7;1;0;3;7;4;50
restaurant70402848;hu.unideb.inf.rft.restaurant.service.mapper.TableMapper;TableMapper;class;6;11;1;0;4;5;2;44
restaurant70402848;hu.unideb.inf.rft.restaurant.core.entitiy.FoodEntity;FoodEntity;class;6;17;2;0;0;9;2;55
restaurant70402848;hu.unideb.inf.rft.restaurant.core.entitiy.TableEntity;TableEntity;class;8;19;2;0;5;11;3;61
restaurant70402848;hu.unideb.inf.rft.restaurant.client.api.vo.DrinkVo;DrinkVo;class;0;8;1;0;10;8;4;32
restaurant70402848;hu.unideb.inf.rft.restaurant.web.validator.PasswordValidator;PasswordValidator;class;7;4;1;0;0;1;0;26
restaurant70402848;hu.unideb.inf.rft.restaurant.client.api.service.TableService;TableService;interface;1;5;1;0;10;5;0;10
restaurant70402848;hu.unideb.inf.rft.restaurant.web.managedbeans.actions.DrinkMB;DrinkMB;class;7;34;1;0;33;14;6;111
restaurant70402848;hu.unideb.inf.rft.restaurant.core.repository.DrinkRepository;DrinkRepository;interface;4;2;1;0;1;2;0;9
restaurant70402848;hu.unideb.inf.rft.restaurant.client.api.service.ReserveService;ReserveService;interface;1;12;1;0;66;12;0;18
restaurant70402848;hu.unideb.inf.rft.restaurant.core.repository.RoleRepository;RoleRepository;interface;5;2;1;0;1;2;0;12
restaurant70402848;hu.unideb.inf.rft.restaurant.web.managedbeans.GuestbookMB;GuestbookMB;class;9;6;1;0;0;6;7;58
restaurant70402848;hu.unideb.inf.rft.restaurant.core.entitiy.DrinkEntity;DrinkEntity;class;6;17;2;0;0;9;2;55
restaurant70402848;hu.unideb.inf.rft.restaurant.client.api.vo.UserVo;UserVo;class;3;22;1;0;165;22;11;88
restaurant70402848;hu.unideb.inf.rft.restaurant.service.impl.ReserveServiceImpl;ReserveServiceImpl;class;17;14;1;0;0;12;4;90
restaurant70402848;hu.unideb.inf.rft.restaurant.web.managedbeans.actions.ScheduleMB;ScheduleMB;class;21;34;1;0;22;17;8;166
restaurant70402848;hu.unideb.inf.rft.restaurant.web.validator.EmailValidatorFP;EmailValidatorFP;class;12;4;1;0;0;1;1;39
restaurant70402848;hu.unideb.inf.rft.restaurant.client.api.service.GuestbookService;GuestbookService;interface;1;6;1;0;15;6;0;12
restaurant70402848;hu.unideb.inf.rft.restaurant.client.api.vo.FoodVo;FoodVo;class;0;8;1;0;10;8;4;32
restaurant70402848;hu.unideb.inf.rft.restaurant.client.api.service.FoodService;FoodService;interface;1;7;1;0;21;7;0;12
restaurant70402848;hu.unideb.inf.rft.restaurant.web.managedbeans.admin.RoleManagementMB;RoleManagementMB;class;4;5;1;0;2;5;3;31
restaurant70402848;hu.unideb.inf.rft.restaurant.web.security.CustomUserDetailsService;CustomUserDetailsService;class;16;7;1;0;3;3;3;54
restaurant70402848;hu.unideb.inf.rft.restaurant.client.api.vo.ReserveVo;ReserveVo;class;0;8;1;0;10;8;4;33
restaurant70402848;hu.unideb.inf.rft.restaurant.core.entitiy.GuestbookEntity;GuestbookEntity;class;6;21;2;0;0;11;3;69
restaurant70402848;hu.unideb.inf.rft.restaurant.web.managedbeans.actions.OrderMB;OrderMB;class;9;39;1;0;101;26;11;192
