file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
restaurantRatingsGUI68686907;model.inanlp.IndonesianSentenceFormalizer;IndonesianSentenceFormalizer;class;3;63;1;0;32;9;3;204
restaurantRatingsGUI68686907;model.Model.Translator;Translator;class;1;22;1;0;0;4;2;89
restaurantRatingsGUI68686907;model.DataProcessing.PostagDict;PostagDict;class;0;22;1;0;11;6;4;106
restaurantRatingsGUI68686907;model.Model.Wordnet;Wordnet;class;14;17;1;0;0;10;2;141
restaurantRatingsGUI68686907;model.DataProcessing.Postag;Postag;class;0;62;1;0;861;42;41;722
restaurantRatingsGUI68686907;model.Model.Csv2Arff;Csv2Arff;class;0;20;1;0;0;1;12;90
restaurantRatingsGUI68686907;model.Model.Reader;Reader;class;4;50;1;0;15;7;5;234
restaurantRatingsGUI68686907;model.Model.SequenceTagging;SequenceTagging;class;1;8;1;0;0;5;2;35
restaurantRatingsGUI68686907;model.DataProcessing.Postprocess;Postprocess;class;3;182;1;0;13;11;15;717
restaurantRatingsGUI68686907;model.Model.Rating;Rating;class;1;6;1;0;0;1;0;26
restaurantRatingsGUI68686907;model.DataProcessing.Dictionary;Dictionary;class;0;16;1;0;6;4;4;101
restaurantRatingsGUI68686907;model.Evaluator.AspectAggregationEvaluator;AspectAggregationEvaluator;class;3;43;1;0;25;10;3;205
restaurantRatingsGUI68686907;controllers.Application;Application;class;5;17;2;0;6;4;0;86
restaurantRatingsGUI68686907;model.inanlp.IndonesianSentenceTokenizer;IndonesianSentenceTokenizer;class;1;28;1;0;6;4;2;206
restaurantRatingsGUI68686907;model.DataProcessing.Preprocess;Preprocess;class;4;46;1;0;62;12;5;304
restaurantRatingsGUI68686907;model.RestaurantRatings.Main;Main;class;11;41;1;0;28;9;7;312
restaurantRatingsGUI68686907;model.Evaluator.Evaluation;Evaluation;class;1;12;1;0;4;9;6;97
restaurantRatingsGUI68686907;model.inanlp.IndonesianStemmer;IndonesianStemmer;class;3;227;1;0;110;17;29;740
restaurantRatingsGUI68686907;model.Evaluator.ConfusionMatrix;ConfusionMatrix;class;2;40;1;0;0;14;2;185
restaurantRatingsGUI68686907;model.Evaluator.ExtractionEvaluator;ExtractionEvaluator;class;3;20;1;0;3;7;2;119
restaurantRatingsGUI68686907;model.Model.AspectSentiment;AspectSentiment;class;1;28;1;0;0;16;3;86
restaurantRatingsGUI68686907;model.Model.Review;Review;class;0;6;1;0;0;6;2;53
restaurantRatingsGUI68686907;model.Model.ReviewOutput;ReviewOutput;class;3;11;1;0;45;11;5;43
restaurantRatingsGUI68686907;model.Evaluator.ConfusionMatrixEvaluator;ConfusionMatrixEvaluator;class;9;7;2;0;4;4;2;57
restaurantRatingsGUI68686907;ApplicationTest;ApplicationTest;class;2;2;1;0;1;2;0;35
restaurantRatingsGUI68686907;model.Learning.WekaHelper;WekaHelper;class;10;22;1;0;36;9;0;200
restaurantRatingsGUI68686907;model.Evaluator.MyPerClassAccuracyEvaluator;MyPerClassAccuracyEvaluator;class;10;19;2;0;26;9;6;113
restaurantRatingsGUI68686907;model.Learning.MyCRFSimpleTagger;MyCRFSimpleTagger;class;34;173;1;0;0;8;22;786
restaurantRatingsGUI68686907;model.Model.AspectAggregation;AspectAggregation;class;3;91;1;0;9;7;3;318
restaurantRatingsGUI68686907;IntegrationTest;IntegrationTest;class;3;2;1;0;1;1;0;22
restaurantRatingsGUI68686907;model.Model.Feature;Feature;class;0;3;1;0;0;3;2;19
