file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
K9-MailClient;com.fsck.k9.notification.NotificationIdsTest;NotificationIdsTest;class;6;19;1;0;147;19;2;128;
K9-MailClient;com.fsck.k9.provider.EmailProviderTest;EmailProviderTest;class;16;15;2;0;63;15;4;302;
K9-MailClient;com.fsck.k9.mail.Transport;Transport;class;14;22;1;0;28;8;2;83;
K9-MailClient;com.fsck.k9.activity.MessageInfoHolder;MessageInfoHolder;class;6;5;1;0;3;3;19;40;
K9-MailClient;com.fsck.k9.activity.setup.Prefs;Prefs;class;34;54;3;0;106;9;97;504;
K9-MailClient;com.fsck.k9.helper.MergeCursorWithUniqueId;MergeCursorWithUniqueId;class;9;23;2;0;19;7;5;62;
K9-MailClient;com.fsck.k9.helper.MessageHelper;MessageHelper;class;16;39;1;0;16;8;3;155;
K9-MailClient;com.fsck.k9.notification.NotificationContentCreatorTest;NotificationContentCreatorTest;class;13;14;1;0;0;14;13;141;
K9-MailClient;com.fsck.k9.helper.SimpleTextWatcher;SimpleTextWatcher;class;4;3;1;0;3;3;0;18;
K9-MailClient;com.fsck.k9.mail.internet.MimeBodyPart;MimeBodyPart;class;10;33;2;0;88;20;2;127;
K9-MailClient;com.fsck.k9.activity.EmailAddressList;EmailAddressList;class;12;4;3;0;1;2;2;41;
K9-MailClient;com.fsck.k9.mail.BoundaryGeneratorTest;BoundaryGeneratorTest;class;7;4;1;0;3;3;0;32;
K9-MailClient;com.fsck.k9.mail.store.imap.ImapList;ImapList;class;10;35;2;1;153;18;5;119;
K9-MailClient;com.fsck.k9.mailstore.migrations.MigrationTo51;MigrationTo51;class;24;126;1;0;181;22;11;638;
K9-MailClient;com.fsck.k9.activity.setup.SpinnerOption;SpinnerOption;class;3;6;1;0;0;3;2;26;
K9-MailClient;org.openintents.openpgp.util.OpenPgpAppPreference;OpenPgpAppPreference;class;25;48;2;0;178;23;12;282;
K9-MailClient;com.fsck.k9.EmailAddressValidator;EmailAddressValidator;class;3;3;1;0;3;3;1;24;
K9-MailClient;com.fsck.k9.message.extractors.MessageFulltextCreator;MessageFulltextCreator;class;7;11;1;0;0;5;3;42;
K9-MailClient;com.fsck.k9.helper.HtmlConverter;HtmlConverter;class;21;510;1;0;221;23;24;1381;
K9-MailClient;com.fsck.k9.controller.UnavailableAccountException;UnavailableAccountException;class;1;4;2;0;6;4;1;34;
K9-MailClient;com.fsck.k9.mail.store.imap.NamespaceResponse;NamespaceResponse;class;6;16;1;0;0;5;2;45;
K9-MailClient;com.fsck.k9.activity.setup.FolderSettings;FolderSettings;class;17;13;3;0;2;4;16;148;
K9-MailClient;com.fsck.k9.message.extractors.PreviewTextExtractorTest;PreviewTextExtractorTest;class;10;12;1;0;0;12;1;120;
K9-MailClient;com.fsck.k9.controller.MessagingControllerPushReceiver;MessagingControllerPushReceiver;class;15;26;1;0;0;11;3;102;
K9-MailClient;com.fsck.k9.mail.store.imap.ImapSettings;ImapSettings;interface;3;14;1;0;91;14;0;23;
K9-MailClient;com.fsck.k9.message.extractors.EncryptionDetector;EncryptionDetector;class;7;16;1;0;13;6;1;49;
K9-MailClient;com.fsck.k9.mail.store.webdav.WebDavFolder;WebDavFolder;class;44;150;2;0;401;38;6;611;
K9-MailClient;com.handmark.pulltorefresh.library.extras.PullToRefreshWebView2;PullToRefreshWebView2;class;10;8;4;0;14;8;6;113;
K9-MailClient;com.fsck.k9.mail.store.webdav.WebDavConstants;WebDavConstants;class;0;0;1;0;0;0;11;20;
K9-MailClient;com.fsck.k9.mailstore.migrations.MigrationsHelper;MigrationsHelper;interface;6;5;1;0;10;5;0;17;
K9-MailClient;com.fsck.k9.ui.messageview.MessageViewFragment;MessageViewFragment;class;59;181;2;0;3072;85;22;679;
K9-MailClient;com.fsck.k9.mail.store.imap.CopyUidResponseTest;CopyUidResponseTest;class;10;14;1;0;78;13;0;98;
K9-MailClient;com.fsck.k9.mail.internet.MimeMessageParseTest;MimeMessageParseTest;class;17;21;1;0;120;16;0;245;
K9-MailClient;com.fsck.k9.activity.K9ActivityCommon;K9ActivityCommon;class;13;13;1;0;5;7;2;95;
K9-MailClient;com.fsck.k9.mail.store.imap.ImapStoreUriCreator;ImapStoreUriCreator;class;7;14;1;0;0;1;0;63;
K9-MailClient;com.fsck.k9.mail.PgpMimeMessageTest;PgpMimeMessageTest;class;22;5;1;0;1;2;1;255;
K9-MailClient;com.fsck.k9.preferences.StorageEditor;StorageEditor;class;11;24;1;0;11;9;4;93;
K9-MailClient;org.openintents.openpgp.util.OpenPgpUtils;OpenPgpUtils;class;7;30;1;0;32;9;11;127;
K9-MailClient;com.fsck.k9.service.BootReceiver;BootReceiver;class;14;36;3;0;3;5;5;112;
K9-MailClient;com.fsck.k9.message.ComposePgpInlineDecider;ComposePgpInlineDecider;class;2;2;1;0;1;2;0;15;
K9-MailClient;com.fsck.k9.view.MessageHeader;MessageHeader;class;45;91;3;0;469;35;29;440;
K9-MailClient;com.fsck.k9.mail.helper.UrlEncodingHelper;UrlEncodingHelper;class;2;5;1;0;3;3;0;22;
K9-MailClient;com.fsck.k9.message.SimpleMessageBuilder;SimpleMessageBuilder;class;12;5;2;0;6;4;0;34;
K9-MailClient;com.fsck.k9.mail.Folder;Folder;class;19;44;1;2;814;41;5;166;
K9-MailClient;com.fsck.k9.mailstore.migrations.MigrationTo34;MigrationTo34;class;2;4;1;0;0;1;0;14;
K9-MailClient;com.fsck.k9.view.MessageTitleView;MessageTitleView;class;7;15;2;0;13;7;4;62;
K9-MailClient;com.fsck.k9.mail.internet.MimeHeader;MimeHeader;class;23;63;1;0;129;23;9;190;
K9-MailClient;com.fsck.k9.mail.store.imap.mockserver.MockImapServer;MockImapServer;class;47;78;3;0;474;40;22;335;
K9-MailClient;com.fsck.k9.notification.LockScreenNotificationTest;LockScreenNotificationTest;class;17;14;1;0;0;14;7;151;
K9-MailClient;com.fsck.k9.mail.filter.PeekableInputStream;PeekableInputStream;class;4;14;2;0;3;6;2;57;
K9-MailClient;com.fsck.k9.mailstore.LocalMimeMessage;LocalMimeMessage;class;4;4;3;0;0;4;3;27;
K9-MailClient;com.fsck.k9.notification.NotificationController;NotificationController;class;18;35;1;0;165;22;14;127;
K9-MailClient;com.fsck.k9.mail.Part;Part;interface;3;16;1;0;120;16;0;27;
K9-MailClient;com.handmark.pulltorefresh.library.PullToRefreshAdapterViewBase;PullToRefreshAdapterViewBase;class;24;120;3;3;357;30;8;410;
K9-MailClient;com.fsck.k9.ui.messageview.AttachmentViewCallback;AttachmentViewCallback;interface;1;3;1;0;3;3;0;7;
K9-MailClient;com.fsck.k9.mail.internet.TextBody;TextBody;class;19;30;1;0;51;14;6;125;
K9-MailClient;com.fsck.k9.controller.MessagingController;MessagingController;class;121;1098;1;0;18169;143;32;3906;
K9-MailClient;com.fsck.k9.activity.compose.CryptoSettingsDialog;CryptoSettingsDialog;class;23;22;2;0;12;7;4;112;
K9-MailClient;com.fsck.k9.mail.store.imap.ListResponse;ListResponse;class;10;25;1;0;17;10;3;78;
K9-MailClient;com.fsck.k9.mail.store.imap.Commands;Commands;class;0;0;1;0;0;0;11;14;
K9-MailClient;com.fsck.k9.message.MessageBuilder;MessageBuilder;class;33;103;1;2;1223;50;35;522;
K9-MailClient;com.fsck.k9.mailstore.migrations.MigrationTo30;MigrationTo30;class;2;4;1;0;0;1;0;14;
K9-MailClient;com.fsck.k9.mail.store.webdav.WebDavUtils;WebDavUtils;class;2;1;1;0;0;1;0;18;
K9-MailClient;com.fsck.k9.mail.store.imap.ImapFolderPusher;ImapFolderPusher;class;28;199;3;0;328;33;17;573;
K9-MailClient;com.fsck.k9.mail.helpers.TestTrustedSocketFactory;TestTrustedSocketFactory;class;8;1;1;0;0;1;0;25;
K9-MailClient;com.fsck.k9.mail.filter.SignSafeOutputStream;SignSafeOutputStream;class;7;44;2;0;124;17;6;182;
K9-MailClient;com.fsck.k9.mail.internet.MessageIdGeneratorTest;MessageIdGeneratorTest;class;11;5;1;0;0;4;1;44;
K9-MailClient;com.fsck.k9.Throttle;Throttle;class;11;39;2;0;38;13;16;146;
K9-MailClient;com.fsck.k9.activity.loader.AttachmentInfoLoader;AttachmentInfoLoader;class;12;23;2;0;0;3;2;85;
K9-MailClient;com.fsck.k9.activity.setup.AccountSetupBasics;AccountSetupBasics;class;37;89;3;0;268;26;24;454;
K9-MailClient;org.openintents.openpgp.util.OpenPgpServiceConnection;OpenPgpServiceConnection;class;10;21;1;0;0;10;5;106;
K9-MailClient;com.fsck.k9.preferences.Settings;Settings;class;29;89;12;0;499;34;10;526;
K9-MailClient;com.fsck.k9.mail.store.imap.ImapResponseCallback;ImapResponseCallback;interface;2;1;1;0;0;1;0;22;
K9-MailClient;com.fsck.k9.mail.store.webdav.ParsedMessageEnvelope;ParsedMessageEnvelope;class;6;12;1;0;13;7;5;58;
K9-MailClient;com.fsck.k9.mailstore.MessageHelper;MessageHelper;class;7;9;1;0;1;2;0;36;
K9-MailClient;com.fsck.k9.mail.store.imap.AlertResponse;AlertResponse;class;2;6;1;0;1;2;1;17;
K9-MailClient;com.fsck.k9.mail.store.imap.ImapConnectionTest;ImapConnectionTest;class;14;60;1;0;16;44;8;578;
K9-MailClient;com.fsck.k9.mailstore.migrations.MigrationTo46;MigrationTo46;class;8;19;1;0;0;1;0;84;
K9-MailClient;com.fsck.k9.mail.ConnectionSecurity;ConnectionSecurity;enum;0;0;1;0;0;0;0;6;
K9-MailClient;org.openintents.openpgp.util.OpenPgpKeyPreference;OpenPgpKeyPreference;class;24;42;3;0;212;23;11;245;
K9-MailClient;com.fsck.k9.notification.AddNotificationResult;AddNotificationResult;class;4;8;1;0;0;6;2;29;
K9-MailClient;com.fsck.k9.view.MessageCryptoStatusView;MessageCryptoStatusView;class;8;7;2;0;8;5;4;51;
K9-MailClient;com.fsck.k9.mail.store.imap.FolderNameCodecTest;FolderNameCodecTest;class;4;6;1;0;0;5;1;40;
K9-MailClient;com.fsck.k9.helper.HtmlSanitizerTest;HtmlSanitizerTest;class;4;15;1;0;0;15;1;127;
K9-MailClient;com.fsck.k9.mail.store.imap.ImapResponseParser;ImapResponseParser;class;22;137;1;0;204;29;3;403;
K9-MailClient;com.fsck.k9.notification.NotificationContent;NotificationContent;class;2;1;1;0;0;1;6;19;
K9-MailClient;com.fsck.k9.ui.message.LocalMessageLoader;LocalMessageLoader;class;8;11;2;0;7;6;4;52;
K9-MailClient;com.fsck.k9.activity.setup.SliderPreference;SliderPreference;class;15;31;2;0;99;15;6;167;
K9-MailClient;com.fsck.k9.notification.NewMailNotificationsTest;NewMailNotificationsTest;class;25;32;2;0;68;32;8;315;
K9-MailClient;com.fsck.k9.ui.messageview.OnCryptoClickListener;OnCryptoClickListener;interface;0;1;1;0;0;1;0;4;
K9-MailClient;com.fsck.k9.mail.power.TracingPowerManager;TracingPowerManager;class;14;43;1;0;0;10;11;132;
K9-MailClient;com.fsck.k9.mailstore.LocalBodyPart;LocalBodyPart;class;4;5;3;0;2;5;4;33;
K9-MailClient;com.fsck.k9.mailstore.BinaryMemoryBody;BinaryMemoryBody;class;11;6;1;0;0;6;2;37;
K9-MailClient;com.fsck.k9.mailstore.migrations.MigrationTo55;MigrationTo55;class;9;6;1;0;0;1;0;46;
K9-MailClient;com.fsck.k9.preferences.SettingsImporter;SettingsImporter;class;44;292;2;0;252;32;37;1003;
K9-MailClient;com.fsck.k9.ui.messageview.AttachmentController;AttachmentController;class;34;65;3;0;336;33;7;300;
K9-MailClient;com.fsck.k9.helper.EmailHelper;EmailHelper;class;0;4;1;0;1;2;0;11;
K9-MailClient;com.fsck.k9.mail.store.imap.ImapSearcher;ImapSearcher;interface;2;1;1;0;0;1;0;7;
K9-MailClient;com.fsck.k9.account.AccountCreatorTest;AccountCreatorTest;class;2;6;1;0;15;6;0;39;
K9-MailClient;com.fsck.k9.mailstore.MimePartStreamParser;MimePartStreamParser;class;28;20;1;0;42;16;3;140;
K9-MailClient;com.fsck.k9.mail.Authentication;Authentication;class;4;9;1;0;1;2;1;71;
K9-MailClient;com.fsck.k9.activity.AlternateRecipientAdapter;AlternateRecipientAdapter;class;23;43;2;0;96;18;16;195;
K9-MailClient;com.fsck.k9.activity.misc.SwipeGestureDetector;SwipeGestureDetector;class;7;18;2;0;6;5;7;96;
K9-MailClient;com.handmark.pulltorefresh.library.PullToRefreshWebView;PullToRefreshWebView;class;15;19;4;0;83;15;4;133;
K9-MailClient;com.fsck.k9.mail.ssl.TrustManagerFactory;TrustManagerFactory;class;15;21;1;0;13;7;6;96;
K9-MailClient;com.fsck.k9.activity.Search;Search;class;2;4;4;0;4;4;1;20;
K9-MailClient;com.fsck.k9.mail.internet.BinaryTempFileMessageBody;BinaryTempFileMessageBody;class;4;4;2;0;1;2;0;20;
K9-MailClient;org.openintents.openpgp.OpenPgpError;OpenPgpError;class;5;11;1;0;7;11;10;96;
K9-MailClient;com.handmark.pulltorefresh.library.internal.LoadingLayout;LoadingLayout;class;26;119;2;1;236;29;13;323;
K9-MailClient;com.fsck.k9.remotecontrol.K9RemoteControl;K9RemoteControl;class;5;2;1;0;0;2;29;118;
K9-MailClient;com.fsck.k9.mail.ssl.TrustedSocketFactory;TrustedSocketFactory;interface;1;1;1;0;0;1;0;10;
K9-MailClient;com.fsck.k9.mail.store.imap.CapabilityResponse;CapabilityResponse;class;8;16;1;0;0;4;1;48;
K9-MailClient;com.fsck.k9.helper.Preconditions;Preconditions;class;3;3;1;0;0;1;0;9;
K9-MailClient;com.fsck.k9.service.ShutdownReceiver;ShutdownReceiver;class;4;3;2;0;0;1;0;34;
K9-MailClient;com.fsck.k9.mail.internet.MimeMultipart;MimeMultipart;class;13;23;2;0;28;12;4;89;
K9-MailClient;com.fsck.k9.notification.NotificationIds;NotificationIds;class;3;11;1;0;21;7;11;42;
K9-MailClient;com.fsck.k9.activity.K9Activity;K9Activity;class;7;3;2;12;0;3;1;23;
K9-MailClient;com.fsck.k9.mail.store.imap.ImapStoreUriDecoder;ImapStoreUriDecoder;class;7;28;1;0;0;1;0;110;
K9-MailClient;org.openintents.openpgp.OpenPgpSignatureResult;OpenPgpSignatureResult;class;18;32;1;0;76;20;20;205;
K9-MailClient;com.fsck.k9.mailstore.UnavailableStorageException;UnavailableStorageException;class;1;4;3;0;6;4;1;19;
K9-MailClient;com.handmark.pulltorefresh.library.internal.RotateLoadingLayout;RotateLoadingLayout;class;11;15;3;0;26;9;5;89;
K9-MailClient;com.fsck.k9.activity.setup.AccountSetupComposition;AccountSetupComposition;class;18;15;3;0;0;6;10;108;
K9-MailClient;com.fsck.k9.mail.store.imap.FetchBodyCallback;FetchBodyCallback;class;10;4;1;0;0;2;1;26;
K9-MailClient;com.fsck.k9.activity.MessageReferenceTest;MessageReferenceTest;class;9;27;1;0;351;27;0;172;
K9-MailClient;com.fsck.k9.mailstore.CryptoResultAnnotation;CryptoResultAnnotation;class;11;28;1;0;106;20;7;127;
K9-MailClient;com.fsck.k9.notification.CertificateErrorNotificationsTest;CertificateErrorNotificationsTest;class;18;13;2;0;14;13;10;110;
K9-MailClient;com.fsck.k9.activity.FolderInfoHolder;FolderInfoHolder;class;11;31;1;0;15;11;11;115;
K9-MailClient;com.fsck.k9.mailstore.migrations.MigrationMimeStructureStateTest;MigrationMimeStructureStateTest;class;7;11;1;0;55;11;0;114;
K9-MailClient;com.fsck.k9.helper.SizeFormatter;SizeFormatter;class;1;7;1;0;0;1;0;21;
K9-MailClient;com.fsck.k9.search.SearchSpecification;SearchSpecification;interface;8;17;1;0;22;13;5;151;
K9-MailClient;com.fsck.k9.message.InsertableHtmlContent;InsertableHtmlContent;class;6;19;1;0;0;13;6;154;
K9-MailClient;com.fsck.k9.mail.internet.SizeAware;SizeAware;interface;0;1;1;0;0;1;0;4;
K9-MailClient;com.fsck.k9.mailstore.MessageViewInfoExtractor;MessageViewInfoExtractor;class;33;83;1;0;69;14;11;435;
K9-MailClient;com.fsck.k9.mailstore.ReconstructMessageFromDatabaseTest;ReconstructMessageFromDatabaseTest;class;19;11;3;0;51;11;2;137;
K9-MailClient;com.fsck.k9.mail.store.imap.PermanentFlagsResponseTest;PermanentFlagsResponseTest;class;3;10;1;0;45;10;0;75;
K9-MailClient;com.fsck.k9.controller.MessagingListener;MessagingListener;class;10;50;1;0;1225;50;0;115;
K9-MailClient;com.fsck.k9.mailstore.migrations.MigrationTo35;MigrationTo35;class;1;2;1;0;0;1;0;14;
K9-MailClient;com.fsck.k9.mailstore.MessageViewInfoExtractorTest;MessageViewInfoExtractorTest;class;20;8;1;0;0;8;4;286;
K9-MailClient;com.fsck.k9.mail.store.imap.ImapStoreUriTest;ImapStoreUriTest;class;5;10;1;0;45;10;0;117;
K9-MailClient;com.fsck.k9.mail.store.RemoteStore;RemoteStore;class;19;33;2;1;8;5;5;119;
K9-MailClient;com.fsck.k9.mail.transport.mockServer.MockSmtpServer;MockSmtpServer;class;45;76;3;0;486;40;22;330;
K9-MailClient;com.fsck.k9.mail.store.imap.NegativeImapResponseException;NegativeImapResponseException;class;4;8;3;0;0;3;3;28;
K9-MailClient;com.fsck.k9.activity.FolderList;FolderList;class;73;250;6;0;2442;75;35;1018;
K9-MailClient;com.fsck.k9.service.StorageGoneReceiver;StorageGoneReceiver;class;6;9;2;0;0;1;0;35;
K9-MailClient;com.fsck.k9.mail.ReconstructMessageTest;ReconstructMessageTest;class;8;1;1;0;0;1;0;63;
K9-MailClient;com.fsck.k9.mail.store.imap.ImapStoreTest;ImapStoreTest;class;23;27;4;0;0;22;3;268;
